Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Charlie Adam,MF,Stoke City,31,8,4,12,7,1,1,6,0
Emmanuel Adebayor,FW,Tottenham,21,11,4,15,10,1,2,0,0
Gabriel Agbonlahor,FW,Aston Villa,30,4,5,9,4,0,0,7,0
Sergio Agüero,FW,Manchester City,23,17,6,23,17,0,1,4,0
Karim El Ahmadi,MF,Aston Villa,31,2,1,3,2,0,0,7,0
Nathan Aké,MF,Chelsea,1,0,0,0,0,0,0,0,0
Chuba Akpom,FW,Arsenal,1,0,0,0,0,0,0,0,0
Luis Alberto,FW,Liverpool,9,0,1,1,0,0,0,0,0
Marc Albrighton,FW,Aston Villa,19,0,4,4,0,0,0,4,0
Joe Allen,MF,Liverpool,24,1,0,1,1,0,0,4,0
Marcos Alonso,MF,Sunderland,16,0,1,1,0,0,0,6,1
Jozy Altidore,FW,Sunderland,31,1,1,2,1,0,0,3,0
Sone Aluko,FW,Hull City,17,1,3,4,1,0,0,1,0
Morgan Amalfitano,MF,West Brom,28,4,3,7,4,0,0,3,0
Sammy Ameobi,FW,Newcastle Utd,10,0,0,0,0,0,0,1,0
Shola Ameobi,FW,Newcastle Utd,26,2,0,2,2,0,0,3,1
Anderson,MF,Manchester Utd,4,0,0,0,0,0,0,0,0
Nicolas Anelka,FW,West Brom,12,2,0,2,2,0,0,0,0
Victor Anichebe,FW,West Brom,24,3,3,6,3,0,0,3,0
Victor Anichebe,FW,Everton,1,0,0,0,0,0,0,0,0
Vurnon Anita,MF,Newcastle Utd,34,1,1,2,1,0,0,2,0
Pablo Armero,MF,West Ham,5,0,0,0,0,0,0,1,0
Adam Armstrong,FW,Newcastle Utd,4,0,0,0,0,0,0,0,0
Marko Arnautović,FW,Stoke City,30,4,7,11,3,1,1,3,0
John Arne Riise,MF,Fulham,20,0,0,0,0,0,0,2,0
Mikel Arteta,MF,Arsenal,31,2,0,2,0,2,2,3,1
Iago Aspas,FW,Liverpool,14,0,1,1,0,0,0,3,0
Oussama Assaidi,FW,Stoke City,19,4,0,4,4,0,0,1,0
César Azpilicueta,MF,Chelsea,29,0,0,0,0,0,0,1,0
Demba Ba,FW,Chelsea,19,5,1,6,5,0,0,0,0
El-Hadji Ba,MF,Sunderland,1,0,0,0,0,0,0,0,0
Leandro Bacuna,MF,Aston Villa,35,5,1,6,5,0,0,6,0
Barry Bannan,MF,Crystal Palace,15,1,1,2,1,0,0,1,0
Ross Barkley,MF,Everton,34,6,0,6,6,0,0,5,0
Gareth Barry,MF,Everton,32,3,4,7,3,0,0,10,0
Luciano Becchio,FW,Norwich City,5,0,0,0,0,0,0,0,0
Craig Bellamy,FW,Cardiff City,22,2,1,3,2,0,0,3,0
Hatem Ben Arfa,FW,Newcastle Utd,27,3,3,6,2,1,1,1,0
Nicklas Bendtner,FW,Arsenal,9,2,0,2,2,0,0,0,0
Elliott Bennett,MF,Norwich City,2,0,0,0,0,0,0,0,0
Joe Bennett,MF,Aston Villa,5,0,0,0,0,0,0,2,0
Darren Bent,FW,Fulham,24,3,2,5,3,0,0,0,0
Nabil Bentaleb,MF,Tottenham,15,0,1,1,0,0,0,2,0
Christian Benteke,FW,Aston Villa,26,10,2,12,8,2,4,4,0
Saido Berahino,FW,West Brom,32,5,1,6,4,1,1,0,0
Dimitar Berbatov,FW,Fulham,18,4,1,5,2,2,2,3,0
Ryan Bertrand,MF,Aston Villa,16,0,0,0,0,0,0,3,0
Ryan Bertrand,MF,Chelsea,1,0,0,0,0,0,0,0,0
Thievy Bifouma,FW,West Brom,6,2,0,2,2,0,0,0,0
Kim Bo-kyung,MF,Cardiff City,28,1,0,1,1,0,0,4,0
Derek Boateng,MF,Fulham,3,0,0,0,0,0,0,2,0
Yannick Bolasie,FW,Crystal Palace,29,0,4,4,0,0,0,1,1
Wilfried Bony,FW,Swansea City,34,16,4,20,12,4,4,4,0
Fabio Borini,FW,Sunderland,32,7,2,9,4,3,3,6,0
Marco Borriello,FW,West Ham,2,0,0,0,0,0,0,0,0
Jordan Bowery,FW,Aston Villa,9,0,1,1,0,0,0,0,0
George Boyd,FW,Hull City,29,2,2,4,2,0,0,2,0
Robbie Brady,FW,Hull City,16,3,1,4,1,2,2,2,0
Liam Bridcutt,MF,Sunderland,12,0,0,0,0,0,0,4,0
Leon Britton,MF,Swansea City,25,0,1,1,0,0,0,2,0
Chris Brunt,MF,West Brom,28,3,5,8,3,0,0,7,0
Alexander Büttner,MF,Manchester Utd,8,0,0,0,0,0,0,2,0
Yohan Cabaye,MF,Newcastle Utd,19,7,2,9,7,0,0,5,0
