Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Samassi Abou,FW,West Ham,19,5,2,7,5,0,0,2,1
Jan Åge Fjørtoft,FW,Barnsley,15,6,0,6,6,0,0,0,0
Junior Agogo,FW,Sheffield Weds,1,0,0,0,0,0,,0,0
Niclas Alexandersson,MF,Sheffield Weds,6,0,0,0,0,0,0,0,0
Rory Allen,FW,Tottenham,4,0,0,0,0,0,,0,0
Paulo Alves,FW,West Ham,4,0,0,0,0,0,0,0,0
Anders Andersson,FW,Blackburn,4,0,0,0,0,0,,0,0
Andreas Andersson,FW,Newcastle Utd,12,2,0,2,2,0,0,0,0
Darren Anderton,MF,Tottenham,15,0,1,1,0,0,0,0,0
Tore André Flo,FW,Chelsea,34,11,2,13,11,0,0,0,0
Nicolas Anelka,FW,Arsenal,26,6,6,12,6,0,0,2,0
Matty Appleby,MF,Barnsley,15,0,0,0,0,0,0,2,0
Neal Ardley,MF,Wimbledon,34,2,2,4,1,1,1,2,0
Chris Armstrong,FW,Tottenham,19,5,0,5,5,0,0,2,0
Aljoša Asanović,MF,Derby County,4,1,1,2,0,1,,1,0
Faustino Asprilla,FW,Newcastle Utd,10,2,2,4,2,0,0,0,0
Peter Atherton,MF,Sheffield Weds,27,3,1,4,3,0,0,8,0
Celestine Babayaro,MF,Chelsea,8,0,0,0,0,0,0,2,0
Francesco Baiano,FW,Derby County,34,12,6,18,12,0,0,2,0
Nick Barmby,FW,Everton,30,2,7,9,2,0,0,7,0
Darren Barnard,MF,Barnsley,35,2,4,6,2,0,0,6,1
John Barnes,FW,Newcastle Utd,26,6,0,6,5,1,2,0,0
Gareth Barry,MF,Aston Villa,2,0,0,0,0,0,,0,0
Steve Basham,FW,Southampton,9,0,1,1,0,0,0,0,0
David Batty,MF,Newcastle Utd,32,1,0,1,1,0,0,12,3
Peter Beagrie,FW,Everton,6,0,0,0,0,0,0,2,0
Peter Beardsley,FW,Bolton,17,2,0,2,2,0,0,1,0
James Beattie,FW,Blackburn,3,0,0,0,0,0,,0,0
David Beckham,MF,Manchester Utd,37,9,13,22,9,0,0,6,0
Marcus Bent,FW,Crystal Palace,16,5,1,6,5,0,0,2,0
Patrik Berger,MF,Liverpool,22,3,1,4,3,0,0,0,0
Dennis Bergkamp,FW,Arsenal,28,16,11,27,14,2,3,7,0
Eyal Berkovic,MF,West Ham,35,7,9,16,7,0,0,2,0
Nicola Berti,MF,Tottenham,17,3,3,6,3,0,0,5,0
Patrizio Billio,MF,Crystal Palace,3,0,0,0,0,0,,1,0
Ian Bishop,MF,West Ham,3,0,0,0,0,0,,0,0
Nathan Blake,FW,Bolton,35,12,5,17,12,0,0,6,1
Luís Boa Morte,FW,Arsenal,15,0,0,0,0,0,0,2,0
George Boateng,MF,Coventry City,14,1,0,1,1,0,0,5,1
Lars Bohinen,MF,Derby County,8,1,0,1,1,0,0,1,0
Lars Bohinen,MF,Blackburn,16,1,3,4,1,0,0,0,0
Willie Boland,MF,Coventry City,19,0,1,1,0,0,0,4,0
Ivano Bonetti,MF,Crystal Palace,2,0,0,0,0,0,,0,0
Andy Booth,FW,Sheffield Weds,23,7,2,9,7,0,0,1,1
Jovo Bosančić,MF,Barnsley,17,2,0,2,1,1,2,7,1
Jason Bowen,FW,Southampton,3,0,0,0,0,0,,0,0
Lee Bowyer,MF,Leeds United,25,3,5,8,3,0,0,5,0
Garry Brady,MF,Tottenham,9,0,0,0,0,0,0,0,0
Michael Branch,FW,Everton,6,0,0,0,0,0,0,0,0
Lee Briscoe,MF,Sheffield Weds,7,0,2,2,0,0,0,2,0
Tomas Brolin,FW,Crystal Palace,13,0,1,1,0,0,0,2,0
Martin Bullock,MF,Barnsley,33,0,8,8,0,0,,4,0
Deon Burton,FW,Derby County,29,3,4,7,3,0,0,0,0
Nicky Butt,MF,Manchester Utd,33,3,3,6,2,1,1,7,0
Darren Byfield,FW,Aston Villa,7,0,0,0,0,0,0,2,0
Danny Cadamarteri,FW,Everton,26,4,1,5,4,0,0,4,0
Sol Campbell,FW,Tottenham,34,0,1,1,0,0,0,5,0
Stuart Campbell,MF,Leicester City,11,0,0,0,0,0,0,1,0
Benito Carbone,FW,Sheffield Weds,33,9,6,15,6,3,3,8,1
Franz Carr,FW,Bolton,5,0,0,0,0,0,0,0,0
Jamie Carragher,MF,Liverpool,20,0,0,0,0,0,0,3,0
Lee Carsley,MF,Derby County,34,1,0,1,1,0,0,10,0
Stewart Castledine,MF,Wimbledon,6,0,0,0,0,0,0,1,0
Steve Claridge,FW,Leicester City,17,0,0,0,0,0,0,0,0
Andy Clarke,FW,Wimbledon,14,0,0,0,0,0,0,0,0
Stephen Clemence,MF,Tottenham,17,0,1,1,0,0,0,1,0
Nigel Clough,FW,Sheffield Weds,1,0,0,0,0,0,,0,0
Andy Cole,FW,Manchester Utd,33,15,7,22,15,0,0,5,0
Wayne Collins,MF,Sheffield Weds,19,5,1,6,5,0,0,2,0
Stan Collymore,FW,Aston Villa,25,6,4,10,6,0,0,3,1
Carl Cort,FW,Wimbledon,22,4,3,7,4,0,0,0,0
Tony Cottee,FW,Leicester City,19,4,0,4,4,0,0,0,0
Nick Crittenden,MF,Chelsea,2,0,0,0,0,0,,0,0
Jordi Cruyff,FW,Manchester Utd,5,0,0,0,0,0,0,1,0
Saša Ćurčić,MF,Crystal Palace,8,1,1,2,1,0,0,0,0
Saša Ćurčić,MF,Aston Villa,7,0,0,0,0,0,0,0,0
Jon Dahl Tomasson,FW,Newcastle Utd,23,3,1,4,3,0,0,1,0
Martin Dahlin,FW,Blackburn,21,4,0,4,4,0,0,2,0
Kevin Davies,FW,Southampton,25,9,2,11,9,0,0,4,0
Rory Delap,MF,Derby County,13,0,0,0,0,0,0,2,0
Robin van der Laan,MF,Derby County,10,0,1,1,0,0,0,2,0
Paolo Di Canio,FW,Sheffield Weds,35,12,6,18,12,0,0,10,0
Roberto Di Matteo,MF,Chelsea,30,4,5,9,4,0,0,6,0
José Dominguez,MF,Tottenham,18,2,1,3,2,0,0,4,0
O'Neill Donaldson,FW,Sheffield Weds,5,0,0,0,0,0,0,0,0
Iain Dowie,FW,West Ham,12,0,1,1,0,0,0,2,0
Mark Draper,MF,Aston Villa,31,3,4,7,3,0,0,4,0
Dion Dublin,FW,Coventry City,36,18,10,28,13,5,7,4,1
Andy Ducros,FW,Coventry City,3,0,0,0,0,0,,0,0
