Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Rolando Aarons,MF,Newcastle Utd,4,1,0,1,1,0,0,1,0
Mehdi Abeid,MF,Newcastle Utd,13,0,0,0,0,0,0,0,0
Charlie Adam,MF,Stoke City,29,7,1,8,6,1,1,5,0
Emmanuel Adebayor,FW,Tottenham,13,2,1,3,2,0,0,1,0
Gabriel Agbonlahor,FW,Aston Villa,34,6,1,7,6,0,0,7,1
Sergio Agüero,FW,Manchester City,33,26,8,34,21,5,6,4,0
Nathan Aké,MF,Chelsea,1,0,0,0,0,0,0,0,0
Chuba Akpom,FW,Arsenal,3,0,0,0,0,0,0,0,0
Marc Albrighton,FW,Leicester City,18,2,3,5,2,0,0,3,0
Joe Allen,MF,Liverpool,21,1,0,1,1,0,0,3,0
Jozy Altidore,FW,Sunderland,11,0,0,0,0,0,0,0,0
Sone Aluko,FW,Hull City,25,1,0,1,1,0,0,2,0
Ricky Álvarez,MF,Sunderland,13,0,0,0,0,0,0,3,0
Morgan Amalfitano,MF,West Ham,24,3,1,4,3,0,0,3,0
Sammy Ameobi,FW,Newcastle Utd,25,2,2,4,2,0,0,2,0
Shola Ameobi,FW,Crystal Palace,4,0,0,0,0,0,0,0,0
Anderson,MF,Manchester Utd,1,0,0,0,0,0,0,0,0
Victor Anichebe,FW,West Brom,21,3,1,4,3,0,0,0,0
Vurnon Anita,MF,Newcastle Utd,19,0,0,0,0,0,0,3,0
Scott Arfield,MF,Burnley,37,2,2,4,2,0,1,6,0
Adam Armstrong,FW,Newcastle Utd,11,0,1,1,0,0,0,1,0
Marko Arnautović,FW,Stoke City,29,1,5,6,1,0,0,2,0
Mikel Arteta,MF,Arsenal,7,0,1,1,0,0,0,1,0
Oussama Assaidi,FW,Stoke City,9,0,1,1,0,0,0,1,0
Christian Atsu,FW,Everton,5,0,1,1,0,0,0,0,0
Charlie Austin,FW,QPR,35,18,6,24,15,3,5,5,1
César Azpilicueta,MF,Chelsea,29,0,3,3,0,0,0,1,1
Leandro Bacuna,MF,Aston Villa,19,0,5,5,0,0,0,1,0
Chris Baird,MF,West Brom,19,0,0,0,0,0,0,2,0
Mario Balotelli,FW,Liverpool,16,1,0,1,1,0,0,5,0
Barry Bannan,MF,Crystal Palace,7,0,0,0,0,0,0,1,0
Ross Barkley,MF,Everton,29,2,2,4,2,0,1,1,0
Ashley Barnes,FW,Burnley,35,5,2,7,5,0,0,5,1
Modou Barrow,FW,Swansea City,11,0,1,1,0,0,0,1,0
Gareth Barry,MF,Everton,33,0,2,2,0,0,0,11,1
Joey Barton,MF,QPR,28,1,3,4,1,0,0,11,1
Héctor Bellerín,MF,Arsenal,20,2,1,3,2,0,0,5,0
Hatem Ben Arfa,FW,Hull City,8,0,0,0,0,0,0,1,0
Darren Bent,FW,Aston Villa,7,0,0,0,0,0,0,0,0
Nabil Bentaleb,MF,Tottenham,26,0,2,2,0,0,0,8,0
Christian Benteke,FW,Aston Villa,29,13,2,15,12,1,1,1,1
Saido Berahino,FW,West Brom,38,14,1,15,10,4,4,2,0
Ryan Bertrand,MF,Southampton,34,2,2,4,2,0,0,3,1
Muhamed Bešić,MF,Everton,23,0,0,0,0,0,0,8,0
Mame Biram Diouf,FW,Stoke City,34,11,3,14,11,0,0,7,0
Sebastián Blanco,FW,West Brom,3,0,0,0,0,0,0,1,0
Daley Blind,MF,Manchester Utd,25,2,2,4,2,0,0,4,0
Yannick Bolasie,FW,Crystal Palace,34,4,6,10,4,0,0,3,0
Wilfried Bony,FW,Manchester City,10,2,1,3,2,0,0,1,0
Wilfried Bony,FW,Swansea City,20,9,2,11,8,1,1,3,1
Fabio Borini,FW,Liverpool,12,1,1,2,1,0,0,2,1
George Boyd,FW,Burnley,35,5,2,7,5,0,0,7,0
George Boyd,FW,Hull City,1,0,0,0,0,0,0,0,0
Robbie Brady,FW,Hull City,27,0,2,2,0,0,0,2,0
Liam Bridcutt,MF,Sunderland,18,0,2,2,0,0,0,7,1
Leon Britton,MF,Swansea City,9,0,0,0,0,0,0,1,0
Izzy Brown,FW,Chelsea,1,0,0,0,0,0,0,0,0
Chris Brunt,MF,West Brom,34,2,9,11,2,0,0,5,0
Will Buckley,FW,Sunderland,22,0,2,2,0,0,0,2,0
Rémy Cabella,FW,Newcastle Utd,31,1,2,3,1,0,0,2,0
Esteban Cambiasso,MF,Leicester City,31,5,1,6,5,0,0,1,0
Geoff Cameron,MF,Stoke City,27,0,1,1,0,0,0,4,0
Fraizer Campbell,FW,Crystal Palace,20,4,0,4,4,0,0,5,0
Joel Campbell,FW,Arsenal,4,0,0,0,0,0,0,0,0
Emre Can,MF,Liverpool,27,1,0,1,1,0,0,3,1
Étienne Capoue,MF,Tottenham,12,0,0,0,0,0,0,2,0
Michael Carrick,MF,Manchester Utd,18,1,2,3,1,0,0,1,0
Andy Carroll,FW,West Ham,14,5,1,6,5,0,0,2,0
Tom Carroll,MF,Swansea City,13,0,0,0,0,0,0,1,0
Lee Cattermole,MF,Sunderland,28,1,0,1,1,0,0,14,0
Santi Cazorla,MF,Arsenal,37,7,11,18,1,6,6,5,0
Nacer Chadli,FW,Tottenham,35,11,5,16,11,0,0,3,0
Nathaniel Chalobah,MF,Burnley,4,0,0,0,0,0,0,1,0
