Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Emmanuel Adebayor,FW,Arsenal,13,4,4,8,4,0,0,0,0
Gabriel Agbonlahor,FW,Aston Villa,9,1,1,2,1,0,0,0,0
Yakubu Aiyegbeni,FW,Middlesbrough,34,13,6,19,10,3,3,0,0
Jérémie Aliadière,FW,West Ham,7,0,0,0,0,0,0,0,0
Xabi Alonso,MF,Liverpool,35,3,7,10,3,0,0,8,1
Darren Ambrose,FW,Charlton Ath,28,3,2,5,3,0,0,2,1
Shola Ameobi,FW,Newcastle Utd,30,9,2,11,8,1,1,4,0
Victor Anichebe,FW,Everton,2,1,0,1,1,0,0,0,0
José Antonio Reyes,MF,Arsenal,26,5,10,15,5,0,0,5,0
Julio Arca,MF,Sunderland,24,1,3,4,1,0,0,5,0
John Arne Riise,MF,Liverpool,32,1,1,2,1,0,0,0,0
Mikel Arteta,MF,Everton,29,1,7,8,1,0,0,7,1
Dean Ashton,FW,West Ham,11,3,0,3,3,0,0,0,0
Celestine Babayaro,MF,Newcastle Utd,28,0,1,1,0,0,0,3,1
Eirik Bakke,MF,Aston Villa,14,0,0,0,0,0,0,1,0
Lee Barnard,FW,Tottenham,3,0,0,0,0,0,0,1,0
Milan Baroš,FW,Liverpool,2,0,0,0,0,0,0,0,0
Milan Baroš,FW,Aston Villa,25,8,3,11,8,0,1,7,0
Gareth Barry,MF,Aston Villa,36,3,2,5,3,0,2,11,1
Shaun Bartlett,FW,Charlton Ath,16,1,0,1,1,0,0,0,0
Joey Barton,MF,Manchester City,31,6,4,10,5,1,2,11,1
Christian Bassila,MF,Sunderland,13,0,0,0,0,0,0,0,0
James Beattie,FW,Everton,32,10,3,13,10,0,1,3,0
Craig Bellamy,FW,Blackburn,27,13,2,15,12,1,1,5,0
David Bellion,FW,West Ham,8,0,0,0,0,0,0,0,0
Emre Belözoğlu,MF,Newcastle Utd,20,2,2,4,2,0,0,4,0
Yossi Benayoun,MF,West Ham,34,5,6,11,5,0,0,3,0
Benjani,FW,Portsmouth,16,1,2,3,1,0,0,1,0
Darren Bent,FW,Charlton Ath,36,18,4,22,15,3,3,2,0
Marcus Bent,FW,Charlton Ath,13,2,0,2,2,0,0,0,0
Marcus Bent,FW,Everton,18,1,0,1,1,0,0,0,0
David Bentley,MF,Blackburn,29,3,1,4,3,0,0,7,0
Patrik Berger,MF,Aston Villa,8,0,1,1,0,0,0,1,0
Dennis Bergkamp,FW,Arsenal,24,2,1,3,2,0,0,2,0
Mathew Birley,MF,Birmingham City,1,0,0,0,0,0,,0,0
Luís Boa Morte,FW,Fulham,35,6,9,15,6,0,0,11,1
George Boateng,MF,Middlesbrough,26,2,1,3,2,0,0,5,0
Jared Borgetti,FW,Bolton,19,2,0,2,2,0,0,0,0
Jay Bothroyd,FW,Charlton Ath,18,2,0,2,2,0,0,0,0
Papa Bouba Diop,MF,Fulham,22,2,0,2,2,0,0,6,0
Lee Bowyer,MF,Newcastle Utd,28,1,2,3,1,0,0,2,1
Chris Brown,FW,Sunderland,13,1,1,2,1,0,0,4,0
Michael Brown,MF,Tottenham,9,0,0,0,0,0,0,1,0
Michael Brown,MF,Fulham,7,0,0,0,0,0,0,2,1
Jimmy Bullard,MF,Wigan Athletic,36,4,4,8,4,0,0,0,0
Nicky Butt,MF,Birmingham City,24,3,0,3,3,0,0,5,1
Tim Cahill,FW,Everton,32,6,3,9,6,0,0,8,0
Henri Camara,FW,Wigan Athletic,29,12,3,15,12,0,0,0,0
DJ Campbell,FW,Birmingham City,11,0,0,0,0,0,0,0,0
Kevin Campbell,FW,West Brom,29,3,0,3,3,0,0,1,0
Sol Campbell,FW,Arsenal,20,2,2,4,2,0,0,1,0
Iván Campo,MF,Bolton,15,2,0,2,2,0,0,2,0
Jamie Carragher,MF,Liverpool,36,0,2,2,0,0,0,5,0
Michael Carrick,MF,Tottenham,35,2,6,8,2,0,0,2,0
Lee Carsley,MF,Everton,5,0,0,0,0,0,0,1,1
Darren Carter,MF,West Brom,20,1,0,1,1,0,0,2,0
Lee Cattermole,MF,Middlesbrough,14,1,1,2,1,0,0,4,0
Richard Chaplow,MF,West Brom,7,0,0,0,0,0,0,0,0
Michael Chopra,FW,Newcastle Utd,13,1,1,2,1,0,0,0,0
Malcolm Christie,FW,Middlesbrough,6,0,0,0,0,0,0,0,0
Aliou Cissé,MF,Portsmouth,3,0,0,0,0,0,0,1,0
Djibril Cissé,FW,Liverpool,33,9,1,10,7,2,2,3,0
Lee Clark,MF,Newcastle Utd,22,1,1,2,1,0,0,4,0
Stephen Clemence,MF,Birmingham City,15,0,0,0,0,0,0,4,0
Andy Cole,FW,Manchester City,22,9,5,14,9,0,0,5,1
Carlton Cole,FW,Chelsea,9,0,0,0,0,0,0,2,0
Joe Cole,MF,Chelsea,34,7,4,11,7,0,0,7,0
David Connolly,FW,Wigan Athletic,17,1,0,1,1,0,0,0,0
Tom Craddock,FW,Middlesbrough,1,0,0,0,0,0,,0,0
Hernán Crespo,FW,Chelsea,30,10,1,11,10,0,0,1,0
Lee Croft,MF,Manchester City,21,1,1,2,1,0,0,1,0
Peter Crouch,FW,Liverpool,32,8,5,13,8,0,1,4,0
Andrés D'Alessandro,FW,Portsmouth,13,1,2,3,1,0,0,0,0
Edgar Davids,MF,Tottenham,31,1,1,2,1,0,0,10,1
Kevin Davies,FW,Bolton,37,7,7,14,7,0,0,10,0
Simon Davies,MF,Everton,30,1,1,2,1,0,0,2,0
Sean Davis,MF,Portsmouth,17,1,0,1,1,0,0,1,0
Steven Davis,MF,Aston Villa,35,4,2,6,4,0,0,0,0
