Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Milenko Ačimovič,MF,Tottenham,17,0,2,2,0,0,0,1,0
Clarence Acuña,MF,Newcastle Utd,4,0,0,0,0,0,0,0,0
Bülent Akın,MF,Bolton,1,0,0,0,0,0,0,0,0
Niclas Alexandersson,MF,Everton,7,0,0,0,0,0,0,0,0
Jérémie Aliadière,FW,Arsenal,3,1,0,1,1,0,0,0,0
Marcus Allbäck,FW,Aston Villa,19,5,1,6,5,0,0,2,0
Darren Ambrose,FW,Newcastle Utd,1,0,0,0,0,0,,0,0
Shola Ameobi,FW,Newcastle Utd,28,5,2,7,5,0,0,2,0
Darren Anderton,MF,Tottenham,20,0,6,6,0,0,0,3,1
Tore André Flo,FW,Sunderland,29,4,1,5,4,0,0,0,0
Pierre-Yves André,FW,Bolton,9,0,0,0,0,0,0,0,0
Nicolas Anelka,FW,Manchester City,38,14,5,19,13,1,1,0,0
Julio Arca,MF,Sunderland,13,0,1,1,0,0,0,0,0
John Arne Riise,MF,Liverpool,37,6,5,11,6,0,0,1,0
Celestine Babayaro,MF,Chelsea,19,1,0,1,1,0,0,3,1
Chris Baird,MF,Southampton,3,0,0,0,0,0,0,1,0
Eirik Bakke,MF,Leeds United,34,1,3,4,1,0,0,10,0
Igor Bališ,MF,West Brom,28,2,0,2,1,1,1,0,0
Salva Ballesta,FW,Bolton,5,0,0,0,0,0,0,1,0
Nick Barmby,FW,Leeds United,19,4,2,6,4,0,0,2,0
Milan Baroš,FW,Liverpool,27,9,2,11,9,0,0,3,0
Gareth Barry,MF,Aston Villa,35,3,4,7,3,0,0,11,0
Chris Bart-Williams,MF,Charlton Ath,13,1,0,1,0,1,1,0,0
Shaun Bartlett,FW,Charlton Ath,31,4,2,6,4,0,0,3,0
Joey Barton,MF,Manchester City,7,1,0,1,1,0,0,2,0
James Beattie,FW,Southampton,38,23,2,25,18,5,5,3,0
David Beckham,MF,Manchester Utd,31,6,8,14,6,0,0,5,0
Rodrigo Beckham,MF,Everton,4,0,0,0,0,0,0,0,0
Craig Bellamy,FW,Newcastle Utd,29,7,5,12,7,0,0,1,0
David Bellion,FW,Sunderland,11,1,0,1,1,0,0,0,0
Djamel Belmadi,MF,Manchester City,8,0,2,2,0,0,0,0,0
Ali Benarbia,MF,Manchester City,33,3,6,9,3,0,0,4,1
Patrik Berger,MF,Liverpool,2,0,0,0,0,0,0,0,0
Dennis Bergkamp,FW,Arsenal,29,4,9,13,4,0,0,3,0
Eyal Berkovic,MF,Manchester City,27,1,8,9,1,0,0,2,0
Igor Bišćan,MF,Liverpool,6,0,0,0,0,0,0,0,0
