Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Nabil Abidallah,MF,Ipswich Town,2,0,0,0,0,0,0,0,0
Clarence Acuña,MF,Newcastle Utd,26,3,0,3,3,0,0,5,0
Ade Akinbiyi,FW,Leicester City,37,9,2,11,9,0,0,1,0
Rati Aleksidze,FW,Chelsea,2,0,0,0,0,0,0,0,0
Niclas Alexandersson,MF,Everton,20,2,1,3,2,0,0,2,0
Danny Allsopp,FW,Manchester City,1,0,0,0,0,0,0,0,0
John Aloisi,FW,Coventry City,18,3,2,5,3,0,0,0,0
Shola Ameobi,FW,Newcastle Utd,20,2,2,4,2,0,0,0,0
Darren Anderton,MF,Tottenham,23,2,3,5,0,2,3,7,0
Tore André Flo,FW,Chelsea,14,3,3,6,3,0,0,1,0
Julio Arca,MF,Sunderland,27,2,4,6,2,0,0,5,0
Alun Armstrong,FW,Ipswich Town,21,8,2,10,8,0,0,0,0
Chris Armstrong,FW,Tottenham,9,2,0,2,2,0,0,0,0
Peter Atherton,MF,Bradford City,25,0,2,2,0,0,0,1,0
Celestine Babayaro,MF,Chelsea,24,0,5,5,0,0,0,4,0
Karim Bagheri,MF,Charlton Ath,1,0,0,0,0,0,0,0,0
Eirik Bakke,MF,Leeds United,29,2,1,3,2,0,0,9,0
Nick Barmby,FW,Liverpool,26,2,3,5,2,0,0,3,0
Gareth Barry,MF,Aston Villa,30,0,0,0,0,0,0,3,0
Shaun Bartlett,FW,Charlton Ath,18,7,1,8,7,0,0,0,0
Christian Bassedas,MF,Newcastle Utd,22,1,0,1,1,0,0,5,0
Christian Bassila,MF,West Ham,3,0,0,0,0,0,0,0,0
David Batty,MF,Leeds United,16,0,0,0,0,0,0,2,1
Peter Beagrie,FW,Bradford City,19,1,1,2,1,0,0,2,0
James Beattie,FW,Southampton,37,11,4,15,11,0,0,5,0
David Beckham,MF,Manchester Utd,31,9,12,21,8,1,1,3,0
Craig Bellamy,FW,Coventry City,34,6,1,7,4,2,2,7,0
Trevor Benjamin,FW,Leicester City,21,1,0,1,1,0,0,1,0
Patrik Berger,MF,Liverpool,14,2,5,7,1,1,1,1,0
Dennis Bergkamp,FW,Arsenal,25,3,3,6,3,0,0,2,0
Robert Betts,MF,Coventry City,1,0,0,0,0,0,,0,0
Igor Bišćan,MF,Liverpool,13,0,0,0,0,0,0,1,1
Ian Bishop,MF,Manchester City,10,0,0,0,0,0,0,0,0
Robbie Blake,FW,Bradford City,20,4,0,4,1,3,4,0,0
Imants Bleidelis,MF,Southampton,1,0,0,0,0,0,0,0,0
George Boateng,MF,Aston Villa,33,1,0,1,1,0,0,9,0
Lars Bohinen,MF,Derby County,2,0,0,0,0,0,0,0,0
Alen Bokšić,FW,Middlesbrough,28,12,3,15,10,2,2,3,0
Adam Bolder,MF,Derby County,2,0,0,0,0,0,,0,0
Andy Booth,FW,Tottenham,4,0,0,0,0,0,0,0,0
Jay Bothroyd,FW,Coventry City,8,0,0,0,0,0,0,0,0
Lee Bowyer,MF,Leeds United,38,9,5,14,9,0,0,9,0
Michael Bridges,FW,Leeds United,7,0,3,3,0,0,0,0,0
Mark Burchill,FW,Ipswich Town,7,1,1,2,1,0,0,0,0
Craig Burley,MF,Derby County,24,2,2,4,2,0,1,5,0
Jacob Burns,MF,Leeds United,4,0,0,0,0,0,0,0,0
Deon Burton,FW,Derby County,32,5,2,7,4,1,1,4,1
Thomas Butler,MF,Sunderland,4,0,0,0,0,0,0,0,0
Nicky Butt,MF,Manchester Utd,28,3,2,5,3,0,0,8,0
Danny Cadamarteri,FW,Everton,16,4,2,6,4,0,0,2,0
Titi Camara,FW,West Ham,6,0,0,0,0,0,0,1,0
Andy Campbell,FW,Middlesbrough,7,0,1,1,0,0,0,0,0
Kevin Campbell,FW,Everton,29,9,2,11,9,0,0,1,0
Sol Campbell,FW,Tottenham,21,2,0,2,2,0,0,1,0
Benito Carbone,FW,Bradford City,31,5,4,9,5,0,1,3,0
Jamie Carragher,MF,Liverpool,34,0,0,0,0,0,0,6,0
Michael Carrick,MF,West Ham,33,1,3,4,1,0,0,2,0
Lee Carsley,MF,Coventry City,21,2,1,3,1,1,1,6,0
Luke Chadwick,MF,Manchester Utd,16,2,0,2,2,0,0,0,1
Youssef Chippo,MF,Coventry City,32,0,0,0,0,0,0,7,0
Malcolm Christie,FW,Derby County,34,8,1,9,8,0,0,5,0
Stephen Clemence,MF,Tottenham,29,1,7,8,1,0,0,4,0
Andy Cole,FW,Manchester Utd,19,9,3,12,9,0,0,1,1
Joe Cole,MF,West Ham,30,5,2,7,5,0,0,5,0
Stan Collymore,FW,Bradford City,7,2,0,2,2,0,0,0,0
Stan Collymore,FW,Leicester City,5,1,0,1,1,0,0,0,0
James Coppinger,FW,Newcastle Utd,1,0,0,0,0,0,0,0,0
Daniel Cordone,FW,Newcastle Utd,21,2,1,3,2,0,0,0,0
Carl Cort,FW,Newcastle Utd,13,6,2,8,6,0,0,1,0
Tony Cottee,FW,Leicester City,2,0,0,0,0,0,0,0,0
Jody Craddock,MF,Sunderland,34,0,1,1,0,0,0,3,0
Richard Cresswell,FW,Leicester City,8,0,0,0,0,0,0,1,0
Lee Crooks,MF,Manchester City,2,0,0,0,0,0,0,0,0
Olivier Dacourt,MF,Leeds United,33,3,3,6,3,0,0,13,0
Samuele Dalla Bona,MF,Chelsea,29,2,3,5,2,0,0,8,0
Tomas Danilevičius,FW,Arsenal,2,0,0,0,0,0,0,0,0
Kevin Davies,FW,Southampton,27,1,3,4,1,0,0,9,0
Simon Davies,MF,Tottenham,13,2,3,5,2,0,0,0,0
Gilles De Bilde,FW,Aston Villa,4,0,0,0,0,0,0,0,0
Brian Deane,FW,Middlesbrough,25,2,1,3,2,0,0,2,0
Jermain Defoe,FW,West Ham,1,0,0,0,0,0,0,0,0
Rory Delap,MF,Derby County,33,3,0,3,3,0,0,3,0
Marcel Desailly,MF,Chelsea,34,2,1,3,2,0,0,9,0
Paolo Di Canio,FW,West Ham,31,10,7,17,7,3,3,6,0
Roberto Di Matteo,MF,Chelsea,7,0,1,1,0,0,0,0,0
Kaba Diawara,FW,West Ham,10,0,0,0,0,0,0,0,0
Danny Dichio,FW,Sunderland,15,1,1,2,1,0,0,2,0
Paul Dickov,FW,Manchester City,21,4,2,6,4,0,0,7,1
Bernard Diomède,FW,Liverpool,2,0,0,0,0,0,0,2,0
Bojan Djordjic,MF,Manchester Utd,1,0,0,0,0,0,0,0,0
Gary Doherty,FW,Tottenham,22,3,1,4,3,0,0,3,0
José Dominguez,MF,Tottenham,2,0,0,0,0,0,0,0,0
Mark Draper,MF,Southampton,22,1,1,2,1,0,0,5,0
Dion Dublin,FW,Aston Villa,33,8,4,12,7,1,1,2,0
Terry Dunfield,MF,Manchester City,1,0,0,0,0,0,0,0,0
Kieron Dyer,MF,Newcastle Utd,26,5,5,10,4,1,1,0,1
Darren Eadie,MF,Leicester City,24,2,1,3,2,0,0,4,0
Trond Egil Soltvedt,MF,Southampton,6,1,0,1,1,0,0,0,0
Kevin Ellison,MF,Leicester City,1,0,0,0,0,0,0,0,0
Stefano Eranio,MF,Derby County,28,2,6,8,2,0,0,7,0
Matthew Etherington,MF,Tottenham,6,0,0,0,0,0,0,1,0
John Eustace,MF,Coventry City,32,2,1,3,2,0,0,11,0
Les Ferdinand,FW,Tottenham,28,10,1,11,10,0,0,4,0
Duncan Ferguson,FW,Everton,12,6,2,8,6,0,0,2,0
Mark Fish,FW,Charlton Ath,24,1,0,1,1,0,0,0,0
Jimmy Floyd Hasselbaink,FW,Chelsea,35,23,9,32,19,4,4,6,1
Quinton Fortune,MF,Manchester Utd,7,2,0,2,2,0,0,0,0
Robbie Fowler,FW,Liverpool,27,8,3,11,8,0,1,0,0
Steffen Freund,MF,Tottenham,21,0,0,0,0,0,0,4,0
Kevin Gallacher,FW,Newcastle Utd,19,2,0,2,2,0,0,0,0
