Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Clarence Acuña,MF,Newcastle Utd,16,3,0,3,3,0,0,3,0
Ade Akinbiyi,FW,Leicester City,21,2,1,3,2,0,0,3,0
Niclas Alexandersson,MF,Everton,31,2,4,6,2,0,0,1,0
Jérémie Aliadière,FW,Arsenal,1,0,0,0,0,0,0,0,0
Darren Ambrose,FW,Ipswich Town,1,0,0,0,0,0,,0,0
Shola Ameobi,FW,Newcastle Utd,15,0,0,0,0,0,0,0,0
Darren Anderton,MF,Tottenham,35,3,5,8,3,0,0,1,0
Nicolas Anelka,FW,Liverpool,20,4,2,6,4,0,0,0,0
Julio Arca,MF,Sunderland,22,1,4,5,1,0,0,3,0
Alun Armstrong,FW,Ipswich Town,32,4,0,4,4,0,0,1,0
John Arne Riise,MF,Liverpool,38,7,3,10,7,0,0,1,0
Celestine Babayaro,MF,Chelsea,18,0,1,1,0,0,0,6,0
Eirik Bakke,MF,Leeds United,27,2,1,3,2,0,0,6,0
Boško Balaban,FW,Aston Villa,5,0,0,0,0,0,0,0,0
Nick Barmby,FW,Liverpool,6,0,0,0,0,0,0,1,0
Gareth Barry,MF,Aston Villa,20,0,3,3,0,0,0,0,0
Chris Bart-Williams,MF,Charlton Ath,16,1,2,3,1,0,0,2,0
Shaun Bartlett,FW,Charlton Ath,14,2,0,2,2,0,0,2,0
Christian Bassedas,MF,Newcastle Utd,2,0,0,0,0,0,0,0,0
David Batty,MF,Leeds United,36,0,2,2,0,0,0,8,0
James Beattie,FW,Southampton,28,12,4,16,10,2,2,3,0
David Beckham,MF,Manchester Utd,28,11,8,19,10,1,1,6,0
Craig Bellamy,FW,Newcastle Utd,27,9,4,13,9,0,0,8,1
David Bellion,FW,Sunderland,7,0,0,0,0,0,0,0,0
Trevor Benjamin,FW,Leicester City,11,0,0,0,0,0,0,2,0
Darren Bent,FW,Ipswich Town,5,1,0,1,1,0,0,0,0
Marcus Bent,FW,Ipswich Town,25,9,1,10,9,0,,2,0
Marcus Bent,FW,Blackburn,9,0,1,1,0,0,,2,0
Patrik Berger,MF,Liverpool,21,1,2,3,1,0,0,0,0
Dennis Bergkamp,FW,Arsenal,33,9,12,21,9,0,0,2,0
