Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Neil Adams,MF,Oldham Athletic,32,8,2,10,7,1,2,2,0
Bradley Allen,FW,QPR,25,10,4,14,10,0,0,0,0
Paul Allen,MF,Tottenham,38,3,2,5,3,0,0,1,0
Joe Allon,FW,Chelsea,3,0,0,0,0,0,0,0,0
Darren Anderton,MF,Tottenham,34,6,11,17,6,0,0,0,0
Steve Anthrobus,FW,Wimbledon,5,0,0,0,0,0,0,1,0
Neal Ardley,MF,Wimbledon,26,4,7,11,4,0,0,1,0
Chris Armstrong,FW,Crystal Palace,35,15,2,17,15,0,1,3,1
Peter Atherton,MF,Coventry City,39,0,0,0,0,0,0,3,0
Mark Atkins,MF,Blackburn,31,5,3,8,5,0,0,1,0
Dalian Atkinson,FW,Aston Villa,28,11,4,15,11,0,0,1,0
Dennis Bailey,FW,QPR,15,1,1,2,1,0,0,0,0
Nicky Banger,FW,Southampton,27,6,4,10,6,0,0,0,0
Gary Bannister,FW,Nott'ham Forest,31,8,2,10,8,0,0,1,0
Simon Barker,MF,QPR,25,1,1,2,1,0,0,1,0
Stuart Barlow,FW,Everton,26,5,1,6,5,0,0,0,0
Nick Barmby,FW,Tottenham,22,6,3,9,6,0,0,0,0
Darren Barnard,MF,Chelsea,13,1,2,3,1,0,0,0,0
John Barnes,FW,Liverpool,27,5,6,11,4,1,1,0,0
Chris Bart-Williams,MF,Sheffield Weds,34,6,2,8,6,0,0,0,0
Neal Bartlett,MF,Southampton,1,0,0,0,0,0,,0,0
David Batty,MF,Leeds United,30,1,2,3,1,0,0,7,0
Peter Beagrie,FW,Everton,22,3,0,3,3,0,0,2,0
Peter Beardsley,FW,Everton,39,10,7,17,6,4,4,0,0
Darren Beckford,FW,Norwich City,8,1,0,1,1,0,0,0,0
Darren Beckford,FW,Oldham Athletic,7,3,1,4,3,0,0,1,0
Stefan Beinlich,MF,Aston Villa,7,0,0,0,0,0,0,0,0
