Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Charlie Adam,MF,Blackpool,35,12,8,20,5,7,8,11,0
Emmanuel Adebayor,FW,Manchester City,8,1,0,1,0,1,1,0,0
Gabriel Agbonlahor,FW,Aston Villa,26,3,1,4,3,0,0,3,0
Yakubu Aiyegbeni,FW,Everton,14,1,1,2,1,0,0,0,0
Marc Albrighton,FW,Aston Villa,29,5,4,9,5,0,0,3,0
Marcos Alonso,MF,Bolton,4,0,0,0,0,0,0,3,0
Sammy Ameobi,FW,Newcastle Utd,1,0,0,0,0,0,0,0,0
Shola Ameobi,FW,Newcastle Utd,28,6,3,9,4,2,2,2,0
Anderson,MF,Manchester Utd,18,1,2,3,1,0,0,2,0
Keith Andrews,MF,Blackburn,5,0,0,0,0,0,0,0,0
Nicolas Anelka,FW,Chelsea,32,6,4,10,6,0,0,0,0
Victor Anichebe,FW,Everton,16,0,0,0,0,0,0,3,1
Andrey Arshavin,FW,Arsenal,37,6,11,17,5,1,1,1,0
Mikel Arteta,MF,Everton,29,3,5,8,3,0,1,1,1
Fábio Aurélio,MF,Liverpool,14,0,0,0,0,0,0,2,0
Demba Ba,FW,West Ham,12,7,0,7,7,0,0,1,0
Ryan Babel,FW,Liverpool,9,1,0,1,1,0,0,0,0
Chris Baird,MF,Fulham,29,2,1,3,2,0,0,5,0
Gareth Bale,FW,Tottenham,30,7,1,8,7,0,0,1,0
Mario Balotelli,FW,Manchester City,17,6,0,6,4,2,2,6,1
Barry Bannan,MF,Aston Villa,12,0,1,1,0,0,0,1,0
Giles Barnes,FW,West Brom,14,0,0,0,0,0,0,0,0
Pablo Barrera,FW,West Ham,14,0,0,0,0,0,0,0,0
Gareth Barry,MF,Manchester City,33,2,2,4,2,0,0,8,0
Joey Barton,MF,Newcastle Utd,32,4,9,13,2,2,2,7,0
Chris Basham,MF,Blackpool,2,0,1,1,0,0,0,1,0
Jose Baxter,FW,Everton,1,0,0,0,0,0,0,0,0
James Beattie,FW,Blackpool,9,0,3,3,0,0,0,0,0
Jean Beausejour,FW,Birmingham City,17,2,0,2,2,0,0,0,0
Bebé,FW,Manchester Utd,2,0,0,0,0,0,0,0,0
Jermaine Beckford,FW,Everton,32,8,2,10,8,0,0,3,0
Roman Bednář,FW,West Brom,4,0,0,0,0,0,0,0,0
Valon Behrami,MF,West Ham,7,2,0,2,2,0,0,1,0
Hatem Ben Arfa,FW,Newcastle Utd,4,1,0,1,1,0,0,0,0
Yossi Benayoun,MF,Chelsea,7,1,0,1,1,0,0,0,0
Nicklas Bendtner,FW,Arsenal,17,2,1,3,2,0,0,2,0
Benjani,FW,Blackburn,18,3,0,3,3,0,0,0,0
Darren Bent,FW,Aston Villa,16,9,1,10,9,0,0,0,0
Darren Bent,FW,Sunderland,20,8,0,8,5,3,3,1,0
Marcus Bent,FW,Wolves,3,0,0,0,0,0,0,0,0
David Bentley,MF,Tottenham,2,0,0,0,0,0,0,1,0
David Bentley,MF,Birmingham City,13,0,1,1,0,0,0,0,0
Dimitar Berbatov,FW,Manchester Utd,32,20,4,24,20,0,0,1,0
Ryan Bertrand,MF,Chelsea,1,0,1,1,0,0,0,0,0
Leon Best,FW,Newcastle Utd,11,6,0,6,6,0,0,0,0
Diniyar Bilyaletdinov,MF,Everton,26,2,2,4,2,0,0,1,1
Mame Biram Diouf,FW,Blackburn,27,3,1,4,3,0,0,2,0
