Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Didier Drogba,FW,Chelsea,26,10,5,15,10,0,0,2,0
Damien Duff,FW,Chelsea,30,6,7,13,6,0,0,1,0
David Dunn,MF,Birmingham City,11,2,3,5,2,0,0,4,0
Kieron Dyer,MF,Newcastle Utd,23,4,0,4,4,0,0,0,1
Lloyd Dyer,MF,West Brom,4,0,0,0,0,0,,0,0
Robert Earnshaw,FW,West Brom,31,11,1,12,9,2,3,0,0
Emmanuel Eboué,MF,Arsenal,1,0,0,0,0,0,0,0,0
Brett Emerton,MF,Blackburn,37,4,4,8,4,0,0,4,0
Jason Euell,FW,Charlton Ath,26,2,2,4,2,0,0,1,0
Cesc Fàbregas,FW,Arsenal,33,2,5,7,2,0,0,4,0
Khalilou Fadiga,MF,Bolton,5,0,0,0,0,0,0,0,0
Amdy Faye,MF,Portsmouth,20,0,0,0,0,0,0,4,1
Amdy Faye,MF,Newcastle Utd,9,0,0,0,0,0,0,3,0
Les Ferdinand,FW,Bolton,12,1,1,2,1,0,0,1,0
Barry Ferguson,MF,Blackburn,21,2,1,3,2,0,0,4,0
Duncan Ferguson,FW,Everton,35,5,3,8,5,0,0,2,1
Fabrice Fernandes,MF,Southampton,16,0,4,4,0,0,0,0,0
Mark Fish,FW,Charlton Ath,7,0,0,0,0,0,0,0,0
Mathieu Flamini,MF,Arsenal,21,1,1,2,1,0,0,1,0
Darren Fletcher,MF,Manchester Utd,18,3,2,5,3,0,0,0,0
Garry Flitcroft,MF,Blackburn,19,0,0,0,0,0,0,4,0
Willo Flood,MF,Manchester City,9,1,0,1,1,0,0,1,0
Jimmy Floyd Hasselbaink,FW,Middlesbrough,36,13,7,20,13,0,0,2,0
Yoann Folly,MF,Southampton,3,0,0,0,0,0,,0,0
Diego Forlán,FW,Manchester Utd,1,0,0,0,0,0,0,0,0
Mikael Forssell,FW,Birmingham City,4,0,1,1,0,0,0,0,0
Mikael Forssell,FW,Chelsea,1,0,0,0,0,0,0,0,0
Quinton Fortune,MF,Manchester Utd,17,0,0,0,0,0,0,1,0
Robbie Fowler,FW,Manchester City,32,11,5,16,9,2,3,3,0
Damien Francis,MF,Norwich City,32,7,1,8,7,0,0,3,0
Dougie Freedman,FW,Crystal Palace,20,1,0,1,1,0,0,0,0
Ricardo Fuller,FW,Portsmouth,31,1,1,2,1,0,0,4,0
Paul Gallagher,FW,Blackburn,16,2,1,3,2,0,0,0,0
Morten Gamst Pedersen,FW,Blackburn,19,4,3,7,4,0,0,1,0
Luis García,MF,Liverpool,29,8,4,12,8,0,0,6,0
Ricardo Gardner,MF,Bolton,33,0,1,1,0,0,0,3,0
Edu Gaspar,MF,Arsenal,12,2,1,3,1,1,1,1,0
Zoltán Gera,MF,West Brom,38,6,3,9,6,0,0,4,0
Geremi,MF,Chelsea,13,0,0,0,0,0,0,1,0
Steven Gerrard,MF,Liverpool,30,7,4,11,7,0,1,3,0
Stelios Giannakopoulos,FW,Bolton,34,7,4,11,7,0,0,5,0
Ryan Giggs,FW,Manchester Utd,32,6,9,15,6,0,0,3,0
Danny Graham,FW,Middlesbrough,11,1,0,1,1,0,0,0,0
Anthony Grant,MF,Chelsea,1,0,0,0,0,0,,0,0
Thomas Gravesen,MF,Everton,21,4,6,10,2,2,2,3,0
