Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Miles Addison,MF,Derby County,1,0,0,0,0,0,0,0,0
Emmanuel Adebayor,FW,Arsenal,36,24,4,28,21,3,3,3,0
Gabriel Agbonlahor,FW,Aston Villa,37,11,4,15,11,0,0,4,0
Julius Aghahowa,FW,Wigan Athletic,14,0,1,1,0,0,0,2,0
Yakubu Aiyegbeni,FW,Middlesbrough,2,0,0,0,0,0,0,0,0
Yakubu Aiyegbeni,FW,Everton,29,15,2,17,14,1,1,2,0
Jérémie Aliadière,FW,Middlesbrough,29,5,6,11,5,0,0,3,1
Mikel Alonso,MF,Bolton,7,0,0,0,0,0,0,0,0
Xabi Alonso,MF,Liverpool,19,2,1,3,2,0,0,3,0
Afonso Alves,FW,Middlesbrough,11,6,1,7,6,0,0,0,0
Shola Ameobi,FW,Newcastle Utd,6,0,0,0,0,0,0,0,0
Anderson,MF,Manchester Utd,24,0,0,0,0,0,0,2,0
Leon Andreasen,MF,Fulham,13,0,0,0,0,0,0,3,1
Nicolas Anelka,FW,Bolton,18,10,1,11,,,,1,0
Nicolas Anelka,FW,Chelsea,14,1,3,4,,,,0,0
Victor Anichebe,FW,Everton,27,1,1,2,1,0,0,1,0
Julio Arca,MF,Middlesbrough,24,2,4,6,2,0,0,6,0
John Arne Riise,MF,Liverpool,29,0,3,3,0,0,0,3,0
Mikel Arteta,MF,Everton,28,1,5,6,1,0,0,2,1
Dean Ashton,FW,West Ham,31,10,0,10,10,0,0,0,0
Nathan Ashton,MF,Fulham,1,0,0,0,0,0,0,0,0
Fábio Aurélio,MF,Liverpool,16,1,1,2,1,0,0,1,0
Ryan Babel,FW,Liverpool,30,4,3,7,4,0,0,1,0
Chris Baird,MF,Fulham,18,0,0,0,0,0,0,3,1
Gareth Bale,FW,Tottenham,8,2,0,2,2,0,0,1,0
Michael Ballack,MF,Chelsea,18,7,0,7,5,2,2,5,0
Giles Barnes,FW,Derby County,21,1,1,2,1,0,0,0,0
Milan Baroš,FW,Portsmouth,12,0,1,1,0,0,0,0,0
Gareth Barry,MF,Aston Villa,37,9,10,19,4,5,6,5,0
Joey Barton,MF,Newcastle Utd,23,1,3,4,0,1,1,4,0
Craig Bellamy,FW,West Ham,8,2,1,3,2,0,0,2,0
Juliano Belletti,MF,Chelsea,23,2,1,3,2,0,0,5,0
Emre Belözoğlu,MF,Newcastle Utd,14,1,4,5,1,0,0,1,0
Yossi Benayoun,MF,Liverpool,30,4,2,6,4,0,0,0,0
Nicklas Bendtner,FW,Arsenal,27,5,3,8,5,0,0,3,1
Benjani,FW,Portsmouth,23,12,1,13,12,0,1,1,0
Benjani,FW,Manchester City,13,3,0,3,3,0,0,0,0
Darren Bent,FW,Tottenham,27,6,3,9,6,0,0,0,0
Marcus Bent,FW,Wigan Athletic,31,7,2,9,7,0,0,1,0
David Bentley,MF,Blackburn,37,6,8,14,6,0,0,8,0
Dimitar Berbatov,FW,Tottenham,36,15,9,24,14,1,1,3,0
Patrik Berger,MF,Aston Villa,8,0,1,1,0,0,0,1,0
Bruno Berner,MF,Blackburn,2,0,0,0,0,0,0,1,0
Rolando Bianchi,FW,Manchester City,19,4,1,5,4,0,0,0,0
André Bikey,MF,Reading,22,3,0,3,3,0,0,7,0
Luís Boa Morte,FW,West Ham,27,0,2,2,0,0,0,4,1
George Boateng,MF,Middlesbrough,33,1,3,4,1,0,0,9,0
Kevin-Prince Boateng,FW,Tottenham,13,0,0,0,0,0,0,2,0
Valeri Bojinov,FW,Manchester City,3,0,0,0,0,0,0,0,0
Hameur Bouazza,FW,Fulham,20,1,1,2,1,0,0,2,1
Papa Bouba Diop,MF,Portsmouth,25,0,3,3,0,0,0,6,0
Papa Bouba Diop,MF,Fulham,2,0,0,0,0,0,0,1,0
Lee Bowyer,MF,West Ham,15,4,2,6,4,0,0,7,1
Daniel Braaten,FW,Bolton,6,1,0,1,1,0,0,0,0
Michael Brown,MF,Wigan Athletic,31,0,0,0,0,0,0,11,0
Jimmy Bullard,MF,Fulham,17,2,3,5,2,0,0,0,0
Nicky Butt,MF,Newcastle Utd,35,3,1,4,3,0,0,13,0
Caçapa,MF,Newcastle Utd,19,1,0,1,1,0,0,1,0
Tim Cahill,FW,Everton,18,7,2,9,7,0,0,4,0
Felipe Caicedo,FW,Manchester City,10,0,0,0,0,0,0,1,0
Henri Camara,FW,West Ham,10,0,1,1,0,0,0,1,0
Fraizer Campbell,FW,Manchester Utd,1,0,0,0,0,0,0,0,0
Sol Campbell,FW,Portsmouth,31,1,0,1,1,0,0,2,0
Iván Campo,MF,Bolton,27,1,1,2,1,0,0,8,0
John Carew,FW,Aston Villa,32,13,1,14,12,1,1,5,0
Jamie Carragher,MF,Liverpool,35,0,2,2,0,0,0,4,0
Michael Carrick,MF,Manchester Utd,31,2,2,4,2,0,0,2,0
Andy Carroll,FW,Newcastle Utd,4,0,1,1,0,0,0,0,0
Lee Carsley,MF,Everton,34,1,4,5,1,0,0,6,0
Nery Castillo,FW,Manchester City,7,0,0,0,0,0,0,0,0
Lee Cattermole,MF,Middlesbrough,24,1,0,1,1,0,0,5,0
Michael Chopra,FW,Sunderland,33,6,0,6,5,1,1,7,0
Kalifa Cissé,MF,Reading,22,1,1,2,1,0,0,4,1
Tamir Cohen,MF,Bolton,10,1,0,1,1,0,0,1,0
Andy Cole,FW,Sunderland,7,0,0,0,0,0,0,0,0
Carlton Cole,FW,West Ham,31,4,7,11,4,0,0,9,0
Joe Cole,MF,Chelsea,33,7,5,12,7,0,0,5,0
Jack Collison,MF,West Ham,2,0,0,0,0,0,0,0,0
David Connolly,FW,Sunderland,3,0,0,0,0,0,0,0,0
Bobby Convey,FW,Reading,20,0,2,2,0,0,0,1,0
David Cotterill,FW,Wigan Athletic,2,0,0,0,0,0,0,0,0
Tom Craddock,FW,Middlesbrough,3,0,0,0,0,0,0,0,0
Peter Crouch,FW,Liverpool,21,5,1,6,5,0,0,0,0
Neil Danns,MF,Birmingham City,2,0,0,0,0,0,0,0,0
Kevin Davies,FW,Bolton,32,3,4,7,3,0,0,10,0
Simon Davies,MF,Fulham,37,5,7,12,5,0,0,6,0
Sean Davis,MF,Portsmouth,22,1,2,3,1,0,0,8,0
Steven Davis,MF,Fulham,22,0,0,0,0,0,0,2,0
Jermain Defoe,FW,Tottenham,19,4,1,5,4,0,1,3,0
Jermain Defoe,FW,Portsmouth,12,8,1,9,6,2,2,2,0
Clint Dempsey,FW,Fulham,36,6,1,7,6,0,0,4,0
Denílson,MF,Arsenal,13,0,1,1,0,0,0,0,0
Matt Derbyshire,FW,Blackburn,23,3,1,4,3,0,0,1,0
Abou Diaby,MF,Arsenal,15,1,1,2,1,0,0,0,1
Lassana Diarra,MF,Arsenal,7,0,0,0,0,0,0,1,0
Lassana Diarra,MF,Portsmouth,12,1,0,1,1,0,0,2,0
Lee Dong-gook,FW,Middlesbrough,14,0,0,0,0,0,0,2,0
Stewart Downing,FW,Middlesbrough,38,9,6,15,7,2,2,3,0
Kevin Doyle,FW,Reading,36,6,2,8,6,0,1,1,0
Didier Drogba,FW,Chelsea,19,8,6,14,8,0,0,7,1
Damien Duff,FW,Newcastle Utd,16,0,0,0,0,0,0,3,0
David Dunn,MF,Blackburn,31,1,3,4,1,0,0,8,1
Kieron Dyer,MF,West Ham,2,0,0,0,0,0,0,0,0
Chris Eagles,MF,Manchester Utd,4,0,0,0,0,0,0,0,0
Robert Earnshaw,FW,Derby County,22,1,0,1,1,0,0,0,0
Emmanuel Eboué,MF,Arsenal,23,0,2,2,0,0,0,5,0
Carlos Edwards,MF,Sunderland,13,0,0,0,0,0,0,0,0
Elano,MF,Manchester City,34,8,9,17,6,2,2,3,0
Brett Emerton,MF,Blackburn,33,1,1,2,1,0,0,4,1
Michael Essien,MF,Chelsea,27,6,3,9,6,0,0,5,1
Matthew Etherington,MF,West Ham,18,3,1,4,3,0,0,2,0
Dickson Etuhu,MF,Sunderland,20,1,1,2,1,0,0,4,0
Kelvin Etuhu,FW,Manchester City,6,1,1,2,1,0,0,1,0
Cesc Fàbregas,FW,Arsenal,32,7,17,24,7,0,0,9,0
Emerse Faé,MF,Reading,8,0,0,0,0,0,0,0,0
Craig Fagan,FW,Derby County,22,0,0,0,0,0,0,6,0
Julien Faubert,FW,West Ham,7,0,0,0,0,0,0,1,0
