Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Neil Adams,MF,Norwich City,14,0,4,4,0,0,0,0,0
Neil Adams,MF,Oldham Athletic,13,0,0,0,0,0,0,0,0
Jan Åge Fjørtoft,FW,Swindon Town,36,12,1,13,10,2,2,2,0
Ade Akinbiyi,FW,Norwich City,2,0,0,0,0,0,,0,0
Bradley Allen,FW,QPR,21,7,1,8,7,0,0,0,0
Clive Allen,FW,West Ham,7,2,0,2,2,0,0,0,0
Malcolm Allen,FW,Newcastle Utd,9,5,2,7,3,2,2,0,0
Martin Allen,MF,West Ham,26,6,2,8,6,0,0,4,0
Paul Allen,MF,Southampton,32,1,3,4,1,0,0,5,0
Paul Allen,MF,Tottenham,1,0,0,0,0,0,0,0,0
Darren Anderton,MF,Tottenham,37,6,6,12,6,0,0,0,0
Brett Angell,FW,Everton,16,1,1,2,1,0,0,0,0
Matty Appleby,MF,Newcastle Utd,1,0,0,0,0,0,,0,0
Neal Ardley,MF,Wimbledon,16,1,0,1,1,0,0,0,0
Peter Atherton,MF,Coventry City,40,0,1,1,0,0,0,0,0
Mark Atkins,MF,Blackburn,15,1,1,2,1,0,0,1,0
Dalian Atkinson,FW,Aston Villa,29,8,5,13,8,0,0,1,0
Nicky Banger,FW,Southampton,14,0,0,0,0,0,0,1,0
Simon Barker,MF,QPR,37,5,3,8,5,0,0,5,1
Stuart Barlow,FW,Everton,22,3,0,3,3,0,0,0,0
Nick Barmby,FW,Tottenham,27,5,2,7,4,1,2,0,0
Darren Barnard,MF,Chelsea,12,1,2,3,1,0,0,0,0
John Barnes,FW,Liverpool,26,3,2,5,3,0,0,0,0
Chris Bart-Williams,MF,Sheffield Weds,37,8,5,13,8,0,0,1,0
Neal Bartlett,MF,Southampton,7,0,1,1,0,0,0,0,0
David Batty,MF,Leeds United,9,0,1,1,0,0,0,1,0
David Batty,MF,Blackburn,26,0,2,2,0,0,0,3,0
Peter Beagrie,FW,Manchester City,9,1,5,6,,,,1,0
Peter Beagrie,FW,Everton,29,4,2,6,,,,1,0
Peter Beardsley,FW,Newcastle Utd,35,21,8,29,14,7,,2,0
Darren Beckford,FW,Oldham Athletic,22,6,0,6,6,0,0,1,0
Stefan Beinlich,MF,Aston Villa,7,1,1,2,1,0,0,0,0
Frankie Bennett,FW,Southampton,8,1,0,1,1,0,,0,0
David Beresford,MF,Oldham Athletic,1,0,0,0,0,0,0,0,0
Paul Bernard,MF,Oldham Athletic,32,5,1,6,5,0,0,1,0
Greg Berry,MF,Wimbledon,4,1,0,1,1,0,,0,0
Ian Bishop,MF,West Ham,36,1,4,5,1,0,0,1,0
Nathan Blake,FW,Sheffield Utd,12,5,0,5,5,0,0,0,0
Gary Blissett,FW,Wimbledon,18,3,2,5,3,0,0,1,0
Jeroen Boere,FW,West Ham,4,0,0,0,0,0,,0,1
Willie Boland,MF,Coventry City,27,0,1,1,0,0,0,0,0
Paul Bracewell,MF,Newcastle Utd,32,1,0,1,1,0,0,3,0
Matthias Breitkreutz,MF,Aston Villa,2,0,0,0,0,0,0,0,0
Mark Brennan,MF,Oldham Athletic,11,0,1,1,0,0,0,1,0
Mark Bright,FW,Sheffield Weds,40,19,6,25,19,0,0,3,0
Lee Briscoe,MF,Sheffield Weds,1,0,0,0,0,0,0,0,0
Craig Burley,MF,Chelsea,23,3,3,6,3,0,0,1,0
Peter Butler,MF,West Ham,26,1,1,2,1,0,0,3,0
Nicky Butt,MF,Manchester Utd,1,0,0,0,0,0,0,0,0
Kevin Campbell,FW,Arsenal,37,14,4,18,14,0,1,0,0
Sol Campbell,FW,Tottenham,34,0,2,2,0,0,0,1,0
Eric Cantona,FW,Manchester Utd,34,18,12,30,16,2,2,2,2
