Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Brenden Aaronson,MF,Leeds United,36,1,3,4,1,0,0,2,0
George Abbott,MF,Tottenham,1,0,0,0,0,0,0,0,0
Che Adams,FW,Southampton,28,5,3,8,5,0,0,1,0
Tyler Adams,MF,Leeds United,24,0,0,0,0,0,0,6,1
Naouirou Ahamada,MF,Crystal Palace,8,0,0,0,0,0,0,1,0
Marc Albrighton,FW,Leicester City,6,1,0,1,1,0,0,0,0
Thiago Alcántara,MF,Liverpool,18,0,0,0,0,0,0,2,0
Carlos Alcaraz,MF,Southampton,18,4,2,6,4,0,0,3,0
Dele Alli,MF,Everton,2,0,0,0,0,0,0,0,0
Miguel Almirón,FW,Newcastle Utd,34,11,2,13,11,0,0,2,0
Julián Álvarez,FW,Manchester City,31,9,0,9,8,1,1,0,0
Samuel Amo-Ameyaw,MF,Southampton,1,0,0,0,0,0,0,0,0
Elliot Anderson,MF,Newcastle Utd,22,0,1,1,0,0,0,0,0
Jaidon Anthony,MF,Bournemouth,30,3,1,4,3,0,0,2,0
Michail Antonio,FW,West Ham,33,5,3,8,5,0,0,2,0
Antony,FW,Manchester Utd,25,4,2,6,4,0,0,5,0
Cameron Archer,FW,Aston Villa,6,0,0,0,0,0,0,0,0
Joe Aribo,MF,Southampton,21,2,0,2,2,0,0,2,0
Adam Armstrong,FW,Southampton,30,2,1,3,2,0,0,2,0
Stuart Armstrong,MF,Southampton,32,2,1,3,2,0,0,6,0
Pierre-Emerick Aubameyang,FW,Chelsea,15,1,0,1,1,0,0,1,0
Taiwo Awoniyi,FW,Nott'ham Forest,27,10,1,11,10,0,0,2,0
Yasin Ayari,MF,Brighton,3,0,0,0,0,0,0,0,0
André Ayew,FW,Nott'ham Forest,13,0,0,0,0,0,1,1,0
Jordan Ayew,FW,Crystal Palace,38,4,3,7,4,0,0,5,0
Leon Bailey,FW,Aston Villa,33,4,4,8,4,0,0,4,0
Stefan Bajcetic,MF,Liverpool,11,1,0,1,1,0,0,2,0
Dominic Ballard,FW,Southampton,2,0,0,0,0,0,0,0,0
Patrick Bamford,FW,Leeds United,28,4,2,6,4,0,2,3,0
Shandon Baptiste,MF,Brentford,23,0,1,1,0,0,0,3,1
Harvey Barnes,FW,Leicester City,34,13,1,14,13,0,0,3,0
Mads Bech Sørensen,MF,Brentford,4,0,0,0,0,0,0,0,0
Donny van de Beek,MF,Manchester Utd,7,0,0,0,0,0,0,0,0
Saïd Benrahma,FW,West Ham,35,6,3,9,2,4,4,0,0
Rodrigo Bentancur,MF,Tottenham,18,5,2,7,5,0,0,8,0
Philip Billing,MF,Bournemouth,36,7,1,8,7,0,0,5,0
Yves Bissouma,MF,Tottenham,23,0,0,0,0,0,0,6,0
Jarrod Bowen,FW,West Ham,38,6,5,11,5,1,2,2,0
Armando Broja,FW,Chelsea,12,1,0,1,1,0,0,0,0
David Brooks,FW,Bournemouth,6,0,0,0,0,0,0,1,0
Emi Buendía,MF,Aston Villa,38,5,2,7,5,0,0,0,0
Facundo Buonanotte,FW,Brighton,13,1,1,2,1,0,0,2,0
Cafú,MF,Nott'ham Forest,1,0,0,0,0,0,0,0,0
Moisés Caicedo,MF,Brighton,37,1,1,2,1,0,0,10,0
Tom Cairney,MF,Fulham,33,2,0,2,2,0,0,2,0
Dominic Calvert-Lewin,FW,Everton,17,2,1,3,1,1,1,3,0
Chem Campbell,FW,Wolves,5,0,0,0,0,0,0,0,0
Thomas Cannon,FW,Everton,2,0,0,0,0,0,0,0,0
Sergi Canós,FW,Brentford,5,0,0,0,0,0,0,0,0
Fabio Carvalho,MF,Liverpool,13,2,0,2,2,0,0,0,0
Casemiro,MF,Manchester Utd,28,4,3,7,4,0,0,7,2
Nathaniel Chalobah,MF,Fulham,4,0,0,0,0,0,0,0,1
Calum Chambers,MF,Aston Villa,14,0,0,0,0,0,0,2,0
Ben Chilwell,MF,Chelsea,23,2,2,4,2,0,0,3,0
Ryan Christie,MF,Bournemouth,32,1,1,2,1,0,0,2,0
Carney Chukwuemeka,MF,Chelsea,14,0,0,0,0,0,0,0,0
Bobby Clark,MF,Liverpool,1,0,0,0,0,0,0,0,0
Jack Colback,MF,Nott'ham Forest,11,0,0,0,0,0,0,0,0
Lewis Cook,MF,Bournemouth,28,0,2,2,0,0,0,4,0
Maxwel Cornet,FW,West Ham,14,0,0,0,0,0,0,0,0
Diego Costa,FW,Wolves,23,1,0,1,1,0,0,5,1
Philippe Coutinho,MF,Aston Villa,20,1,0,1,1,0,0,3,0
Conor Coventry,MF,West Ham,1,0,0,0,0,0,0,0,0
Matthew Craig,MF,Tottenham,1,0,0,0,0,0,0,0,0
Matheus Cunha,FW,Wolves,17,2,0,2,2,0,0,1,0
Patson Daka,FW,Leicester City,30,4,4,8,4,0,0,2,0
Mikkel Damsgaard,MF,Brentford,26,0,0,0,0,0,0,4,0
Danilo,MF,Nott'ham Forest,13,3,2,5,3,0,0,1,0
Arnaut Danjuma,FW,Tottenham,9,1,0,1,1,0,0,0,0
Josh Dasilva,MF,Brentford,36,4,2,6,4,0,0,1,0
David Datro Fofana,FW,Chelsea,3,0,0,0,0,0,0,0,0
Tom Davies,MF,Everton,19,0,0,0,0,0,0,3,0
