Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Neil Adams,MF,Norwich City,33,3,1,4,3,0,0,2,0
Steve Agnew,MF,Leicester City,11,0,1,1,0,0,0,1,0
Ade Akinbiyi,FW,Norwich City,13,0,0,0,0,0,0,1,0
Bradley Allen,FW,QPR,5,2,0,2,2,0,0,0,0
Malcolm Allen,FW,Newcastle Utd,1,0,0,0,0,0,0,0,0
Martin Allen,MF,West Ham,29,2,1,3,2,0,0,7,1
Paul Allen,MF,Southampton,11,0,0,0,0,0,0,2,0
Daniel Amokachi,FW,Everton,18,4,0,4,4,0,0,2,0
Darren Anderton,MF,Tottenham,37,5,14,19,5,0,0,3,0
Brett Angell,FW,Everton,4,0,0,0,0,0,0,0,0
Neal Ardley,MF,Wimbledon,14,1,1,2,1,0,0,1,0
Chris Armstrong,FW,Crystal Palace,40,8,6,14,8,0,1,7,0
Peter Atherton,MF,Sheffield Weds,41,1,6,7,1,0,0,5,0
Mark Atkins,MF,Blackburn,35,6,1,7,6,0,0,0,0
Dalian Atkinson,FW,Aston Villa,16,3,2,5,3,0,0,1,0
Nicky Banger,FW,Southampton,4,2,0,2,2,0,0,0,0
Simon Barker,MF,QPR,36,4,6,10,4,0,0,8,0
Stuart Barlow,FW,Everton,11,2,1,3,2,0,0,2,1
Nick Barmby,FW,Tottenham,38,9,6,15,9,0,0,0,0
John Barnes,FW,Liverpool,38,7,5,12,7,0,0,0,0
Chris Bart-Williams,MF,Sheffield Weds,38,2,7,9,2,0,0,6,0
David Batty,MF,Blackburn,5,0,0,0,0,0,,2,0
Peter Beagrie,FW,Manchester City,37,2,7,9,2,0,0,0,0
Peter Beardsley,FW,Newcastle Utd,34,12,5,17,9,3,4,3,0
David Beckham,MF,Manchester Utd,4,0,0,0,0,0,0,0,0
Ian Bishop,MF,West Ham,31,1,1,2,1,0,0,2,0
Kingsley Black,MF,Nott'ham Forest,10,2,1,3,2,0,0,0,0
Mark Blake,MF,Leicester City,30,3,1,4,3,0,0,8,0
Gary Blissett,FW,Wimbledon,9,0,0,0,0,0,0,0,0
Jeroen Boere,FW,West Ham,20,6,3,9,6,0,0,3,0
Lars Bohinen,MF,Nott'ham Forest,34,6,5,11,6,0,0,8,0
Willie Boland,MF,Coventry City,12,0,0,0,0,0,0,2,0
Bobby Bowry,FW,Crystal Palace,18,0,0,0,0,0,0,2,0
Paul Bracewell,MF,Newcastle Utd,15,0,0,0,0,0,0,1,0
Mark Bright,FW,Sheffield Weds,37,11,3,14,10,1,2,3,0
Lee Briscoe,MF,Sheffield Weds,6,0,0,0,0,0,0,0,0
Gary Bull,FW,Nott'ham Forest,1,1,0,1,1,0,0,0,0
Craig Burley,MF,Chelsea,25,2,1,3,2,0,0,5,0
Peter Butler,MF,West Ham,5,0,0,0,0,0,0,2,0
Nicky Butt,MF,Manchester Utd,22,1,1,2,1,0,0,4,0
Kevin Campbell,FW,Arsenal,23,4,4,8,4,0,0,1,0
Sol Campbell,FW,Tottenham,30,0,0,0,0,0,0,0,1
Eric Cantona,FW,Manchester Utd,21,12,6,18,9,3,3,4,1
Franz Carr,FW,Aston Villa,2,0,0,0,0,0,0,0,0
Franz Carr,FW,Leicester City,13,1,1,2,1,0,0,0,0
Jimmy Carter,MF,Arsenal,3,0,0,0,0,0,0,0,0
Darren Caskey,MF,Tottenham,4,0,0,0,0,0,0,0,0
Stewart Castledine,MF,Wimbledon,6,1,0,1,1,0,0,0,0
Lee Chapman,FW,West Ham,10,0,0,0,0,0,0,0,0
Lee Chapman,FW,Ipswich Town,16,1,1,2,1,0,0,1,0
Lee Clark,MF,Newcastle Utd,19,1,2,3,1,0,0,0,0
Adrian Clarke,MF,Arsenal,1,0,0,0,0,0,0,0,0
Andy Clarke,FW,Wimbledon,25,1,1,2,1,0,0,1,1
Nigel Clough,FW,Liverpool,10,0,0,0,0,0,0,0,0
Andy Cole,FW,Manchester Utd,18,12,2,14,,,,1,0
Andy Cole,FW,Newcastle Utd,18,9,3,12,,,,2,0
Stan Collymore,FW,Nott'ham Forest,37,22,6,28,21,1,2,4,0
Paul Cook,MF,Coventry City,34,2,6,8,1,1,1,4,0
Tony Cottee,FW,West Ham,31,13,3,16,13,0,0,1,1
Tony Cottee,FW,Everton,3,0,0,0,0,0,0,0,0
Andy Couzens,MF,Leeds United,4,0,0,0,0,0,0,0,0
Ian Crook,MF,Norwich City,34,0,4,4,0,0,0,6,0
Jamie Cureton,FW,Norwich City,17,4,0,4,4,0,0,0,0
Julian Darby,MF,Coventry City,29,0,0,0,0,0,0,5,0
Simon Davies,MF,Manchester Utd,5,0,0,0,0,0,0,0,0
Paul Davis,MF,Arsenal,4,1,0,1,1,0,0,0,0
Brian Deane,FW,Leeds United,35,9,3,12,9,0,0,9,0
Danny Dichio,FW,QPR,9,3,0,3,3,0,0,0,0
Paul Dickov,FW,Arsenal,9,0,0,0,0,0,0,2,0
O'Neill Donaldson,FW,Sheffield Weds,1,0,0,0,0,0,0,0,0
Iain Dowie,FW,Southampton,17,5,1,6,,,,2,0
Iain Dowie,FW,Crystal Palace,15,4,0,4,,,,3,0
Jason Dozzell,MF,Tottenham,7,0,0,0,0,0,0,1,0
Mark Draper,MF,Leicester City,39,5,2,7,5,0,0,5,0
Dion Dublin,FW,Coventry City,31,13,6,19,13,0,0,3,0
Ilie Dumitrescu,FW,Tottenham,13,4,1,5,3,1,1,1,0
Ian Durrant,MF,Everton,5,0,0,0,0,0,0,0,0
Bruce Dyer,FW,Crystal Palace,16,1,2,3,1,0,0,0,0
Darren Eadie,MF,Norwich City,26,2,3,5,2,0,0,0,0
Robbie Earle,MF,Wimbledon,9,0,3,3,0,0,0,0,0
John Ebbrell,MF,Everton,26,0,0,0,0,0,0,10,0
Ronnie Ekelund,FW,Southampton,17,5,1,6,5,0,0,1,0
Efan Ekoku,FW,Norwich City,6,0,1,1,0,0,0,1,0
Efan Ekoku,FW,Wimbledon,23,9,2,11,9,0,0,6,0
John Fashanu,FW,Aston Villa,13,3,0,3,3,0,0,2,0
Peter Fear,MF,Wimbledon,14,1,1,2,1,0,0,3,0
Graham Fenton,MF,Aston Villa,17,2,1,3,2,0,0,4,0
Les Ferdinand,FW,QPR,37,24,9,33,24,0,1,6,1
Duncan Ferguson,FW,Everton,23,7,2,9,7,0,1,2,2
Mark Flatts,MF,Arsenal,3,0,0,0,0,0,0,0,0
Garry Flitcroft,MF,Manchester City,37,5,4,9,5,0,0,6,0
Sean Flynn,MF,Coventry City,32,4,1,5,4,0,0,1,0
Robbie Fowler,FW,Liverpool,42,25,6,31,23,2,3,4,0
