Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Jan Åge Fjørtoft,FW,Middlesbrough,5,1,0,1,1,0,0,0,0
Steve Agnew,MF,Sunderland,15,2,0,2,1,1,1,2,0
Sam Aiston,MF,Sunderland,2,0,0,0,0,0,,0,0
Chris Allen,MF,Nott'ham Forest,24,0,1,1,0,0,0,1,0
Rory Allen,FW,Tottenham,12,2,0,2,2,0,0,4,0
Darren Anderton,MF,Tottenham,16,3,2,5,3,0,0,4,0
Nicolas Anelka,FW,Arsenal,4,0,1,1,0,0,,0,0
Neal Ardley,MF,Wimbledon,34,2,11,13,2,0,0,1,0
Chris Armstrong,FW,Tottenham,12,5,0,5,4,1,1,2,0
Aljoša Asanović,MF,Derby County,34,6,3,9,3,3,4,3,0
Faustino Asprilla,FW,Newcastle Utd,24,4,5,9,4,0,0,5,0
Peter Atherton,MF,Sheffield Weds,37,2,1,3,2,0,0,7,0
Kevin Ball,MF,Sunderland,32,3,3,6,3,0,0,5,0
Nick Barmby,FW,Middlesbrough,10,1,1,2,1,0,0,0,0
Nick Barmby,FW,Everton,25,4,7,11,4,0,0,0,0
John Barnes,FW,Liverpool,35,4,6,10,4,0,0,0,0
Chris Bart-Williams,MF,Nott'ham Forest,16,1,0,1,1,0,0,1,0
Steve Basham,FW,Southampton,6,0,0,0,0,0,0,0,0
David Batty,MF,Newcastle Utd,32,1,1,2,1,0,0,12,1
Peter Beardsley,FW,Newcastle Utd,25,5,4,9,3,2,3,3,0
James Beattie,FW,Blackburn,1,0,0,0,0,0,,0,0
Mikkel Beck,FW,Middlesbrough,25,5,3,8,5,0,0,1,0
David Beckham,MF,Manchester Utd,36,8,8,16,8,0,0,6,0
Patrik Berger,MF,Liverpool,23,6,2,8,6,0,0,0,0
Dennis Bergkamp,FW,Arsenal,29,12,9,21,9,3,3,5,1
Eyal Berkovic,MF,Southampton,28,4,7,11,4,0,0,4,0
Ian Bishop,MF,West Ham,29,1,0,1,1,0,0,2,0
Clayton Blackmore,MF,Middlesbrough,16,2,0,2,2,0,0,2,1
Regi Blinker,FW,Sheffield Weds,33,1,4,5,1,0,0,7,0
Jason Blunt,MF,Leeds United,1,0,0,0,0,0,,0,0
Lars Bohinen,MF,Blackburn,23,2,1,3,2,0,0,6,0
Willie Boland,MF,Coventry City,1,0,0,0,0,0,,0,0
Andy Booth,FW,Sheffield Weds,35,10,3,13,10,0,0,3,0
Lee Bowyer,MF,Leeds United,32,4,5,9,4,0,0,7,0
Lee Boylan,FW,West Ham,1,0,0,0,0,0,,0,0
Wesley Boyle,MF,Leeds United,1,0,0,0,0,0,,0,0
Paul Bracewell,MF,Sunderland,38,0,3,3,0,0,0,2,0
Michael Branch,FW,Everton,25,3,2,5,3,0,0,1,0
Michael Bridges,FW,Sunderland,25,3,0,3,3,0,0,3,0
Mark Bright,FW,Sheffield Weds,1,0,0,0,0,0,,0,0
Lee Briscoe,MF,Sheffield Weds,6,0,0,0,0,0,0,0,0
Craig Burley,MF,Chelsea,31,2,2,4,2,0,0,3,0
Nicky Butt,MF,Manchester Utd,26,5,2,7,5,0,0,5,0
Danny Cadamarteri,FW,Everton,1,0,0,0,0,0,,0,0
Andy Campbell,FW,Middlesbrough,3,0,0,0,0,0,,0,0
Kevin Campbell,FW,Nott'ham Forest,17,6,4,10,6,0,0,3,0
Sol Campbell,FW,Tottenham,38,0,1,1,0,0,0,1,0
Stuart Campbell,MF,Leicester City,10,0,0,0,0,0,0,0,0
Eric Cantona,FW,Manchester Utd,36,11,12,23,7,4,6,5,0
Benito Carbone,FW,Sheffield Weds,25,6,6,12,5,1,2,3,0
Jamie Carragher,MF,Liverpool,2,1,0,1,1,0,,1,0
Lee Carsley,MF,Derby County,24,0,0,0,0,0,0,2,0
Stewart Castledine,MF,Wimbledon,6,1,0,1,1,0,0,0,0
Steve Claridge,FW,Leicester City,32,12,5,17,11,1,2,2,0
Lee Clark,MF,Newcastle Utd,25,2,0,2,2,0,0,1,0
Andy Clarke,FW,Wimbledon,11,1,0,1,1,0,0,1,0
Nigel Clough,FW,Nott'ham Forest,13,1,1,2,1,0,0,1,0
Andy Cole,FW,Manchester Utd,20,6,5,11,6,0,0,1,0
Wayne Collins,MF,Sheffield Weds,12,1,0,1,1,0,0,1,0
Stan Collymore,FW,Liverpool,30,12,4,16,12,0,0,3,0
Carl Cort,FW,Wimbledon,1,0,0,0,0,0,,0,0
Tony Cottee,FW,West Ham,3,0,0,0,0,0,,0,0
Andy Couzens,MF,Leeds United,10,1,0,1,1,0,0,2,0
Jim Crawford,MF,Newcastle Utd,2,0,0,0,0,0,,0,0
Jordi Cruyff,FW,Manchester Utd,16,3,0,3,3,0,0,3,0
Saša Ćurčić,MF,Aston Villa,22,0,1,1,0,0,0,5,0
Brian Deane,FW,Leeds United,28,5,4,9,5,0,1,3,0
Robin van der Laan,MF,Derby County,16,2,0,2,2,0,0,2,0
Roberto Di Matteo,MF,Chelsea,34,7,1,8,7,0,0,6,0
Ali Dia,FW,Southampton,1,0,0,0,0,0,,0,0
Paul Dickov,FW,Arsenal,1,0,0,0,0,0,,0,0
