Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Emmanuel Adebayor,FW,Arsenal,29,8,3,11,7,1,1,2,0
Didier Agathe,FW,Aston Villa,5,0,0,0,0,0,0,0,0
Gabriel Agbonlahor,FW,Aston Villa,38,9,4,13,9,0,0,2,0
Julius Aghahowa,FW,Wigan Athletic,6,0,0,0,0,0,0,0,0
Yakubu Aiyegbeni,FW,Middlesbrough,37,12,4,16,8,4,5,3,0
Ade Akinbiyi,FW,Sheffield Utd,3,0,0,0,0,0,0,0,0
Jérémie Aliadière,FW,Arsenal,11,0,0,0,0,0,0,0,0
Xabi Alonso,MF,Liverpool,32,4,1,5,3,1,1,9,0
Darren Ambrose,FW,Charlton Ath,26,3,1,4,3,0,0,1,0
Shola Ameobi,FW,Newcastle Utd,12,3,1,4,2,1,1,1,0
Nicolas Anelka,FW,Bolton,35,11,5,16,11,0,0,0,0
Victor Anichebe,FW,Everton,19,3,1,4,3,0,0,6,0
Julio Arca,MF,Middlesbrough,21,2,1,3,2,0,0,3,0
Chris Armstrong,MF,Sheffield Utd,27,0,0,0,0,0,0,2,0
John Arne Riise,MF,Liverpool,33,1,1,2,1,0,0,1,0
Mikel Arteta,MF,Everton,35,9,9,18,4,5,5,9,0
Moses Ashikodi,FW,Watford,2,0,0,0,0,0,0,1,0
Fábio Aurélio,MF,Liverpool,17,0,3,3,0,0,0,1,0
Celestine Babayaro,MF,Newcastle Utd,12,0,0,0,0,0,0,5,0
Michael Ballack,MF,Chelsea,26,4,1,5,4,0,0,7,1
Al Bangura,MF,Watford,16,0,0,0,0,0,0,2,0
Júlio Baptista,FW,Arsenal,24,3,2,5,3,0,0,0,0
Milan Baroš,FW,Aston Villa,17,1,1,2,1,0,0,1,0
Gareth Barry,MF,Aston Villa,35,8,4,12,3,5,6,7,1
Joey Barton,MF,Manchester City,33,6,4,10,5,1,2,10,1
DaMarcus Beasley,FW,Manchester City,18,3,1,4,3,0,0,1,0
James Beattie,FW,Everton,33,2,3,5,0,2,2,4,0
Craig Bellamy,FW,Liverpool,27,7,2,9,7,0,0,2,0
Emre Belözoğlu,MF,Newcastle Utd,24,2,2,4,1,1,1,6,0
Yossi Benayoun,MF,West Ham,29,3,3,6,3,0,0,4,0
Benjani,FW,Portsmouth,31,6,3,9,6,0,0,0,0
Darren Bent,FW,Charlton Ath,32,13,1,14,10,3,3,1,0
Marcus Bent,FW,Charlton Ath,30,1,2,3,1,0,0,0,0
David Bentley,MF,Blackburn,36,4,8,12,4,0,0,7,1
Dimitar Berbatov,FW,Tottenham,33,12,9,21,12,0,0,1,0
Patrik Berger,MF,Aston Villa,13,2,2,4,2,0,0,0,0
Bruno Berner,MF,Blackburn,1,0,0,0,0,0,0,0,0
André Bikey,MF,Reading,15,0,0,0,0,0,0,2,1
Kepa Blanco,FW,West Ham,8,1,0,1,1,0,0,0,0
Luís Boa Morte,FW,West Ham,14,1,2,3,1,0,0,1,0
Luís Boa Morte,FW,Fulham,15,0,1,1,0,0,0,2,0
George Boateng,MF,Middlesbrough,35,1,1,2,1,0,0,7,2
Hameur Bouazza,FW,Watford,32,5,3,8,4,1,1,3,0
Papa Bouba Diop,MF,Fulham,23,0,2,2,0,0,0,4,1
Lee Bowyer,MF,West Ham,20,0,1,1,0,0,0,5,0
Michael Brown,MF,Fulham,34,0,0,0,0,0,0,10,0
Jimmy Bullard,MF,Fulham,4,2,1,3,1,1,1,1,0
Nicky Butt,MF,Newcastle Utd,31,1,2,3,1,0,0,6,0
Tim Cahill,FW,Everton,18,5,0,5,5,0,0,5,0
Henri Camara,FW,Wigan Athletic,23,6,1,7,5,1,1,3,0
Sol Campbell,FW,Portsmouth,32,1,2,3,1,0,0,1,0
Iván Campo,MF,Bolton,34,4,4,8,4,0,0,12,1
John Carew,FW,Aston Villa,11,3,2,5,3,0,0,2,0
Jamie Carragher,MF,Liverpool,35,1,0,1,1,0,0,4,0
Michael Carrick,MF,Manchester Utd,33,3,3,6,3,0,0,2,0
Andy Carroll,FW,Newcastle Utd,4,0,0,0,0,0,0,0,0
Lee Carsley,MF,Everton,38,1,3,4,1,0,0,3,0
Lee Cattermole,MF,Middlesbrough,31,1,2,3,1,0,0,10,0
Johan Cavalli,MF,Watford,2,0,0,0,0,0,0,0,0
Malcolm Christie,FW,Middlesbrough,13,1,0,1,1,0,0,1,0
Andy Cole,FW,Portsmouth,18,3,1,4,3,0,0,1,0
Carlton Cole,FW,West Ham,17,2,1,3,2,0,0,2,0
Joe Cole,MF,Chelsea,13,0,0,0,0,0,0,3,0
David Connolly,FW,Wigan Athletic,2,0,0,0,0,0,,0,0
Bobby Convey,FW,Reading,9,0,3,3,0,0,0,0,0
Bernardo Corradi,FW,Manchester City,25,3,2,5,3,0,0,4,2
David Cotterill,FW,Wigan Athletic,17,1,0,1,1,0,0,3,0
Peter Crouch,FW,Liverpool,32,9,6,15,9,0,0,2,0
Ousmane Dabo,MF,Manchester City,13,0,0,0,0,0,0,3,1
Edgar Davids,MF,Tottenham,9,0,1,1,0,0,0,1,0
Kevin Davies,FW,Bolton,30,8,5,13,8,0,0,10,1
Simon Davies,MF,Everton,15,0,0,0,0,0,0,1,0
Simon Davies,MF,Fulham,14,2,3,5,2,0,0,1,0
Sean Davis,MF,Portsmouth,31,0,5,5,0,0,0,5,0
Steven Davis,MF,Aston Villa,28,0,1,1,0,0,0,1,0
Jermain Defoe,FW,Tottenham,34,10,0,10,7,3,3,2,0
Clint Dempsey,FW,Fulham,10,1,0,1,1,0,0,0,0
Denílson,MF,Arsenal,10,0,1,1,0,0,0,0,0
Andy van der Meyde,FW,Everton,8,0,0,0,0,0,0,1,0
Matt Derbyshire,FW,Blackburn,22,5,1,6,5,0,0,1,0
Abou Diaby,MF,Arsenal,12,1,0,1,1,0,0,2,0
Lassana Diarra,MF,Chelsea,10,0,0,0,0,0,0,3,0
Paul Dickov,FW,Manchester City,16,0,2,2,0,0,0,4,0
Eric Djemba-Djemba,MF,Aston Villa,1,0,0,0,0,0,0,0,0
Lee Dong-gook,FW,Middlesbrough,8,0,0,0,0,0,0,0,0
Roudolphe Douala,FW,Portsmouth,7,0,0,0,0,0,0,0,0
Stewart Downing,FW,Middlesbrough,34,2,8,10,2,0,0,4,0
Kevin Doyle,FW,Reading,32,13,1,14,10,3,3,0,0
Didier Drogba,FW,Chelsea,36,20,4,24,20,0,0,9,0
Damien Duff,FW,Newcastle Utd,22,1,1,2,1,0,0,1,0
David Dunn,MF,Blackburn,11,0,0,0,0,0,0,2,0
Kieron Dyer,MF,Newcastle Utd,22,5,2,7,5,0,0,1,0
Chris Eagles,MF,Manchester Utd,2,1,0,1,1,0,0,0,0
Emmanuel Eboué,MF,Arsenal,24,0,4,4,0,0,0,2,0
Brett Emerton,MF,Blackburn,34,0,3,3,0,0,0,5,0
Michael Essien,MF,Chelsea,33,2,3,5,2,0,0,5,0
Matthew Etherington,MF,West Ham,27,0,1,1,0,0,0,2,0
Jason Euell,FW,Middlesbrough,17,0,2,2,0,0,0,2,0
Cesc Fàbregas,FW,Arsenal,38,2,11,13,2,0,0,7,0
Dong Fangzhuo,FW,Manchester Utd,1,0,0,0,0,0,0,0,0
Ahmed Fathy,MF,Sheffield Utd,3,0,0,0,0,0,0,0,0
Abdoulaye Faye,MF,Bolton,32,2,0,2,2,0,0,9,0
Amdy Faye,MF,Charlton Ath,27,1,0,1,1,0,0,6,0
Manuel Fernandes,MF,Portsmouth,10,0,0,0,0,0,0,0,0
Manuel Fernandes,MF,Everton,9,2,1,3,2,0,0,4,0
Mathieu Flamini,MF,Arsenal,20,3,1,4,3,0,0,3,0
Darren Fletcher,MF,Manchester Utd,24,3,1,4,3,0,0,0,0
Jimmy Floyd Hasselbaink,FW,Charlton Ath,25,2,3,5,2,0,0,3,0
Caleb Folan,FW,Wigan Athletic,13,2,0,2,2,0,0,2,0
Quinton Fortune,MF,Bolton,6,0,0,0,0,0,0,3,0
Robbie Fowler,FW,Liverpool,16,3,2,5,0,3,3,1,0
Damien Francis,MF,Watford,32,4,0,4,4,0,0,5,0
Paul Gallagher,FW,Blackburn,16,1,0,1,1,0,0,0,0
Morten Gamst Pedersen,FW,Blackburn,36,6,6,12,6,0,0,5,0
Luis García,MF,Liverpool,17,3,4,7,3,0,0,3,0
Craig Gardner,MF,Aston Villa,13,2,0,2,2,0,0,1,0
Ricardo Gardner,MF,Bolton,18,0,0,0,0,0,0,6,0
Geremi,MF,Chelsea,19,1,1,2,1,0,0,0,0
Steven Gerrard,MF,Liverpool,36,7,2,9,6,1,2,1,0
Hossam Ghaly,MF,Tottenham,21,1,2,3,1,0,0,4,1
Stelios Giannakopoulos,FW,Bolton,23,0,0,0,0,0,0,1,0
Ryan Giggs,FW,Manchester Utd,30,4,7,11,4,0,0,5,0
