Name,Pos,Squad,MP,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Tammy Abraham,FW,Chelsea,22,6,1,7,6,0,0,0,0
Che Adams,FW,Southampton,36,9,5,14,9,0,0,1,0
Sergio Agüero,FW,Manchester City,12,4,1,5,3,1,2,0,0
Marc Albrighton,FW,Leicester City,31,1,5,6,1,0,0,2,0
Thiago Alcántara,MF,Liverpool,24,1,0,1,1,0,0,4,0
Ezgjan Alioski,MF,Leeds United,36,2,3,5,2,0,0,7,0
Allan,MF,Everton,24,0,0,0,0,0,0,6,0
Dele Alli,MF,Tottenham,15,0,1,1,0,0,0,0,0
Miguel Almirón,MF,Newcastle Utd,34,4,1,5,4,0,0,3,0
Steven Alzate,MF,Brighton,15,1,0,1,1,0,0,2,0
Ethan Ampadu,MF,Sheffield Utd,25,0,0,0,0,0,0,3,0
Elliot Anderson,MF,Newcastle Utd,1,0,0,0,0,0,0,0,0
Felipe Anderson,FW,West Ham,2,0,0,0,0,0,0,0,0
Michail Antonio,FW,West Ham,26,10,5,15,10,0,0,3,0
Stuart Armstrong,MF,Southampton,33,4,5,9,4,0,0,3,0
Pierre-Emerick Aubameyang,FW,Arsenal,29,10,3,13,8,2,2,2,0
Charlie Austin,FW,West Brom,5,0,0,0,0,0,0,0,0
Jordan Ayew,FW,Crystal Palace,33,1,3,4,1,0,0,4,0
Gareth Bale,FW,Tottenham,20,11,2,13,11,0,0,1,0
Patrick Bamford,FW,Leeds United,38,17,7,24,15,2,2,3,0
Ross Barkley,MF,Aston Villa,24,3,1,4,3,0,0,0,0
Ross Barkley,FW,Chelsea,2,0,0,0,0,0,0,0,0
Ashley Barnes,FW,Burnley,22,3,0,3,2,1,1,4,0
Harvey Barnes,FW,Leicester City,25,9,4,13,9,0,0,0,0
Chris Basham,MF,Sheffield Utd,31,0,1,1,0,0,0,5,0
Michy Batshuayi,FW,Crystal Palace,18,2,1,3,2,0,0,0,0
Donny van de Beek,MF,Manchester Utd,19,1,1,2,1,0,0,1,0
Héctor Bellerín,MF,Arsenal,25,1,2,3,1,0,0,8,0
Saïd Benrahma,FW,West Ham,30,1,6,7,1,0,0,0,0
Josh Benson,MF,Burnley,6,0,0,0,0,0,0,0,0
Christian Benteke,FW,Crystal Palace,30,10,1,11,10,0,0,3,1
Jóhann Berg Guðmundsson,MF,Burnley,22,2,0,2,2,0,0,2,0
Sander Berge,MF,Sheffield Utd,15,1,1,2,0,1,1,4,0
Steven Bergwijn,FW,Tottenham,21,1,3,4,1,0,0,3,0
Bernard,MF,Everton,12,1,0,1,1,0,0,2,0
Bernardo,MF,Brighton,3,0,0,0,0,0,0,0,0
Yves Bissouma,MF,Brighton,36,1,0,1,1,0,0,8,1
Jayden Bogle,MF,Sheffield Utd,16,2,0,2,2,0,0,2,0
Jarrod Bowen,FW,West Ham,38,8,5,13,8,0,0,0,0
