Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Alisson,GK,Liverpool,37,43,147,105,72.1,19,9,9,14,37.8
Alphonse Areola,GK,West Ham,5,7,16,9,68.8,0,1,1,1,50.0
Kepa Arrizabalaga,GK,Chelsea,29,33,120,90,73.3,8,9,12,9,31.0
Gavin Bazunu,GK,Southampton,32,56,120,67,54.2,6,6,20,4,12.5
Asmir Begović,GK,Everton,1,0,4,4,100.0,1,0,0,1,100.0
Daniel Bentley,GK,Wolves,2,3,13,10,76.9,0,1,1,0,0.0
Martin Dúbravka,GK,Newcastle Utd,2,1,9,9,88.9,0,1,0,0,0.0
Ederson,GK,Manchester City,35,32,77,46,62.3,26,4,5,11,31.4
Łukasz Fabiański,GK,West Ham,36,48,154,106,70.1,11,6,19,8,22.2
Fraser Forster,GK,Tottenham,14,24,55,30,60.0,5,3,5,3,23.1
David de Gea,GK,Manchester Utd,38,43,142,99,71.1,23,6,9,17,44.7
Vicente Guaita,GK,Crystal Palace,27,34,116,84,72.4,7,9,11,6,22.2
Dean Henderson,GK,Nott'ham Forest,18,31,85,52,65.9,5,5,8,6,33.3
Wayne Hennessey,GK,Nott'ham Forest,4,5,14,9,64.3,0,2,1,1,33.3
Daniel Iversen,GK,Leicester City,12,22,59,38,66.1,2,4,6,1,8.3
Sam Johnstone,GK,Crystal Palace,9,10,34,25,76.5,4,3,2,3,33.3
Caoimhín Kelleher,GK,Liverpool,1,4,10,6,60.0,0,1,0,0,0.0
Bernd Leno,GK,Fulham,36,51,192,142,77.1,15,5,16,8,22.2
Hugo Lloris,GK,Tottenham,25,39,117,79,67.5,13,3,9,7,28.0
Emiliano Martínez,GK,Aston Villa,36,38,132,97,74.2,17,7,12,11,30.6
Alex McCarthy,GK,Southampton,6,17,30,14,46.7,0,1,5,0,0.0
Edouard Mendy,GK,Chelsea,10,14,39,25,64.1,3,2,4,1,11.1
Illan Meslier,GK,Leeds United,34,67,158,92,59.5,7,9,18,5,14.7
Keylor Navas,GK,Nott'ham Forest,17,32,83,51,66.3,4,4,9,1,5.9
Neto,GK,Bournemouth,27,39,138,100,74.6,9,6,12,6,22.2
Robin Olsen,GK,Aston Villa,4,8,19,11,63.2,1,0,1,1,50.0
Stefan Ortega,GK,Manchester City,3,1,15,14,93.3,2,1,0,2,66.7
Jordan Pickford,GK,Everton,37,57,181,123,71.3,7,12,18,8,21.6
Nick Pope,GK,Newcastle Utd,37,32,118,85,74.6,19,13,5,14,37.8
Aaron Ramsdale,GK,Arsenal,38,43,136,94,70.6,26,6,6,14,36.8
David Raya,GK,Brentford,38,46,197,154,77.7,15,14,9,12,31.6
Joel Robles,GK,Leeds United,4,11,27,16,66.7,0,1,3,0,0.0
Marek Rodák,GK,Fulham,2,2,4,2,50.0,0,2,0,1,50.0
José Sá,GK,Wolves,36,55,161,105,67.1,11,7,18,11,30.6
Robert Sánchez,GK,Brighton,23,30,74,46,66.2,11,5,7,6,26.1
Jason Steele,GK,Brighton,15,23,57,36,61.4,7,3,5,6,40.0
Mark Travers,GK,Bournemouth,12,32,66,36,54.5,2,0,9,2,18.2
Danny Ward,GK,Leicester City,26,46,119,75,63.0,7,3,16,6,23.1
Joseph Whitworth,GK,Crystal Palace,2,5,10,5,50.0,0,0,2,0,0.0
