Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Fabien Barthez,GK,Manchester Utd,30,18,98,80,81.6,21,5,4,14,46.7
Marlon Beresford,GK,Middlesbrough,1,1,,,,0,0,1,0,
Keith Branagan,GK,Ipswich Town,2,1,6,5,83.3,1,0,1,1,50.0
Stephen Bywater,GK,West Ham,1,1,7,6,85.7,1,0,0,0,0.0
Tony Caig,GK,Charlton Ath,1,1,3,2,66.7,0,0,0,0,
Matt Clarke,GK,Bradford City,17,31,114,83,72.8,2,6,9,2,11.8
Mark Crossley,GK,Middlesbrough,5,6,21,15,71.4,1,0,3,0,0.0
Carlo Cudicini,GK,Chelsea,24,27,89,62,69.7,10,8,5,7,30.4
Aidan Davison,GK,Bradford City,2,3,13,10,76.9,0,1,1,1,50.0
Raimond van der Gouw,GK,Manchester Utd,10,11,33,22,66.7,4,3,1,1,20.0
Tim Flowers,GK,Leicester City,22,26,116,90,77.6,9,5,7,7,31.8
Craig Forrest,GK,West Ham,4,6,22,16,72.7,0,2,2,0,0.0
Paul Gerrard,GK,Everton,32,52,149,97,65.1,10,7,15,6,18.8
Shay Given,GK,Newcastle Utd,34,42,154,112,72.7,12,8,13,6,17.6
Ed de Goey,GK,Chelsea,15,18,61,43,70.5,7,2,6,3,20.0
Andy Goram,GK,Manchester Utd,2,2,7,5,71.4,1,0,1,0,0.0
Steve Harper,GK,Newcastle Utd,5,8,25,17,68.0,2,1,2,1,25.0
Magnus Hedman,GK,Coventry City,15,23,84,61,72.6,3,4,8,2,13.3
Shaka Hislop,GK,West Ham,34,41,151,110,72.8,9,10,14,8,23.5
Saša Ilić,GK,Charlton Ath,13,19,69,50,72.5,4,4,5,5,38.5
David James,GK,Aston Villa,38,43,166,123,74.1,13,15,10,9,23.7
Paul Jones,GK,Southampton,35,43,168,125,74.4,14,8,13,14,40.0
Dean Kiely,GK,Charlton Ath,25,38,123,85,69.1,10,6,9,9,36.0
Chris Kirkland,GK,Coventry City,23,34,125,91,72.8,5,6,11,4,17.4
John Lukic,GK,Arsenal,3,0,10,10,100.0,2,1,0,3,100.0
Jürgen Macho,GK,Sunderland,5,9,30,21,70.0,1,1,3,0,0.0
Alex Manninger,GK,Arsenal,11,15,44,29,65.9,3,4,4,3,27.3
Nigel Martyn,GK,Leeds United,23,20,91,71,78.0,15,5,3,8,34.8
Alan Miller,GK,Coventry City,1,6,11,5,45.5,0,0,1,0,
Neil Moss,GK,Southampton,3,5,14,9,64.3,0,2,1,0,0.0
Thomas Myhre,GK,Everton,6,7,23,16,69.6,1,2,3,1,16.7
Carlo Nash,GK,Manchester City,6,10,44,34,77.3,2,1,3,1,16.7
Andy Oakes,GK,Derby County,6,2,22,20,90.9,3,2,1,3,50.0
Mart Poom,GK,Derby County,33,59,197,138,70.1,7,10,15,10,31.3
Paul Rachubka,GK,Manchester Utd,1,0,2,2,100.0,1,0,0,1,100.0
Paul Robinson,GK,Leeds United,16,23,71,48,67.6,5,3,7,3,20.0
Simon Royce,GK,Leicester City,19,25,86,61,70.9,5,1,11,4,25.0
Mark Schwarzer,GK,Middlesbrough,31,35,159,124,78.0,7,13,11,7,22.6
David Seaman,GK,Arsenal,24,23,79,56,70.9,15,5,4,11,45.8
Steve Simonsen,GK,Everton,1,0,0,0,,0,0,0,0,
Neil Sullivan,GK,Tottenham,35,50,191,141,73.8,12,8,14,9,25.7
Thomas Sørensen,GK,Sunderland,34,32,146,114,78.1,14,11,8,13,38.2
Ian Walker,GK,Tottenham,4,3,17,14,82.4,1,1,1,2,66.7
Gary Walsh,GK,Bradford City,19,36,128,95,71.9,3,4,12,3,15.8
Gary Walsh,GK,Middlesbrough,3,3,21,15,85.7,1,2,0,0,0.0
Nicky Weaver,GK,Manchester City,31,54,152,98,64.5,5,9,17,6,19.4
Sander Westerveld,GK,Liverpool,38,39,165,126,76.4,20,9,9,14,36.8
Richard Wright,GK,Ipswich Town,36,41,151,110,72.8,19,6,11,12,33.3
Tommy Wright,GK,Manchester City,1,1,8,7,87.5,0,1,0,0,0.0
