Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Alisson,GK,Liverpool,36,24,99,76,75.8,27,7,2,20,55.6
Alphonse Areola,GK,West Ham,1,1,3,2,66.7,0,0,1,0,0.0
Kepa Arrizabalaga,GK,Chelsea,4,2,13,11,84.6,2,1,1,2,50.0
Daniel Bachmann,GK,Watford,12,28,72,46,65.3,1,0,11,0,0.0
Asmir Begović,GK,Everton,3,8,18,11,61.1,1,0,2,1,33.3
Jack Butland,GK,Crystal Palace,9,13,28,16,53.6,2,4,2,1,12.5
Willy Caballero,GK,Southampton,2,5,11,6,54.5,0,1,1,0,0.0
Karl Darlow,GK,Newcastle Utd,8,15,37,23,64.9,0,5,3,0,0.0
Martin Dúbravka,GK,Newcastle Utd,26,35,106,72,67.9,13,4,9,8,30.8
Ederson,GK,Manchester City,37,26,83,57,69.9,28,6,3,20,54.1
Łukasz Fabiański,GK,West Ham,37,50,162,111,70.4,16,8,13,8,21.6
Álvaro Fernández,GK,Brentford,12,24,69,47,66.7,3,2,7,1,8.3
Fraser Forster,GK,Southampton,19,35,101,68,67.3,6,5,8,3,15.8
Ben Foster,GK,Watford,26,49,116,67,60.3,5,5,16,4,15.4
David de Gea,GK,Manchester Utd,38,57,180,124,70.0,16,10,12,8,21.1
Vicente Guaita,GK,Crystal Palace,30,33,116,83,74.1,9,11,10,11,36.7
Angus Gunn,GK,Norwich City,9,22,57,34,64.9,1,2,6,1,11.1
Wayne Hennessey,GK,Burnley,2,6,13,8,53.8,0,0,2,0,0.0
Caoimhín Kelleher,GK,Liverpool,2,2,8,6,75.0,1,1,0,1,50.0
Kristoffer Klaesson,GK,Leeds United,1,0,4,4,100.0,0,0,0,0,
Tim Krul,GK,Norwich City,29,62,165,105,66.7,4,5,20,5,17.2
Bernd Leno,GK,Arsenal,4,9,19,10,52.6,1,0,3,1,25.0
Hugo Lloris,GK,Tottenham,38,40,137,98,72.3,22,5,11,16,42.1
Jonas Lössl,GK,Brentford,2,5,7,2,28.6,0,0,2,0,0.0
Emiliano Martínez,GK,Aston Villa,36,48,140,93,68.6,13,6,17,11,30.6
Alex McCarthy,GK,Southampton,17,27,71,44,62.0,3,7,7,5,29.4
Edouard Mendy,GK,Chelsea,34,31,102,72,75.5,19,10,5,14,41.2
Illan Meslier,GK,Leeds United,38,79,220,142,66.4,9,11,18,5,13.2
Robin Olsen,GK,Aston Villa,1,3,5,2,40.0,0,0,1,0,0.0
Jordan Pickford,GK,Everton,35,58,170,116,66.5,10,6,19,7,20.0
Nick Pope,GK,Burnley,36,47,165,119,74.5,7,14,15,9,25.0
Aaron Ramsdale,GK,Arsenal,34,39,128,90,73.4,21,3,10,12,35.3
David Raya,GK,Brentford,24,27,103,76,77.7,10,5,9,8,33.3
John Ruddy,GK,Wolves,2,3,7,4,57.1,0,1,0,0,0.0
José Sá,GK,Wolves,37,40,160,121,80.6,15,5,17,11,29.7
Robert Sánchez,GK,Brighton,37,42,141,99,72.3,12,15,10,11,29.7
Kasper Schmeichel,GK,Leicester City,37,58,187,128,72.7,13,10,14,7,18.9
Jason Steele,GK,Brighton,1,2,5,3,60.0,0,0,1,0,0.0
Jed Steer,GK,Aston Villa,1,3,4,1,25.0,0,0,1,0,0.0
Zack Steffen,GK,Manchester City,1,0,2,2,100.0,1,0,0,1,100.0
Danny Ward,GK,Leicester City,1,1,5,4,80.0,1,0,0,0,0.0
Freddie Woodman,GK,Newcastle Utd,4,12,22,9,54.5,0,1,3,0,0.0
