Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Espen Baardsen,GK,Tottenham,2,3,11,8,72.7,0,0,1,0,0.0
Dave Beasant,GK,Southampton,14,26,92,66,71.7,3,1,10,2,15.4
Mark Beeney,GK,Leeds United,1,0,3,3,100.0,0,1,0,1,100.0
Mark Bosnich,GK,Aston Villa,15,15,63,48,76.2,7,4,5,5,33.3
Nick Colgan,GK,Chelsea,1,3,8,5,62.5,0,0,1,0,0.0
Tony Coton,GK,Sunderland,10,8,40,32,80.0,2,4,3,4,40.0
Mark Crossley,GK,Nott'ham Forest,33,49,172,123,71.5,6,12,15,7,21.2
Raimond van der Gouw,GK,Manchester Utd,2,2,9,7,77.8,1,1,0,2,100.0
Alan Fettis,GK,Nott'ham Forest,4,8,22,14,63.6,0,3,1,1,25.0
Tim Flowers,GK,Blackburn,36,41,175,134,76.6,9,14,13,10,27.8
Craig Forrest,GK,Chelsea,3,4,,,,2,0,1,1,50.0
Paul Gerrard,GK,Everton,5,6,26,20,76.9,1,1,2,2,50.0
Shay Given,GK,Blackburn,2,2,8,6,75.0,0,1,1,1,50.0
Frode Grodås,GK,Chelsea,21,32,112,80,71.4,6,6,8,4,20.0
Lee Harper,GK,Arsenal,1,0,3,3,100.0,1,0,0,1,100.0
Paul Heald,GK,Wimbledon,3,3,10,7,70.0,0,1,1,0,0.0
Shaka Hislop,GK,Newcastle Utd,16,21,92,71,77.2,8,5,3,3,18.8
Kevin Hitchcock,GK,Chelsea,12,18,67,49,73.1,7,3,2,2,20.0
Russell Hoult,GK,Derby County,32,45,166,121,72.9,8,12,11,7,22.6
David James,GK,Liverpool,38,37,198,161,81.3,19,11,8,12,31.6
Kasey Keller,GK,Leicester City,31,41,156,115,73.7,11,9,11,9,29.0
Dmitri Kharine,GK,Chelsea,5,3,15,12,80.0,3,1,0,3,60.0
John Lukic,GK,Arsenal,15,18,62,44,71.0,6,6,3,5,33.3
Nigel Martyn,GK,Leeds United,37,38,178,140,78.7,11,12,14,19,51.4
Steve Mautone,GK,West Ham,1,0,5,5,100.0,1,0,0,1,100.0
Luděk Mikloško,GK,West Ham,36,46,200,154,77.0,9,12,15,9,25.0
Alan Miller,GK,Middlesbrough,10,17,60,43,71.7,0,4,6,1,10.0
Neil Moss,GK,Southampton,3,3,12,9,75.0,1,2,0,1,33.3
Michael Oakes,GK,Aston Villa,23,19,100,81,81.0,10,6,7,10,43.5
Steve Ogrizovic,GK,Coventry City,38,54,216,162,75.0,9,14,15,9,23.7
Lionel Pérez,GK,Sunderland,29,45,172,127,73.8,8,6,15,7,25.0
Kevin Poole,GK,Leicester City,7,13,47,34,72.3,1,2,4,0,0.0
Mart Poom,GK,Derby County,4,7,23,16,69.6,2,1,1,0,0.0
Kevin Pressman,GK,Sheffield Weds,38,51,216,165,76.4,14,15,9,10,26.3
Ben Roberts,GK,Middlesbrough,10,16,59,43,72.9,3,4,2,1,11.1
Peter Schmeichel,GK,Manchester Utd,36,42,166,124,74.7,20,11,5,13,36.1
Mark Schwarzer,GK,Middlesbrough,7,9,36,27,75.0,3,2,2,2,28.6
Les Sealey,GK,West Ham,2,2,6,4,66.7,0,0,1,0,0.0
David Seaman,GK,Arsenal,22,14,91,77,84.6,12,5,5,10,45.5
Neville Southall,GK,Everton,34,51,172,121,70.3,9,11,14,8,23.5
Pavel Srníček,GK,Newcastle Utd,22,19,96,77,80.2,11,6,5,9,40.9
Neil Sullivan,GK,Wimbledon,36,43,202,159,78.7,15,10,11,11,30.6
Maik Taylor,GK,Southampton,18,19,89,70,78.7,6,7,5,7,38.9
Martin Taylor,GK,Derby County,3,3,10,7,70.0,1,1,1,1,33.3
Ian Walker,GK,Tottenham,37,48,203,155,76.4,13,7,17,13,35.1
Gary Walsh,GK,Middlesbrough,12,18,70,52,74.3,4,2,6,2,16.7
Chris Woods,GK,Southampton,4,9,25,16,64.0,1,1,2,1,25.0
Tommy Wright,GK,Nott'ham Forest,1,2,9,7,77.8,0,1,0,0,0.0
