Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Ian Andrews,GK,Southampton,5,6,22,16,72.7,2,0,3,2,40.0
Clive Baker,GK,Ipswich Town,15,26,93,67,72.0,4,3,8,4,26.7
Dave Beasant,GK,Southampton,25,37,122,85,69.7,8,5,12,4,16.0
Mark Beeney,GK,Leeds United,22,20,98,78,79.6,10,9,3,9,40.9
Mark Bosnich,GK,Aston Villa,29,28,108,80,74.1,8,10,9,11,39.3
Tony Coton,GK,Manchester City,31,37,147,110,74.8,5,12,14,11,35.5
Andy Dibble,GK,Manchester City,11,12,54,42,77.8,4,6,1,2,18.2
Fraser Digby,GK,Swindon Town,28,68,172,104,60.5,2,10,15,4,14.3
Tim Flowers,GK,Blackburn,29,24,134,101,82.1,19,4,6,11,37.9
Tim Flowers,GK,Southampton,12,22,55,42,60.0,2,2,8,0,0.0
Craig Forrest,GK,Ipswich Town,27,32,154,122,79.2,5,13,9,10,37.0
Paul Gerrard,GK,Oldham Athletic,16,25,83,58,69.9,1,7,8,3,20.0
Jonathan Gould,GK,Coventry City,9,13,35,22,62.9,4,4,1,2,22.2
Bruce Grobbelaar,GK,Liverpool,29,39,122,83,68.0,12,8,9,7,24.1
Bryan Gunn,GK,Norwich City,41,59,198,139,70.2,12,15,13,10,24.4
Jon Hallworth,GK,Oldham Athletic,19,31,96,65,67.7,5,5,8,2,10.5
Nick Hammond,GK,Swindon Town,13,20,57,37,64.9,3,5,5,0,0.0
Paul Heald,GK,Swindon Town,2,6,,,,,,2,,
Kevin Hitchcock,GK,Chelsea,2,5,10,5,50.0,0,0,2,0,0.0
Mike Hooper,GK,Newcastle Utd,19,19,86,67,77.9,11,2,6,7,36.8
Scott Howie,GK,Norwich City,2,2,6,4,66.7,0,2,0,0,0.0
David James,GK,Liverpool,14,16,69,53,76.8,5,1,7,2,15.4
Alan Kelly Jr.,GK,Sheffield Utd,30,42,123,81,65.9,5,12,5,9,31.0
Lance Key,GK,Oldham Athletic,2,3,8,5,62.5,1,0,1,1,50.0
Dmitri Kharine,GK,Chelsea,40,48,182,134,73.6,13,12,15,11,27.5
John Lukic,GK,Leeds United,20,19,88,69,78.4,8,7,5,9,45.0
Luděk Mikloško,GK,West Ham,42,58,193,135,69.9,13,13,16,8,19.0
Alan Miller,GK,Arsenal,4,3,16,13,81.3,0,1,2,1,33.3
Bobby Mimms,GK,Blackburn,13,13,64,51,79.7,6,5,2,5,38.5
Steve Ogrizovic,GK,Coventry City,33,32,163,131,80.4,10,10,13,12,36.4
Kevin Pressman,GK,Sheffield Weds,32,37,148,111,75.0,15,12,5,8,25.0
Tony Roberts,GK,QPR,16,27,79,52,65.8,5,4,7,2,12.5
Peter Schmeichel,GK,Manchester Utd,40,37,140,103,73.6,26,10,4,15,37.5
David Seaman,GK,Arsenal,39,25,132,107,81.1,18,16,5,20,51.3
Hans Segers,GK,Wimbledon,41,53,163,110,67.5,17,11,13,11,26.8
Jon Sheffield,GK,Swindon Town,2,7,10,5,30.0,0,1,1,0,0.0
Neville Southall,GK,Everton,42,63,226,163,72.1,12,8,22,10,23.8
Nigel Spink,GK,Aston Villa,15,22,67,45,67.2,7,2,6,4,28.6
Pavel Srníček,GK,Newcastle Utd,21,17,102,85,83.3,12,5,4,8,38.1
Jan Stejskal,GK,QPR,26,34,117,83,70.9,11,8,7,8,30.8
Neil Sullivan,GK,Wimbledon,2,0,6,6,100.0,1,0,0,1,100.0
Erik Thorstvedt,GK,Tottenham,32,39,124,85,68.5,9,9,13,8,25.0
Simon Tracey,GK,Sheffield Utd,15,18,69,51,73.9,3,6,4,4,30.8
Ian Walker,GK,Tottenham,11,20,48,28,58.3,2,3,6,1,10.0
Gary Walsh,GK,Oldham Athletic,6,9,33,26,72.7,2,1,3,1,16.7
Gary Walsh,GK,Manchester Utd,3,1,16,11,93.8,2,1,0,1,50.0
Chris Woods,GK,Sheffield Weds,10,17,46,29,63.0,1,4,5,2,20.0
Tommy Wright,GK,Newcastle Utd,3,5,12,7,58.3,1,1,1,0,0.0
