Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Dave Beasant,GK,Southampton,36,49,181,132,72.9,8,11,17,9,25.0
Mark Beeney,GK,Leeds United,10,14,46,32,69.6,3,1,5,3,30.0
Mark Bosnich,GK,Aston Villa,38,34,152,118,77.6,19,8,11,13,34.2
Keith Branagan,GK,Bolton,31,60,182,122,67.0,6,4,21,4,12.9
Mark Crossley,GK,Nott'ham Forest,38,54,173,119,68.8,15,13,10,8,21.1
Aidan Davison,GK,Bolton,2,4,8,4,50.0,1,0,1,0,0.0
Julian Dicks,DF,West Ham,1,2,6,4,66.7,0,0,0,0,
John Filan,GK,Coventry City,13,28,71,43,60.6,1,4,8,2,15.4
Neil Finn,GK,West Ham,1,2,6,4,66.7,0,0,1,0,0.0
Tim Flowers,GK,Blackburn,37,46,157,111,70.7,18,6,13,10,27.0
Bruce Grobbelaar,GK,Southampton,2,3,11,8,72.7,1,0,1,1,50.0
Paul Heald,GK,Wimbledon,18,32,103,71,68.9,3,6,9,3,16.7
Shaka Hislop,GK,Newcastle Utd,24,19,87,68,78.2,16,5,3,9,37.5
Kevin Hitchcock,GK,Chelsea,12,15,48,33,68.8,3,4,5,2,16.7
Eike Immel,GK,Manchester City,38,58,203,145,71.4,9,11,18,8,21.1
David James,GK,Liverpool,38,34,166,132,79.5,20,11,7,16,42.1
Vinnie Jones,MF,Wimbledon,1,3,6,3,50.0,0,0,0,0,
Dmitri Kharine,GK,Chelsea,26,29,124,95,76.6,9,10,7,10,38.5
John Lukic,GK,Leeds United,28,42,146,104,71.2,9,6,13,7,25.0
Luděk Mikloško,GK,West Ham,36,45,151,106,70.2,14,9,13,11,30.6
Alan Miller,GK,Middlesbrough,7,7,36,29,80.6,1,3,3,1,14.3
Bobby Mimms,GK,Blackburn,2,1,4,3,75.0,0,1,0,0,0.0
Steve Nicol,DF,Sheffield Weds,1,2,5,3,60.0,0,0,0,0,
Steve Ogrizovic,GK,Coventry City,25,32,134,102,76.1,7,10,8,8,32.0
Kevin Pilkington,GK,Manchester Utd,3,6,13,7,53.8,0,2,1,0,0.0
Kevin Pressman,GK,Sheffield Weds,30,48,161,113,70.2,8,9,13,4,13.3
Lucas Radebe,DF,Leeds United,2,1,5,4,80.0,0,0,1,0,
Tony Roberts,GK,QPR,5,8,22,14,63.6,1,0,4,1,20.0
Peter Schmeichel,GK,Manchester Utd,36,29,141,112,79.4,25,5,5,18,50.0
Les Sealey,GK,West Ham,1,3,8,5,62.5,0,0,1,0,0.0
David Seaman,GK,Arsenal,38,32,157,125,79.6,17,12,9,16,42.1
Hans Segers,GK,Wimbledon,4,5,14,9,64.3,2,0,1,0,0.0
Juergen Sommer,GK,QPR,33,49,186,137,73.7,8,6,19,4,12.1
Neville Southall,GK,Everton,38,44,169,125,74.0,17,10,11,15,39.5
Nigel Spink,GK,Aston Villa,1,1,1,0,0.0,0,0,0,0,
Pavel Srníček,GK,Newcastle Utd,15,18,73,55,75.3,8,1,6,4,28.6
Neil Sullivan,GK,Wimbledon,16,26,88,62,70.5,5,5,6,3,18.8
Simon Tracey,GK,Wimbledon,1,4,11,7,63.6,0,0,1,0,0.0
Ian Walker,GK,Tottenham,38,38,164,126,76.8,16,13,9,11,28.9
Gary Walsh,GK,Middlesbrough,31,43,151,108,71.5,10,7,14,9,29.0
Gavin Ward,GK,Bolton,5,7,26,19,73.1,1,1,3,0,0.0
Chris Woods,GK,Sheffield Weds,8,11,42,31,73.8,2,1,5,2,25.0
