Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Alisson,GK,Liverpool,28,30,109,80,73.4,16,8,4,8,28.6
Alphonse Areola,GK,West Ham,31,53,188,136,74.5,11,9,11,4,12.9
Daniel Bentley,GK,Wolves,5,7,15,8,53.3,1,0,2,1,33.3
Martin Dúbravka,GK,Newcastle Utd,23,42,130,87,70.8,9,4,9,5,22.7
Ederson,GK,Manchester City,33,27,82,56,70.7,24,6,3,10,30.3
Łukasz Fabiański,GK,West Ham,10,21,53,33,66.0,3,1,3,1,14.3
Mark Flekken,GK,Brentford,37,63,176,113,65.3,10,9,18,7,18.9
Wes Foderingham,GK,Sheffield Utd,30,79,204,130,63.7,3,4,22,1,3.4
Ivo Grbić,GK,Sheffield Utd,9,25,59,36,57.6,0,3,6,0,0.0
Dean Henderson,GK,Crystal Palace,18,30,86,57,66.3,8,4,6,4,22.2
Sam Johnstone,GK,Crystal Palace,20,27,67,41,62.7,5,6,9,6,30.0
Thomas Kaminski,GK,Luton Town,38,85,221,140,63.3,6,8,24,2,5.3
Loris Karius,GK,Newcastle Utd,1,4,7,4,42.9,0,0,1,0,0.0
Caoimhín Kelleher,GK,Liverpool,10,11,38,28,71.1,8,2,0,2,20.0
Bernd Leno,GK,Fulham,38,61,190,133,72.1,13,8,17,10,26.3
Emiliano Martínez,GK,Aston Villa,34,48,139,95,66.2,19,8,7,8,23.5
Remi Matthews,GK,Crystal Palace,1,1,1,0,0.0,0,0,0,0,
Arijanet Muric,GK,Burnley,10,16,78,62,80.8,2,4,4,0,0.0
Neto,GK,Bournemouth,32,55,165,110,69.7,10,9,13,7,21.9
Robin Olsen,GK,Aston Villa,5,13,34,20,61.8,1,0,3,0,0.0
André Onana,GK,Manchester Utd,38,58,203,146,74.9,18,6,14,9,23.7
Stefan Ortega,GK,Manchester City,9,7,27,20,74.1,4,1,0,3,60.0
Đorđe Petrović,GK,Chelsea,23,38,108,73,65.7,13,5,4,5,22.7
Jordan Pickford,GK,Everton,38,51,165,117,73.9,13,9,16,13,34.2
Nick Pope,GK,Newcastle Utd,15,16,58,42,72.4,9,2,4,5,33.3
Ionuț Radu,GK,Bournemouth,2,7,11,4,36.4,1,0,1,0,0.0
Aaron Ramsdale,GK,Arsenal,6,5,14,9,64.3,5,1,0,2,33.3
David Raya,GK,Arsenal,32,24,69,45,68.1,23,4,5,16,50.0
José Sá,GK,Wolves,35,58,188,131,73.4,12,7,16,4,11.4
Robert Sánchez,GK,Chelsea,16,25,78,52,70.5,5,4,7,3,18.8
Matz Sels,GK,Nott'ham Forest,16,27,61,36,57.4,4,4,8,1,6.3
James Shea,GK,Luton Town,1,0,2,2,100.0,0,0,0,0,
Jason Steele,GK,Brighton,17,34,74,42,58.1,5,4,8,2,11.8
Thomas Strakosha,GK,Brentford,2,2,8,6,75.0,0,0,1,0,0.0
James Trafford,GK,Burnley,28,62,166,106,65.7,3,5,20,2,7.1
Mark Travers,GK,Bournemouth,4,5,18,13,77.8,2,0,2,2,50.0
Matt Turner,GK,Nott'ham Forest,17,28,80,52,67.5,4,5,8,2,11.8
Bart Verbruggen,GK,Brighton,21,28,91,63,72.5,7,8,6,4,19.0
Guglielmo Vicario,GK,Tottenham,38,61,167,109,67.7,20,6,12,7,18.4
Odisseas Vlachodimos,GK,Nott'ham Forest,5,12,22,10,50.0,1,0,4,1,20.0
