Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Adrián,GK,Liverpool,3,9,18,9,50.0,1,1,1,1,33.3
Rúnar Alex Rúnarsson,GK,Arsenal,1,0,2,2,100.0,0,0,0,0,
Alisson,GK,Liverpool,33,32,115,82,75.7,18,8,7,10,30.3
Alphonse Areola,GK,Fulham,36,48,161,114,73.9,5,13,18,9,25.0
Kepa Arrizabalaga,GK,Chelsea,7,8,23,15,69.6,2,2,2,2,33.3
Jack Butland,GK,Crystal Palace,1,2,5,3,60.0,1,0,0,0,0.0
David Button,GK,West Brom,1,2,6,4,66.7,1,0,0,0,0.0
Willy Caballero,GK,Chelsea,1,3,3,0,0.0,0,1,0,0,0.0
Scott Carson,GK,Manchester City,1,3,5,1,60.0,1,0,0,0,0.0
Kiko Casilla,GK,Leeds United,3,2,10,8,80.0,2,0,1,1,33.3
Karl Darlow,GK,Newcastle Utd,25,43,126,84,68.3,7,4,14,4,16.0
Martin Dúbravka,GK,Newcastle Utd,13,19,62,44,71.0,5,5,3,3,23.1
Ederson,GK,Manchester City,36,28,93,65,77.4,25,5,6,19,52.8
Łukasz Fabiański,GK,West Ham,35,44,138,97,70.3,17,8,10,10,28.6
Fraser Forster,GK,Southampton,8,11,31,19,71.0,4,0,4,2,25.0
David de Gea,GK,Manchester Utd,26,32,90,59,68.9,12,9,5,9,34.6
Vicente Guaita,GK,Crystal Palace,37,64,169,104,63.9,11,8,18,8,21.6
Dean Henderson,GK,Manchester Utd,13,12,51,39,76.5,9,2,1,4,33.3
Sam Johnstone,GK,West Brom,37,74,234,162,71.4,4,11,22,6,16.2
Caoimhín Kelleher,GK,Liverpool,2,1,7,6,85.7,1,0,1,1,50.0
Bernd Leno,GK,Arsenal,35,37,117,83,69.2,17,6,12,11,31.4
Hugo Lloris,GK,Tottenham,38,45,155,113,77.4,18,8,12,12,31.6
Emiliano Martínez,GK,Aston Villa,38,46,186,133,78.0,16,7,15,15,39.5
Alex McCarthy,GK,Southampton,30,57,147,91,65.3,8,7,15,7,23.3
Edouard Mendy,GK,Chelsea,31,25,81,56,71.6,17,7,7,16,51.6
Illan Meslier,GK,Leeds United,35,52,188,137,76.6,16,5,14,11,31.4
Will Norris,GK,Burnley,2,4,6,2,33.3,0,0,2,0,0.0
Robin Olsen,GK,Everton,7,9,30,21,73.3,2,3,2,2,28.6
Rui Patrício,GK,Wolves,37,51,148,99,70.3,12,9,16,10,27.0
Bailey Peacock-Farrell,GK,Burnley,4,14,24,10,41.7,0,0,4,0,0.0
Jordan Pickford,GK,Everton,31,39,128,90,71.1,15,5,11,10,32.3
Nick Pope,GK,Burnley,32,37,149,113,77.2,10,9,13,11,34.4
Aaron Ramsdale,GK,Sheffield Utd,38,63,206,145,70.9,7,2,29,5,13.2
Darren Randolph,GK,West Ham,3,3,9,6,66.7,2,0,1,1,33.3
Marek Rodák,GK,Fulham,2,5,9,4,55.6,0,0,2,0,0.0
John Ruddy,GK,Wolves,2,1,4,3,75.0,0,0,1,0,0.0
Mathew Ryan,GK,Arsenal,3,2,10,8,90.0,1,1,1,1,33.3
Mathew Ryan,GK,Brighton,11,19,34,16,55.9,2,4,5,2,18.2
Robert Sánchez,GK,Brighton,27,27,91,65,72.5,7,10,10,10,37.0
Kasper Schmeichel,GK,Leicester City,38,50,136,88,66.2,20,6,12,11,28.9
Zack Steffen,GK,Manchester City,1,1,2,1,50.0,1,0,0,0,0.0
João Virgínia,GK,Everton,1,0,3,3,100.0,0,0,0,0,
