Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Pegguy Arphexad,GK,Leicester City,11,13,58,45,77.6,4,3,3,3,33.3
Marlon Beresford,GK,Middlesbrough,1,1,5,4,80.0,0,0,1,0,0.0
Mark Bosnich,GK,Manchester Utd,23,21,71,50,70.4,16,4,2,9,39.1
Stephen Bywater,GK,West Ham,4,7,20,13,65.0,1,1,2,1,33.3
Alec Chamberlain,GK,Watford,27,61,168,107,63.7,3,4,20,3,11.1
Matt Clarke,GK,Bradford City,21,36,124,88,71.0,5,5,11,5,23.8
Carlo Cudicini,GK,Chelsea,1,0,2,2,100.0,1,0,0,1,100.0
Nick Culkin,GK,Manchester Utd,1,0,0,0,,0,0,0,0,
Neil Cutler,GK,Aston Villa,1,0,0,0,,0,0,0,0,
Aidan Davison,GK,Bradford City,6,13,35,22,62.9,1,2,2,0,0.0
Chris Day,GK,Watford,11,16,52,36,69.2,3,2,6,2,18.2
Raimond van der Gouw,GK,Manchester Utd,14,13,59,46,78.0,11,1,0,1,9.1
Peter Enckelman,GK,Aston Villa,10,9,33,24,72.7,2,4,4,4,44.4
Ian Feuer,GK,West Ham,3,2,12,10,83.3,2,0,1,1,33.3
Tim Flowers,GK,Leicester City,29,42,121,79,65.3,12,4,12,4,13.8
Craig Forrest,GK,West Ham,11,17,51,34,66.7,5,2,4,3,33.3
Brad Friedel,GK,Liverpool,2,1,6,5,83.3,1,1,0,1,50.0
Paul Gerrard,GK,Everton,34,45,186,141,75.8,9,14,10,9,26.5
Shay Given,GK,Newcastle Utd,14,17,52,35,67.3,6,3,5,6,42.9
Ed de Goey,GK,Chelsea,37,34,130,96,73.8,17,11,9,16,43.2
Steve Harper,GK,Newcastle Utd,18,22,67,45,67.2,8,5,5,4,22.2
Paul Heald,GK,Wimbledon,1,1,5,4,80.0,1,0,0,0,0.0
Magnus Hedman,GK,Coventry City,35,47,188,141,75.0,11,8,16,9,25.7
Shaka Hislop,GK,West Ham,22,23,101,78,77.2,7,7,5,5,22.7
Russell Hoult,GK,Derby County,10,17,49,32,65.3,3,2,5,2,20.0
Saša Ilić,GK,West Ham,1,4,9,5,55.6,0,0,1,0,0.0
David James,GK,Aston Villa,29,26,102,76,74.5,13,9,6,11,37.9
Paul Jones,GK,Southampton,31,52,173,121,69.9,9,7,13,8,25.8
John Karelse,GK,Newcastle Utd,3,7,15,8,53.3,0,2,1,1,33.3
Alex Manninger,GK,Arsenal,15,16,46,30,65.2,9,2,4,5,35.7
Andy Marriott,GK,Sunderland,1,1,5,4,80.0,0,0,1,0,0.0
Nigel Martyn,GK,Leeds United,38,43,189,146,77.2,21,11,6,13,34.2
Neil Moss,GK,Southampton,9,10,39,29,74.4,3,1,5,3,42.9
Thomas Myhre,GK,Everton,4,2,14,12,85.7,3,0,1,2,50.0
Steve Ogrizovic,GK,Coventry City,3,7,25,18,72.0,1,0,2,0,0.0
Mart Poom,GK,Derby County,28,40,147,107,72.8,6,9,13,9,32.1
Kevin Pressman,GK,Sheffield Weds,19,42,120,78,65.0,3,3,13,3,16.7
Mark Schwarzer,GK,Middlesbrough,37,48,229,181,79.0,14,10,13,9,24.3
David Seaman,GK,Arsenal,24,27,80,53,66.3,13,5,5,5,20.8
Steve Simonsen,GK,Everton,1,2,6,4,66.7,0,0,1,0,
Neville Southall,GK,Bradford City,1,2,6,4,66.7,0,0,1,0,0.0
Pavel Srníček,GK,Sheffield Weds,20,28,112,84,75.0,5,4,10,4,20.0
Neil Sullivan,GK,Wimbledon,37,73,251,178,70.9,6,12,19,5,13.5
Thomas Sørensen,GK,Sunderland,37,55,186,131,70.4,16,10,11,9,24.3
Massimo Taibi,GK,Manchester Utd,4,11,26,15,57.7,1,2,1,0,0.0
Ian Walker,GK,Tottenham,38,49,163,114,69.9,15,8,15,8,21.1
Gary Walsh,GK,Bradford City,11,17,75,58,77.3,3,2,6,2,18.2
Sander Westerveld,GK,Liverpool,36,29,123,94,76.4,18,9,9,14,38.9
Tommy Wright,GK,Newcastle Utd,3,8,16,8,50.0,0,0,3,0,0.0
