Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Manuel Almunia,GK,Arsenal,29,24,119,95,79.8,17,10,2,11,37.9
Jamie Ashdown,GK,Portsmouth,3,4,13,9,69.2,0,0,3,0,0.0
Stephen Bywater,GK,Derby County,18,41,116,75,64.7,1,4,13,2,11.1
Roy Carroll,GK,Derby County,14,38,114,76,66.7,0,3,11,1,7.1
Scott Carson,GK,Aston Villa,35,46,156,110,70.5,16,10,8,9,25.7
Petr Čech,GK,Chelsea,26,17,102,85,83.3,15,8,3,15,57.7
Radek Černý,GK,Tottenham,13,14,70,56,80.0,3,6,4,4,30.8
Carlo Cudicini,GK,Chelsea,10,7,35,28,80.0,8,2,0,6,60.0
Edwin van der Sar,GK,Manchester Utd,29,18,113,95,84.1,19,5,4,15,51.7
Colin Doyle,GK,Birmingham City,3,6,16,10,62.5,0,1,2,0,0.0
Łukasz Fabiański,GK,Arsenal,3,2,10,8,80.0,2,0,0,2,66.7
Ben Foster,GK,Manchester Utd,1,0,4,4,100.0,1,0,0,1,100.0
Brad Friedel,GK,Blackburn,38,48,201,153,76.1,15,13,10,8,21.1
Márton Fülöp,GK,Sunderland,1,1,5,4,80.0,0,0,1,0,0.0
Shay Given,GK,Newcastle Utd,19,37,140,103,73.6,4,3,11,2,10.5
Craig Gordon,GK,Sunderland,34,55,163,108,66.3,10,5,19,6,17.6
Robert Green,GK,West Ham,38,50,189,139,73.5,13,10,15,8,21.1
Ali Al-Habsi,GK,Bolton,10,12,58,46,79.3,3,3,4,4,40.0
Marcus Hahnemann,GK,Reading,38,66,254,188,74.0,10,6,22,8,21.1
Steve Harper,GK,Newcastle Utd,21,28,116,88,75.9,7,7,6,6,31.6
Joe Hart,GK,Manchester City,26,34,159,125,78.6,9,8,9,7,26.9
Henrique Hilário,GK,Chelsea,3,2,5,3,60.0,2,0,0,0,0.0
Tim Howard,GK,Everton,36,30,169,139,82.2,19,8,9,14,38.9
Andreas Isaksson,GK,Manchester City,5,14,31,17,54.8,2,1,2,0,0.0
Jussi Jääskeläinen,GK,Bolton,28,42,149,107,71.8,6,7,15,8,28.6
David James,GK,Portsmouth,35,36,192,156,81.3,16,9,10,16,45.7
Brad Jones,GK,Middlesbrough,1,3,4,1,25.0,0,0,1,0,0.0
Kasey Keller,GK,Fulham,13,16,63,47,74.6,5,3,5,5,38.5
Richard Kingson,GK,Birmingham City,1,2,7,5,71.4,0,0,1,0,0.0
Chris Kirkland,GK,Wigan Athletic,37,49,193,144,74.6,10,10,17,12,32.4
Tomasz Kuszczak,GK,Manchester Utd,9,4,33,29,87.9,7,1,1,5,62.5
Jens Lehmann,GK,Arsenal,7,5,26,21,80.8,5,1,1,2,33.3
Antti Niemi,GK,Fulham,22,39,141,102,72.3,2,9,11,2,9.1
Mike Pollitt,GK,Wigan Athletic,1,2,4,2,50.0,0,0,1,0,0.0
Lewis Price,GK,Derby County,6,10,33,23,69.7,0,1,5,0,0.0
Pepe Reina,GK,Liverpool,38,28,138,110,79.7,21,13,4,18,47.4
Paul Robinson,GK,Tottenham,25,47,136,89,65.4,8,7,10,5,20.0
Kasper Schmeichel,GK,Manchester City,7,5,31,26,83.9,4,1,2,4,57.1
Mark Schwarzer,GK,Middlesbrough,34,47,159,112,70.4,9,11,14,8,23.5
Maik Taylor,GK,Birmingham City,34,54,243,189,77.8,8,10,16,3,8.8
Stuart Taylor,GK,Aston Villa,4,5,14,9,64.3,0,2,2,0,0.0
Ross Turnbull,GK,Middlesbrough,3,3,21,18,85.7,1,1,1,0,0.0
Darren Ward,GK,Sunderland,3,3,14,11,78.6,1,1,1,1,33.3
Tony Warner,GK,Fulham,3,5,26,21,80.8,1,0,2,0,0.0
Stefan Wessels,GK,Everton,2,3,7,4,57.1,0,0,2,0,0.0
