Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Alisson,GK,Liverpool,38,22,96,74,77.1,30,7,1,21,55.3
Kepa Arrizabalaga,GK,Chelsea,36,39,121,81,68.6,20,8,8,14,38.9
Asmir Begović,GK,Bournemouth,24,47,104,59,56.7,8,3,13,5,20.8
Marcus Bettinelli,GK,Fulham,7,20,40,19,52.5,1,2,4,0,0.0
Artur Boruc,GK,Bournemouth,12,18,56,38,73.2,4,3,5,4,33.3
David Button,GK,Brighton,4,5,18,13,83.3,1,1,2,1,25.0
Willy Caballero,GK,Chelsea,2,0,3,3,100.0,1,1,0,2,100.0
Petr Čech,GK,Arsenal,7,9,37,28,75.7,5,0,2,1,14.3
Joel Coleman,GK,Huddersfield,1,1,3,2,66.7,0,1,0,0,0.0
Martin Dúbravka,GK,Newcastle Utd,38,48,140,93,70.0,12,9,17,11,28.9
Ederson,GK,Manchester City,38,23,81,58,76.5,32,2,4,20,52.6
Neil Etheridge,GK,Cardiff City,38,69,207,135,68.6,10,4,24,10,26.3
Łukasz Fabiański,GK,West Ham,38,55,198,143,74.2,15,7,16,7,18.4
Fabricio,GK,Fulham,2,5,21,16,76.2,0,0,2,0,0.0
Fraser Forster,GK,Southampton,1,3,6,3,50.0,0,0,1,0,0.0
Ben Foster,GK,Watford,38,59,180,123,69.4,14,8,16,7,18.4
Paulo Gazzaniga,GK,Tottenham,3,2,13,11,84.6,2,0,1,1,33.3
David de Gea,GK,Manchester Utd,38,54,171,120,71.9,19,9,10,7,18.4
Vicente Guaita,GK,Crystal Palace,20,23,85,63,74.1,10,4,6,7,35.0
Angus Gunn,GK,Southampton,12,18,50,31,64.0,4,4,4,3,25.0
Ben Hamer,GK,Huddersfield,7,21,42,22,57.1,0,1,6,0,0.0
Joe Hart,GK,Burnley,19,41,116,75,65.5,3,3,13,4,21.1
Tom Heaton,GK,Burnley,19,27,83,59,68.7,8,4,7,4,21.1
Wayne Hennessey,GK,Crystal Palace,18,26,69,42,66.7,4,3,10,5,29.4
Bernd Leno,GK,Arsenal,32,42,145,104,75.9,16,7,8,7,22.6
Hugo Lloris,GK,Tottenham,33,33,130,98,76.9,21,2,10,12,36.4
Jonas Lössl,GK,Huddersfield,31,54,141,86,64.5,3,5,22,5,16.7
Alex McCarthy,GK,Southampton,25,44,119,78,64.7,5,8,12,4,16.0
Will Norris,GK,Wolves,1,0,0,0,,0,0,0,1,
Rui Patrício,GK,Wolves,37,46,138,96,68.8,15,9,13,7,18.9
Jordan Pickford,GK,Everton,38,46,136,89,67.6,15,9,14,14,36.8
Sergio Rico,GK,Fulham,29,56,165,111,68.5,6,3,20,5,17.2
John Ruddy,GK,Wolves,1,0,3,3,100.0,1,0,0,1,100.0
Mathew Ryan,GK,Brighton,34,55,152,96,69.1,8,8,18,6,17.6
Kasper Schmeichel,GK,Leicester City,38,48,138,90,68.8,15,7,16,10,26.3
Julián Speroni,GK,Crystal Palace,1,4,9,5,55.6,0,0,1,0,0.0
Mark Travers,GK,Bournemouth,2,5,13,9,61.5,1,0,1,1,50.0
Michel Vorm,GK,Tottenham,2,4,13,9,69.2,0,0,2,0,0.0
