Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Adrián,GK,West Ham,19,29,96,68,70.8,7,6,6,6,31.6
Asmir Begović,GK,Bournemouth,38,61,170,109,65.3,11,11,16,6,15.8
Claudio Bravo,GK,Manchester City,3,1,5,4,80.0,2,0,0,2,100.0
Jack Butland,GK,Stoke City,35,61,201,142,72.1,7,11,17,6,17.1
Willy Caballero,GK,Chelsea,3,4,11,7,63.6,1,1,1,1,33.3
Petr Čech,GK,Arsenal,34,48,135,85,68.1,16,6,12,11,32.4
Thibaut Courtois,GK,Chelsea,35,34,106,74,69.8,20,6,9,15,42.9
Karl Darlow,GK,Newcastle Utd,10,15,47,34,74.5,1,5,4,2,20.0
Martin Dúbravka,GK,Newcastle Utd,12,11,37,25,70.3,6,1,5,4,33.3
Ederson,GK,Manchester City,36,26,80,54,67.5,30,4,2,16,44.4
Rob Elliot,GK,Newcastle Utd,16,21,64,43,68.8,5,2,9,3,18.8
Łukasz Fabiański,GK,Swansea City,38,56,190,133,72.1,8,9,21,9,23.7
Fraser Forster,GK,Southampton,20,30,97,66,69.1,4,7,9,4,20.0
Ben Foster,GK,West Brom,37,55,151,98,64.2,6,12,19,10,27.0
Paulo Gazzaniga,GK,Tottenham,1,0,3,3,100.0,1,0,0,1,100.0
David de Gea,GK,Manchester Utd,37,28,140,114,80.7,24,6,7,18,48.6
Heurelho Gomes,GK,Watford,24,40,100,61,63.0,7,5,12,5,20.8
Lee Grant,GK,Stoke City,3,7,15,8,53.3,0,1,2,0,0.0
Ben Hamer,GK,Leicester City,4,7,13,6,53.8,0,1,2,1,33.3
Joe Hart,GK,West Ham,19,39,91,51,61.5,3,6,10,4,21.1
Tom Heaton,GK,Burnley,4,4,12,8,66.7,2,1,1,0,0.0
Wayne Hennessey,GK,Crystal Palace,27,41,127,88,68.5,8,6,13,7,25.9
Eldin Jakupović,GK,Leicester City,2,6,13,8,53.8,1,0,1,0,0.0
Loris Karius,GK,Liverpool,19,14,45,30,73.3,11,5,3,10,52.6
Orestis Karnezis,GK,Watford,15,24,56,32,62.5,4,3,7,4,28.6
Hugo Lloris,GK,Tottenham,36,35,117,82,71.8,22,7,7,15,41.7
Jonas Lössl,GK,Huddersfield,38,58,158,99,65.8,9,10,19,10,26.3
Alex McCarthy,GK,Southampton,18,26,68,42,63.2,3,8,7,4,22.2
Simon Mignolet,GK,Liverpool,19,24,59,34,62.7,10,7,2,7,36.8
Boaz Myhill,GK,West Brom,1,1,3,2,66.7,0,1,0,0,0.0
David Ospina,GK,Arsenal,5,3,12,9,75.0,3,0,1,2,50.0
Jordan Pickford,GK,Everton,38,58,178,119,69.1,13,10,15,10,26.3
Nick Pope,GK,Burnley,35,35,148,113,78.4,12,11,11,12,35.3
Sergio Romero,GK,Manchester Utd,1,0,3,3,100.0,1,0,0,1,100.0
Mathew Ryan,GK,Brighton,38,54,172,121,69.2,9,13,16,10,26.3
Kasper Schmeichel,GK,Leicester City,33,47,138,90,66.7,11,10,12,8,24.2
Julián Speroni,GK,Crystal Palace,11,14,43,29,69.8,3,5,3,2,18.2
Michel Vorm,GK,Tottenham,1,1,4,4,75.0,0,1,0,0,0.0
