Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Adrián,GK,West Ham,32,39,138,99,71.7,13,14,5,9,28.1
Ryan Allsop,GK,Bournemouth,1,1,2,1,50.0,0,0,0,0,
Giedrius Arlauskis,GK,Watford,1,1,2,1,50.0,0,0,0,0,
Asmir Begović,GK,Chelsea,17,24,79,55,69.6,4,5,7,4,26.7
Ádám Bogdán,GK,Liverpool,2,4,6,2,33.3,0,1,1,0,0.0
Artur Boruc,GK,Bournemouth,32,51,123,72,58.5,11,7,14,7,21.9
Mark Bunn,GK,Aston Villa,10,18,42,24,57.1,2,3,5,4,40.0
Jack Butland,GK,Stoke City,31,37,139,102,73.4,13,7,11,10,32.3
Willy Caballero,GK,Manchester City,4,5,19,14,73.7,2,0,1,1,33.3
Petr Čech,GK,Arsenal,34,31,126,95,75.4,18,9,7,16,47.1
Thibaut Courtois,GK,Chelsea,23,29,93,64,68.8,8,9,5,5,21.7
Karl Darlow,GK,Newcastle Utd,9,11,34,23,67.6,3,3,3,3,33.3
Kelvin Davis,GK,Southampton,1,2,7,5,71.4,0,1,0,0,0.0
Rob Elliot,GK,Newcastle Utd,21,37,94,57,60.6,6,4,11,4,19.0
Łukasz Fabiański,GK,Swansea City,37,51,160,109,68.1,12,10,15,9,24.3
Adam Federici,GK,Bournemouth,6,15,27,12,44.4,0,2,4,0,0.0
Fraser Forster,GK,Southampton,18,17,67,50,74.6,12,3,3,6,33.3
Ben Foster,GK,West Brom,15,17,60,43,71.7,3,6,6,4,26.7
Paulo Gazzaniga,GK,Southampton,2,3,11,8,72.7,0,0,2,0,0.0
David de Gea,GK,Manchester Utd,34,33,111,78,70.3,17,8,9,15,44.1
Shay Given,GK,Stoke City,3,7,14,7,50.0,1,0,2,0,0.0
Heurelho Gomes,GK,Watford,38,49,121,72,59.5,12,9,17,11,28.9
Brad Guzan,GK,Aston Villa,28,58,144,86,59.7,1,5,22,2,7.1
Joe Hart,GK,Manchester City,35,36,106,70,66.0,17,9,9,15,42.9
Jakob Haugaard,GK,Stoke City,5,11,22,11,50.0,0,2,2,0,0.0
Wayne Hennessey,GK,Crystal Palace,29,36,114,78,68.4,8,9,12,8,27.6
Tim Howard,GK,Everton,25,35,115,80,69.6,8,11,6,7,28.0
Tim Krul,GK,Newcastle Utd,8,17,50,33,66.0,0,3,5,1,12.5
Hugo Lloris,GK,Tottenham,37,34,119,85,71.4,19,13,5,13,35.1
Vito Mannone,GK,Sunderland,19,23,95,72,75.8,6,8,5,4,21.1
Alex McCarthy,GK,Crystal Palace,7,9,39,30,76.9,3,0,4,0,0.0
Simon Mignolet,GK,Liverpool,34,42,111,69,62.2,15,11,8,0,0.0
Boaz Myhill,GK,West Brom,23,31,95,64,67.4,7,7,9,7,30.4
Kristoffer Nordfeldt,GK,Swansea City,1,1,5,4,80.0,0,1,0,0,0.0
David Ospina,GK,Arsenal,4,5,22,17,77.3,2,2,0,2,50.0
Costel Pantilimon,GK,Sunderland,17,33,101,68,67.3,3,3,11,3,17.6
Jordan Pickford,GK,Sunderland,2,6,17,11,64.7,0,1,1,0,0.0
Darren Randolph,GK,West Ham,6,12,24,12,50.0,3,0,3,2,33.3
Joel Robles,GK,Everton,13,20,64,44,68.8,3,3,7,3,23.1
Sergio Romero,GK,Manchester Utd,4,2,9,7,77.8,2,1,1,3,75.0
Declan Rudd,GK,Norwich City,11,23,54,31,57.4,3,1,7,2,18.2
John Ruddy,GK,Norwich City,27,44,111,67,60.4,6,6,15,3,11.1
Kasper Schmeichel,GK,Leicester City,38,36,136,100,73.5,23,12,3,15,39.5
Julián Speroni,GK,Crystal Palace,2,6,15,9,60.0,0,0,2,0,0.0
Maarten Stekelenburg,GK,Southampton,17,19,48,29,60.4,6,5,6,6,35.3
Michel Vorm,GK,Tottenham,1,1,2,1,50.0,0,0,1,0,0.0
Danny Ward,GK,Liverpool,2,4,13,9,69.2,1,0,1,0,0.0
