Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Manuel Almunia,GK,Arsenal,8,10,29,19,65.5,4,3,1,2,25.0
Asmir Begović,GK,Stoke City,28,32,130,98,75.4,10,6,12,8,28.6
Ruud Boffin,GK,West Ham,1,1,3,2,66.7,0,1,0,0,0.0
Ádám Bogdán,GK,Bolton,4,6,19,13,68.4,0,2,2,0,0.0
Mark Bunn,GK,Blackburn,3,4,14,10,71.4,2,0,1,0,0.0
Scott Carson,GK,West Brom,32,58,151,93,61.6,11,8,13,2,6.3
Petr Čech,GK,Chelsea,38,33,148,115,77.7,21,8,9,15,39.5
Carlo Cudicini,GK,Tottenham,8,7,27,20,74.1,3,2,3,1,12.5
Edwin van der Sar,GK,Manchester Utd,33,32,125,93,74.4,19,10,4,14,42.4
Colin Doyle,GK,Birmingham City,1,3,7,4,57.1,0,0,1,0,
Łukasz Fabiański,GK,Arsenal,14,14,52,38,73.1,9,2,3,5,35.7
Ben Foster,GK,Birmingham City,38,55,250,195,78.0,8,15,14,9,23.7
Brad Friedel,GK,Aston Villa,38,59,189,130,68.8,12,12,14,7,18.4
Matt Gilks,GK,Blackpool,18,35,101,66,65.3,5,5,7,3,16.7
Heurelho Gomes,GK,Tottenham,30,39,156,117,75.0,13,12,5,7,23.3
Craig Gordon,GK,Sunderland,15,21,81,60,74.1,6,3,6,5,33.3
Robert Green,GK,West Ham,37,69,240,171,71.3,7,11,19,5,13.5
Ali Al-Habsi,GK,Wigan Athletic,34,49,172,123,71.5,9,14,12,7,20.6
Marcus Hahnemann,GK,Wolves,14,25,72,47,65.3,2,3,9,0,0.0
Mark Halstead,GK,Blackpool,1,0,4,4,100.0,0,0,0,0,
Steve Harper,GK,Newcastle Utd,18,22,68,46,67.6,5,6,6,4,22.2
Joe Hart,GK,Manchester City,38,33,153,120,78.4,21,8,9,18,47.4
Wayne Hennessey,GK,Wolves,24,41,127,86,67.7,9,4,11,5,20.8
Tim Howard,GK,Everton,38,45,153,108,70.6,13,15,10,9,23.7
Jussi Jääskeläinen,GK,Bolton,35,50,174,124,71.3,12,8,14,5,14.3
Richard Kingson,GK,Blackpool,20,38,119,81,68.1,5,4,10,3,15.8
Chris Kirkland,GK,Wigan Athletic,4,12,22,10,45.5,0,1,2,0,0.0
Tim Krul,GK,Newcastle Utd,21,35,93,58,62.4,6,7,8,4,20.0
Tomasz Kuszczak,GK,Manchester Utd,5,5,14,9,64.3,4,1,0,1,20.0
Jens Lehmann,GK,Arsenal,1,1,4,3,75.0,0,1,0,0,0.0
Simon Mignolet,GK,Sunderland,23,35,125,90,72.0,6,8,9,8,34.8
Boaz Myhill,GK,West Brom,6,13,31,18,58.1,1,3,2,0,0.0
Mike Pollitt,GK,Wigan Athletic,1,0,2,2,100.0,0,0,0,0,
Paul Rachubka,GK,Blackpool,2,7,16,9,56.3,0,0,2,0,0.0
Pepe Reina,GK,Liverpool,38,44,149,105,70.5,17,7,14,14,36.8
Paul Robinson,GK,Blackburn,36,55,180,125,69.4,9,10,16,8,22.2
Mark Schwarzer,GK,Fulham,31,37,142,105,73.9,9,12,10,11,35.5
David Stockdale,GK,Fulham,7,6,29,23,79.3,2,4,1,3,42.9
Wojciech Szczęsny,GK,Arsenal,15,19,65,46,70.8,6,5,4,6,40.0
Thomas Sørensen,GK,Stoke City,10,16,46,30,65.2,3,1,6,1,10.0
