Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Espen Baardsen,GK,Everton,1,4,8,4,50.0,0,0,1,0,0.0
Fabien Barthez,GK,Manchester Utd,30,28,97,69,71.1,19,5,5,10,33.3
Ian Bennett,GK,Birmingham City,10,11,47,36,76.6,5,2,3,4,40.0
Roy Carroll,GK,Manchester Utd,10,6,24,18,75.0,6,3,0,3,37.5
Carlo Cudicini,GK,Chelsea,36,36,146,110,75.3,19,9,8,12,33.3
Edwin van der Sar,GK,Fulham,19,24,98,74,75.5,6,4,9,5,26.3
Jerzy Dudek,GK,Liverpool,30,33,112,79,70.5,17,6,7,12,40.0
Peter Enckelman,GK,Aston Villa,33,40,154,114,74.0,10,7,16,7,21.2
Brad Friedel,GK,Blackburn,37,42,203,161,79.3,16,12,9,15,40.5
Paul Gerrard,GK,Everton,2,2,9,7,77.8,1,0,1,0,0.0
Shay Given,GK,Newcastle Utd,38,48,179,131,73.2,21,6,11,14,36.8
Ed de Goey,GK,Chelsea,2,2,10,8,80.0,0,1,1,1,50.0
Martín Herrera,GK,Fulham,2,3,8,5,62.5,0,2,0,0,0.0
Geoff Horsfield,FW,Birmingham City,1,0,0,0,,0,0,0,0,
Russell Hoult,GK,West Brom,37,61,196,135,68.9,6,8,22,6,16.2
Jussi Jääskeläinen,GK,Bolton,38,51,189,138,73.0,10,14,14,10,26.3
David James,GK,West Ham,38,59,198,139,70.2,10,12,16,9,23.7
Paul Jones,GK,Southampton,14,21,73,52,71.2,4,3,6,4,30.8
Kasey Keller,GK,Tottenham,38,62,210,148,70.5,14,8,16,5,13.2
Alan Kelly Jr.,GK,Blackburn,1,1,4,3,75.0,0,0,1,0,0.0
Dean Kiely,GK,Charlton Ath,38,55,183,128,69.9,14,7,16,8,21.1
Chris Kirkland,GK,Liverpool,8,8,34,26,76.5,1,4,3,2,25.0
Jürgen Macho,GK,Sunderland,13,19,87,68,78.2,2,4,7,2,16.7
Andy Marriott,GK,Birmingham City,1,2,6,4,66.7,0,0,1,0,0.0
Joe Murphy,GK,West Brom,2,4,12,8,66.7,0,0,2,0,0.0
Thomas Myhre,GK,Sunderland,2,1,8,7,87.5,0,0,0,0,0.0
Carlo Nash,GK,Manchester City,9,16,46,30,65.2,3,1,5,1,11.1
Antti Niemi,GK,Southampton,25,25,124,99,79.8,9,10,6,9,36.0
Mart Poom,GK,Sunderland,4,8,21,13,61.9,0,0,4,0,0.0
Stefan Postma,GK,Aston Villa,6,7,22,15,68.2,2,2,1,2,40.0
Ricardo,GK,Manchester Utd,1,0,1,1,100.0,0,0,0,0,
Ben Roberts,GK,Charlton Ath,1,1,7,6,85.7,0,0,1,0,
Paul Robinson,GK,Leeds United,38,57,188,131,69.7,14,5,19,10,26.3
Peter Schmeichel,GK,Manchester City,29,38,138,100,72.5,12,5,12,9,31.0
Mark Schwarzer,GK,Middlesbrough,38,44,184,140,76.1,13,10,15,10,26.3
David Seaman,GK,Arsenal,28,31,108,77,71.3,17,7,4,8,28.6
Rami Shaaban,GK,Arsenal,3,2,9,7,77.8,2,0,0,1,33.3
Steve Simonsen,GK,Everton,2,4,9,5,55.6,0,1,1,0,0.0
Thomas Sørensen,GK,Sunderland,21,37,94,57,60.6,2,3,16,4,19.0
Maik Taylor,GK,Fulham,19,23,91,68,74.7,7,2,8,6,33.3
Stuart Taylor,GK,Arsenal,8,9,30,21,70.0,4,2,2,1,14.3
Nico Vaesen,GK,Birmingham City,27,36,118,82,69.5,8,7,12,5,18.5
Richard Wright,GK,Everton,33,39,147,108,73.5,16,7,10,11,33.3
