Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Pegguy Arphexad,GK,Liverpool,2,1,4,3,75.0,1,0,0,0,0.0
Steve Banks,GK,Bolton,1,3,7,4,57.1,0,0,1,0,0.0
Fabien Barthez,GK,Manchester Utd,32,42,146,104,71.2,19,4,9,9,28.1
Marlon Beresford,GK,Middlesbrough,1,2,4,2,50.0,0,0,1,0,
Mark Bosnich,GK,Chelsea,5,4,26,22,84.6,1,3,1,1,20.0
Keith Branagan,GK,Ipswich Town,1,1,2,1,50.0,0,1,0,0,
Roy Carroll,GK,Manchester Utd,7,2,22,20,90.9,5,1,0,4,66.7
Mark Crossley,GK,Middlesbrough,18,18,99,81,81.8,4,8,5,8,47.1
Carlo Cudicini,GK,Chelsea,28,27,142,115,81.0,14,6,7,13,48.1
Edwin van der Sar,GK,Fulham,37,41,199,158,79.4,10,14,13,15,40.5
Jerzy Dudek,GK,Liverpool,35,27,148,121,81.8,23,8,5,18,51.4
Peter Enckelman,GK,Aston Villa,9,9,48,39,81.3,2,4,3,2,22.2
Ian Feuer,GK,Derby County,2,4,12,8,66.7,0,1,1,0,0.0
Tim Flowers,GK,Leicester City,4,13,29,16,55.2,0,1,3,0,0.0
Brad Friedel,GK,Blackburn,36,47,234,187,79.9,11,10,15,7,19.4
Paul Gerrard,GK,Everton,13,19,78,59,75.6,5,3,5,4,30.8
Shay Given,GK,Newcastle Utd,38,52,225,173,76.9,21,8,9,9,23.7
Ed de Goey,GK,Chelsea,6,7,24,17,70.8,2,4,0,1,16.7
Bo Hansen,FW,MF,Bolton,1,3,4,1,25.0,0,0,0,0,
Shaka Hislop,GK,West Ham,12,25,69,44,63.8,4,3,5,4,33.3
Jussi Jääskeläinen,GK,Bolton,34,49,219,170,77.6,9,12,13,7,20.6
David James,GK,West Ham,26,32,146,114,78.1,11,5,10,9,34.6
Paul Jones,GK,Southampton,36,51,194,143,73.7,11,9,16,9,25.0
Kasey Keller,GK,Tottenham,9,9,50,41,82.0,3,4,2,2,22.2
Alan Kelly Jr.,GK,Blackburn,2,4,16,12,75.0,1,0,1,1,50.0
Dean Kiely,GK,Charlton Ath,38,49,223,174,78.0,10,14,14,12,31.6
Chris Kirkland,GK,Liverpool,1,1,4,4,75.0,0,1,0,0,0.0
Jürgen Macho,GK,Sunderland,4,8,21,13,61.9,0,2,2,1,25.0
Andy Marshall,GK,Ipswich Town,13,26,96,70,72.9,5,1,7,3,23.1
Nigel Martyn,GK,Leeds United,38,37,195,158,81.0,18,12,8,18,47.4
Neil Moss,GK,Southampton,2,3,10,7,70.0,1,0,1,0,0.0
Andy Oakes,GK,Derby County,20,36,134,98,73.1,3,3,14,3,15.0
Kevin Poole,GK,Bolton,3,7,18,11,61.1,0,1,2,0,0.0
Mart Poom,GK,Derby County,17,23,102,79,77.5,5,2,9,3,18.8
Peter Schmeichel,GK,Aston Villa,29,38,145,107,73.8,10,10,9,6,20.7
Mark Schwarzer,GK,Middlesbrough,21,27,146,119,81.5,8,1,11,4,19.0
David Seaman,GK,Arsenal,17,12,78,66,84.6,14,2,1,9,52.9
Matteo Sereni,GK,Ipswich Town,25,37,126,89,70.6,4,8,13,5,20.0
Steve Simonsen,GK,Everton,25,38,163,125,76.7,6,7,12,7,28.0
Neil Sullivan,GK,Tottenham,29,44,149,105,70.5,11,4,14,6,20.7
Thomas Sørensen,GK,Sunderland,34,43,208,165,79.3,10,8,16,10,29.4
Maik Taylor,GK,Fulham,2,3,8,5,62.5,0,0,1,0,0.0
Stuart Taylor,GK,Arsenal,10,10,32,22,68.8,6,2,1,2,22.2
Ian Walker,GK,Leicester City,35,51,213,162,76.1,5,12,17,7,20.0
Sander Westerveld,GK,Liverpool,1,2,4,2,50.0,0,0,1,0,0.0
Richard Wright,GK,Arsenal,12,14,68,54,79.4,6,5,1,3,25.0
