Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Ben Alnwick,GK,Sunderland,5,12,43,31,72.1,0,0,5,0,0.0
Stephan Andersen,GK,Charlton Ath,15,24,95,71,74.7,6,1,8,3,20.0
Jamie Ashdown,GK,Portsmouth,17,30,94,64,68.1,3,4,10,3,17.6
Stephen Bywater,GK,West Ham,1,0,3,3,100.0,0,0,0,0,
Roy Carroll,GK,West Ham,19,28,114,86,75.4,7,4,8,3,15.8
Petr Čech,GK,Chelsea,34,20,139,119,85.6,27,4,3,18,52.9
Mark Crossley,GK,Fulham,13,17,67,50,74.6,4,4,4,4,30.8
Carlo Cudicini,GK,Chelsea,4,1,11,10,90.9,2,0,1,2,66.7
Kelvin Davis,GK,Sunderland,33,57,234,177,75.6,3,6,24,4,12.1
Edwin van der Sar,GK,Manchester Utd,38,33,182,149,81.9,25,8,5,18,47.4
Jerzy Dudek,GK,Liverpool,5,4,22,18,81.8,4,0,1,2,40.0
John Filan,GK,Wigan Athletic,15,14,83,69,83.1,9,2,3,7,46.7
Brad Friedel,GK,Blackburn,38,42,185,143,77.3,19,6,13,16,42.1
Shay Given,GK,Newcastle Utd,38,42,175,133,76.0,17,7,14,13,34.2
Shaka Hislop,GK,West Ham,16,21,88,67,76.1,8,3,5,5,31.3
Tim Howard,GK,Manchester Utd,1,1,5,4,80.0,0,0,0,0,
Jussi Jääskeläinen,GK,Bolton,38,41,188,147,78.2,15,11,12,15,39.5
David James,GK,Manchester City,38,48,206,158,76.7,13,4,21,6,15.8
Brad Jones,GK,Middlesbrough,9,18,52,34,65.4,3,1,5,2,22.2
Dean Kiely,GK,Charlton Ath,3,8,17,12,52.9,1,0,2,1,33.3
Dean Kiely,GK,Portsmouth,15,23,83,58,72.3,6,0,6,1,6.7
Chris Kirkland,GK,West Brom,10,19,63,44,69.8,2,2,6,1,10.0
Tomasz Kuszczak,GK,West Brom,28,37,182,145,79.7,5,7,16,9,32.1
Jens Lehmann,GK,Arsenal,38,31,169,138,81.7,20,7,11,16,42.1
Nigel Martyn,GK,Everton,20,24,106,82,77.4,8,2,9,7,35.0
Thomas Myhre,GK,Charlton Ath,20,23,116,93,80.2,6,7,7,9,45.0
Antti Niemi,GK,Fulham,9,9,52,43,82.7,7,0,2,4,44.4
Lenny Pidgeley,GK,Chelsea,1,1,4,3,75.0,0,0,1,0,0.0
Mike Pollitt,GK,Wigan Athletic,24,38,118,80,67.8,6,4,14,3,13.0
Pepe Reina,GK,Liverpool,33,21,141,120,85.1,21,7,5,20,60.6
Paul Robinson,GK,Tottenham,38,38,165,127,77.0,18,11,9,13,34.2
John Ruddy,GK,Everton,1,0,,,,1,0,0,1,
Mark Schwarzer,GK,Middlesbrough,27,38,157,119,75.8,9,7,11,8,29.6
Thomas Sørensen,GK,Aston Villa,36,51,240,189,78.8,9,12,15,11,30.6
Maik Taylor,GK,Birmingham City,34,44,202,158,78.2,6,10,18,8,23.5
Stuart Taylor,GK,Aston Villa,2,4,11,7,63.6,1,0,1,0,0.0
Ross Turnbull,GK,Middlesbrough,2,2,13,11,84.6,0,1,1,0,0.0
Iain Turner,GK,Everton,3,2,6,4,66.7,1,0,1,1,50.0
Nico Vaesen,GK,Birmingham City,4,6,20,14,70.0,2,0,2,2,50.0
Jimmy Walker,GK,West Ham,3,6,14,8,57.1,1,0,2,1,33.3
Tony Warner,GK,Fulham,18,32,107,75,70.1,3,2,12,2,12.5
Sander Westerveld,GK,Everton,2,4,12,9,66.7,0,1,1,0,0.0
Sander Westerveld,GK,Portsmouth,6,7,36,26,80.6,1,1,4,1,16.7
Richard Wright,GK,Everton,15,19,71,52,73.2,4,5,5,4,28.6
