Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Asmir Begović,GK,Stoke City,38,45,154,109,70.8,9,15,14,12,31.6
Artur Boruc,GK,Southampton,20,28,70,42,60.0,4,8,7,5,25.0
Mark Bunn,GK,Norwich City,23,33,89,56,62.9,5,7,9,4,18.2
Lee Camp,GK,Norwich City,3,4,15,11,73.3,0,2,1,0,0.0
Petr Čech,GK,Chelsea,36,36,154,118,76.6,21,8,6,14,38.9
Júlio César,GK,QPR,24,37,125,88,70.4,1,8,13,6,25.0
Kelvin Davis,GK,Southampton,10,20,49,29,59.2,2,3,5,1,11.1
Rob Elliot,GK,Newcastle Utd,10,20,45,25,55.6,3,2,5,1,11.1
Łukasz Fabiański,GK,Arsenal,4,3,9,6,66.7,4,0,0,1,25.0
Adam Federici,GK,Reading,21,40,118,78,66.1,5,4,12,3,14.3
Ben Foster,GK,West Brom,30,46,139,93,66.9,11,6,13,7,23.3
Brad Friedel,GK,Tottenham,11,17,45,28,62.2,5,2,4,0,0.0
Paulo Gazzaniga,GK,Southampton,9,12,43,31,72.1,3,3,3,1,11.1
David de Gea,GK,Manchester Utd,28,26,114,88,77.2,22,4,2,11,39.3
Shay Given,GK,Aston Villa,2,4,8,4,50.0,0,0,2,0,0.0
Robert Green,GK,QPR,16,23,67,44,65.7,3,5,8,1,7.1
Brad Guzan,GK,Aston Villa,36,65,185,120,64.9,10,11,15,5,13.9
Ali Al-Habsi,GK,Wigan Athletic,29,57,149,92,61.7,6,7,16,4,13.8
Steve Harper,GK,Newcastle Utd,6,8,26,18,69.2,2,2,2,1,20.0
Joe Hart,GK,Manchester City,38,34,112,78,69.6,23,9,6,18,47.4
Tim Howard,GK,Everton,36,39,130,91,70.0,15,14,7,10,27.8
Jussi Jääskeläinen,GK,West Ham,38,53,215,162,75.3,12,10,16,11,28.9
Brad Jones,GK,Liverpool,7,9,31,22,71.0,3,3,1,2,28.6
Tim Krul,GK,Newcastle Utd,24,40,118,78,66.1,6,4,12,4,16.7
Anders Lindegaard,GK,Manchester Utd,10,17,38,21,55.3,6,1,3,2,20.0
Hugo Lloris,GK,Tottenham,27,29,82,53,64.6,16,7,4,9,33.3
Vito Mannone,GK,Arsenal,9,10,34,24,70.6,3,3,3,3,33.3
Alex McCarthy,GK,Reading,13,23,95,72,75.8,1,6,6,2,15.4
Simon Mignolet,GK,Sunderland,38,54,200,146,73.0,9,12,17,11,28.9
Ján Mucha,GK,Everton,2,1,13,12,92.3,1,1,0,1,50.0
Boaz Myhill,GK,West Brom,8,11,38,27,71.1,3,1,4,1,12.5
Pepe Reina,GK,Liverpool,31,34,104,70,67.3,13,10,8,14,45.2
Joel Robles,GK,Wigan Athletic,9,16,39,23,59.0,3,2,4,1,11.1
John Ruddy,GK,Norwich City,15,21,72,51,70.8,5,5,4,6,40.0
Mark Schwarzer,GK,Fulham,36,57,186,129,69.4,10,10,16,8,22.2
David Stockdale,GK,Fulham,2,3,12,9,75.0,1,0,1,0,0.0
Wojciech Szczęsny,GK,Arsenal,25,24,99,75,75.8,14,7,4,10,40.0
Stuart Taylor,GK,Reading,4,10,23,13,56.5,0,0,4,0,0.0
Gerhard Tremmel,GK,Swansea City,14,13,72,59,81.9,4,4,4,3,25.0
Ross Turnbull,GK,Chelsea,3,3,8,5,62.5,1,1,1,0,0.0
Michel Vorm,GK,Swansea City,26,38,129,91,70.5,7,9,10,7,26.9
