Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Pegguy Arphexad,GK,Leicester City,6,7,41,34,82.9,2,2,2,1,16.7
Espen Baardsen,GK,Tottenham,9,10,44,34,77.3,4,2,3,3,33.3
Mark Beeney,GK,Leeds United,1,2,5,3,60.0,0,0,1,0,0.0
Mark Bosnich,GK,Aston Villa,30,36,120,84,70.0,15,5,10,9,30.0
Keith Branagan,GK,Bolton,34,50,184,134,72.8,9,11,14,10,29.4
Matt Clarke,GK,Sheffield Weds,3,7,20,13,65.0,0,1,2,1,50.0
Raimond van der Gouw,GK,Manchester Utd,5,3,14,11,78.6,3,7,1,3,75.0
Alan Fettis,GK,Blackburn,8,19,54,35,64.8,2,1,5,1,14.3
John Filan,GK,Blackburn,7,4,19,15,78.9,4,2,1,4,57.1
Tim Flowers,GK,Blackburn,25,29,118,89,75.4,12,7,6,9,37.5
Craig Forrest,GK,West Ham,13,13,58,45,77.6,7,2,4,5,38.5
Brad Friedel,GK,Liverpool,11,16,60,44,73.3,5,3,3,2,18.2
Paul Gerrard,GK,Everton,4,8,28,20,71.4,1,1,2,0,0.0
Shay Given,GK,Newcastle Utd,24,29,107,79,72.9,7,8,9,8,33.3
Ed de Goey,GK,Chelsea,28,28,112,84,75.0,16,3,9,12,42.9
Magnus Hedman,GK,Coventry City,14,12,72,60,83.3,8,3,3,6,42.9
Shaka Hislop,GK,Newcastle Utd,13,14,42,28,66.7,4,1,7,2,15.4
Russell Hoult,GK,Derby County,2,2,6,4,66.7,0,0,2,0,0.0
David James,GK,Liverpool,27,26,98,72,73.5,13,8,6,11,40.7
Paul Jones,GK,Southampton,38,55,194,139,71.6,14,6,18,8,21.1
Kasey Keller,GK,Leicester City,32,34,153,119,77.8,11,12,9,14,43.8
Dmitri Kharine,GK,Chelsea,10,15,56,41,73.2,4,0,6,2,20.0
Bernard Lama,GK,West Ham,12,21,79,58,73.4,4,5,3,3,25.0
Lars Leese,GK,Barnsley,9,17,63,46,73.0,2,1,6,1,11.1
Alex Manninger,GK,Arsenal,7,4,22,18,81.8,5,1,1,6,85.7
Nigel Martyn,GK,Leeds United,37,55,171,116,67.8,17,8,13,11,29.7
Luděk Mikloško,GK,West Ham,13,23,62,39,62.9,5,1,7,0,0.0
Kevin Miller,GK,Crystal Palace,38,71,250,179,71.6,8,9,21,6,15.8
Thomas Myhre,GK,Everton,22,29,106,77,72.6,6,10,6,7,31.8
Michael Oakes,GK,Aston Villa,8,12,43,31,72.1,2,1,5,0,0.0
Steve Ogrizovic,GK,Coventry City,24,32,120,88,73.3,4,13,6,7,29.2
Kevin Pilkington,GK,Manchester Utd,2,3,12,9,75.0,1,0,1,1,50.0
Mart Poom,GK,Derby County,36,47,132,85,64.4,16,7,13,13,36.1
Kevin Pressman,GK,Sheffield Weds,36,60,185,125,67.6,12,7,16,7,19.4
Peter Schmeichel,GK,Manchester Utd,32,20,112,92,82.1,19,7,5,16,50.0
David Seaman,GK,Arsenal,31,29,112,83,74.1,18,8,5,13,41.9
Neville Southall,GK,Everton,12,19,63,44,69.8,2,2,8,3,25.0
Pavel Srníček,GK,Newcastle Utd,1,2,5,3,60.0,0,0,1,0,0.0
Neil Sullivan,GK,Wimbledon,38,46,182,136,74.7,10,14,14,13,34.2
Ian Walker,GK,Tottenham,29,46,150,104,69.3,7,9,13,7,24.1
Gavin Ward,GK,Bolton,6,11,33,22,66.7,0,2,2,0,0.0
David Watson,GK,Barnsley,30,65,221,156,70.6,8,4,17,4,13.8
