Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Manuel Almunia,GK,Arsenal,10,9,42,33,78.6,5,2,2,5,50.0
Stephan Andersen,GK,Charlton Ath,2,5,18,13,72.2,0,0,2,0,0.0
Jamie Ashdown,GK,Portsmouth,16,25,120,95,79.2,4,5,7,2,12.5
Alan Blayney,GK,Southampton,1,2,5,3,60.0,0,1,0,0,0.0
Roy Carroll,GK,Manchester Utd,26,16,74,58,78.4,18,6,2,15,57.7
Scott Carson,GK,Liverpool,4,3,20,17,85.0,2,0,2,1,25.0
Petr Čech,GK,Chelsea,35,13,102,89,87.3,27,7,1,24,68.6
Radek Černý,GK,Tottenham,3,1,11,10,90.9,0,1,1,1,50.0
Kostas Chalkias,GK,Portsmouth,5,11,38,27,71.1,1,0,4,0,0.0
Mark Crossley,GK,Fulham,5,7,44,37,84.1,2,0,2,1,20.0
Carlo Cudicini,GK,Chelsea,3,2,10,8,80.0,2,1,0,1,33.3
Edwin van der Sar,GK,Fulham,34,53,214,161,75.2,10,8,16,7,21.2
Jerzy Dudek,GK,Liverpool,24,26,112,86,76.8,11,5,8,5,20.8
Brad Friedel,GK,Blackburn,38,43,227,184,81.1,9,15,14,15,39.5
Shay Given,GK,Newcastle Utd,36,52,224,172,76.8,10,14,12,6,16.7
Robert Green,GK,Norwich City,38,76,288,212,73.6,7,12,19,6,15.8
Steve Harper,GK,Newcastle Utd,2,5,12,7,58.3,0,0,2,0,0.0
Shaka Hislop,GK,Portsmouth,17,23,108,85,78.7,5,4,8,3,17.6
Russell Hoult,GK,West Brom,36,60,228,168,73.7,5,14,16,6,16.7
Tim Howard,GK,Manchester Utd,12,10,32,22,68.8,4,5,3,4,33.3
Jussi Jääskeläinen,GK,Bolton,36,39,166,127,76.5,16,8,11,8,22.2
David James,GK,Manchester City,38,39,195,156,80.0,13,13,12,11,28.9
Brad Jones,GK,Middlesbrough,5,3,24,21,87.5,1,3,1,2,40.0
Kasey Keller,GK,Southampton,4,8,18,10,55.6,1,1,2,0,0.0
Dean Kiely,GK,Charlton Ath,36,53,214,161,75.2,12,10,14,12,33.3
Gábor Király,GK,Crystal Palace,32,49,234,185,79.1,7,11,14,10,31.3
Chris Kirkland,GK,Liverpool,10,12,39,27,69.2,4,2,4,1,10.0
Tomasz Kuszczak,GK,West Brom,3,1,19,18,94.7,1,2,0,2,100.0
Jens Lehmann,GK,Arsenal,28,27,104,77,74.0,20,6,3,11,39.3
Nigel Martyn,GK,Everton,32,27,142,115,81.0,17,5,9,13,40.6
Carlo Nash,GK,Middlesbrough,2,4,10,6,60.0,0,1,1,0,0.0
Antti Niemi,GK,Southampton,28,50,125,75,60.0,4,9,15,2,7.1
Andy Oakes,GK,Bolton,1,2,5,3,60.0,0,0,1,0,0.0
Kevin Poole,GK,Bolton,2,3,8,5,62.5,0,2,0,0,0.0
Stefan Postma,GK,Aston Villa,3,9,27,18,66.7,0,0,2,0,0.0
Paul Robinson,GK,Tottenham,36,40,206,166,80.6,14,9,13,12,33.3
Mark Schwarzer,GK,Middlesbrough,31,39,179,140,78.2,13,9,9,9,29.0
Paul Smith,GK,Southampton,6,8,22,14,63.6,1,3,2,1,20.0
Julián Speroni,GK,Crystal Palace,6,13,57,44,77.2,0,1,5,0,0.0
Thomas Sørensen,GK,Aston Villa,36,43,209,166,79.4,12,11,13,11,30.6
Maik Taylor,GK,Birmingham City,38,46,212,166,78.3,11,12,15,9,23.7
Darren Ward,GK,Norwich City,1,1,3,2,66.7,0,0,0,0,
Richard Wright,GK,Everton,7,19,52,33,63.5,1,2,4,0,0.0
