Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Clive Baker,GK,Ipswich Town,31,40,133,93,69.9,8,9,13,8,26.7
Dave Beasant,GK,Chelsea,17,21,92,71,77.2,5,7,5,4,23.5
Mark Beeney,GK,Leeds United,1,3,8,5,62.5,0,1,0,0,0.0
Mark Bosnich,GK,Aston Villa,17,12,82,70,85.4,9,3,5,8,47.1
Andy Collett,GK,Middlesbrough,2,5,12,7,58.3,0,1,1,0,0.0
Tony Coton,GK,Manchester City,40,45,176,131,74.4,15,12,15,11,27.5
Mark Crossley,GK,Nott'ham Forest,37,55,186,131,70.4,9,9,19,9,24.3
Mervyn Day,GK,Leeds United,2,6,12,6,50.0,0,0,2,0,0.0
Andy Dibble,GK,Manchester City,2,2,6,4,66.7,0,1,0,0,0.0
Tim Flowers,GK,Southampton,42,61,212,151,71.2,13,11,18,10,23.8
Craig Forrest,GK,Ipswich Town,11,14,51,37,72.5,3,7,1,4,36.4
Paul Gerrard,GK,Oldham Athletic,25,44,125,81,64.8,9,4,12,2,8.0
Jonathan Gould,GK,Coventry City,9,18,52,34,65.4,3,2,4,3,33.3
Bruce Grobbelaar,GK,Liverpool,5,8,27,19,70.4,4,0,1,1,20.0
Bryan Gunn,GK,Norwich City,42,65,206,141,68.4,21,9,12,11,26.2
Jon Hallworth,GK,Oldham Athletic,16,29,79,50,63.3,3,6,7,1,6.3
Kevin Hitchcock,GK,Chelsea,20,23,95,72,75.8,7,6,7,7,35.0
Mike Hooper,GK,Liverpool,9,13,51,38,74.5,4,1,4,2,25.0
Brian Horne,GK,Middlesbrough,4,3,14,11,78.6,2,1,0,2,66.7
Ian Ironside,GK,Middlesbrough,12,19,71,52,73.2,3,3,5,2,18.2
David James,GK,Liverpool,29,34,113,79,69.9,8,10,10,9,31.0
Jason Kearton,GK,Everton,5,8,22,14,63.6,0,1,2,0,0.0
John Keeley,GK,Oldham Athletic,1,1,4,3,75.0,1,0,0,0,0.0
Alan Kelly Jr.,GK,Sheffield Utd,33,39,153,114,74.5,11,8,13,9,28.1
Dmitri Kharine,GK,Chelsea,5,9,20,11,55.0,2,1,2,0,0.0
John Lukic,GK,Leeds United,39,53,165,112,67.9,12,14,13,11,28.2
Martyn Margetson,GK,Manchester City,1,4,6,2,33.3,0,0,1,0,0.0
Andy Marriott,GK,Nott'ham Forest,5,7,22,15,68.2,1,1,3,0,0.0
Nigel Martyn,GK,Crystal Palace,42,61,201,140,69.7,11,16,15,11,26.2
Alan Miller,GK,Arsenal,4,5,13,8,61.5,0,1,2,1,33.3
Bobby Mimms,GK,Blackburn,42,46,184,138,75.0,20,11,11,19,45.2
Steve Ogrizovic,GK,Coventry City,33,39,139,100,71.9,10,11,12,8,24.2
Stephen Pears,GK,Middlesbrough,26,48,122,74,60.7,6,6,14,4,15.4
Andy Petterson,GK,Ipswich Town,1,1,4,3,75.0,1,0,0,0,0.0
Gerry Peyton,GK,Chelsea,1,1,3,2,66.7,0,0,0,0,
Kevin Pressman,GK,Sheffield Weds,3,5,12,7,58.3,2,0,1,1,33.3
Tony Roberts,GK,QPR,28,36,126,90,71.4,11,8,8,5,17.9
Peter Schmeichel,GK,Manchester Utd,42,31,142,111,78.2,24,12,6,18,42.9
David Seaman,GK,Arsenal,39,33,188,155,82.4,15,10,14,15,38.5
Hans Segers,GK,Wimbledon,41,53,183,130,71.0,14,11,16,13,31.7
Neville Southall,GK,Everton,40,47,174,127,73.0,15,7,17,11,27.5
Nigel Spink,GK,Aston Villa,25,28,107,79,73.8,12,8,5,7,28.0
Jan Stejskal,GK,QPR,15,19,66,47,71.2,6,4,5,3,21.4
Neil Sullivan,GK,Wimbledon,1,2,5,3,60.0,0,1,0,0,0.0
Erik Thorstvedt,GK,Tottenham,27,38,113,75,66.4,12,6,8,8,32.0
Simon Tracey,GK,Sheffield Utd,10,14,48,34,70.8,3,2,5,2,20.0
Ian Walker,GK,Tottenham,17,28,73,45,61.6,4,5,7,2,11.8
Chris Woods,GK,Sheffield Weds,39,46,166,120,72.3,13,15,12,8,20.5
