Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Manuel Almunia,GK,Arsenal,29,31,92,61,66.3,18,4,7,10,34.5
Ben Alnwick,GK,Tottenham,1,4,8,4,50.0,0,0,1,0,0.0
Jamie Ashdown,GK,Portsmouth,6,6,37,31,83.8,0,2,3,2,40.0
Asmir Begović,GK,Stoke City,4,7,21,14,66.7,1,1,2,2,66.7
Asmir Begović,GK,Portsmouth,9,19,42,23,54.8,2,1,5,2,25.0
Jason Brown,GK,Blackburn,4,5,14,9,64.3,2,1,1,1,33.3
Petr Čech,GK,Chelsea,34,24,93,69,74.2,25,4,4,17,50.0
Carlo Cudicini,GK,Tottenham,7,11,46,35,76.1,4,1,2,1,16.7
Edwin van der Sar,GK,Manchester Utd,21,13,77,64,83.1,15,2,4,12,57.1
Matt Duke,GK,Hull City,11,17,52,35,67.3,2,5,4,2,18.2
Łukasz Fabiański,GK,Arsenal,4,5,14,9,64.3,1,1,2,2,50.0
Ben Foster,GK,Manchester Utd,9,8,33,25,75.8,7,1,1,4,44.4
Brad Friedel,GK,Aston Villa,38,39,186,147,79.0,17,13,8,15,39.5
Márton Fülöp,GK,Manchester City,3,3,14,11,78.6,1,1,1,0,0.0
Márton Fülöp,GK,Sunderland,13,24,57,33,57.9,3,3,6,2,16.7
Shay Given,GK,Manchester City,35,42,142,100,70.4,17,12,6,11,31.4
Heurelho Gomes,GK,Tottenham,31,26,124,98,79.0,17,6,7,12,38.7
Craig Gordon,GK,Sunderland,26,32,142,110,77.5,8,8,10,5,19.2
Robert Green,GK,West Ham,38,66,193,127,65.8,8,11,19,8,21.1
Marcus Hahnemann,GK,Wolves,25,30,148,118,79.7,7,7,11,7,28.0
Joe Hart,GK,Birmingham City,36,42,196,154,78.6,13,10,13,10,27.8
Wayne Hennessey,GK,Wolves,13,26,77,51,66.2,2,4,7,1,7.7
Henrique Hilário,GK,Chelsea,3,6,14,8,57.1,1,0,2,1,50.0
Tim Howard,GK,Everton,38,49,170,121,71.2,16,13,9,11,28.9
Jussi Jääskeläinen,GK,Bolton,38,67,208,141,67.8,10,9,19,5,13.2
David James,GK,Portsmouth,25,41,132,91,68.9,5,4,16,3,12.0
Brian Jensen,GK,Burnley,38,80,230,150,65.2,8,6,23,3,7.9
Chris Kirkland,GK,Wigan Athletic,32,57,158,101,63.9,9,8,14,8,25.0
Péter Kurucz,GK,West Ham,1,0,0,0,,0,0,0,0,
Tomasz Kuszczak,GK,Manchester Utd,8,7,36,29,80.6,5,1,2,3,37.5
Vito Mannone,GK,Arsenal,5,5,23,18,78.3,4,1,0,2,40.0
Boaz Myhill,GK,Hull City,27,58,184,126,68.5,4,7,16,5,18.5
Gunnar Nielsen,GK,Manchester City,1,0,1,1,100.0,0,0,0,0,
Diego Penny,GK,Burnley,1,2,4,2,50.0,0,0,1,0,
Mike Pollitt,GK,Wigan Athletic,4,14,29,15,51.7,0,0,3,0,0.0
Pepe Reina,GK,Liverpool,38,35,139,104,74.8,18,9,11,17,44.7
Paul Robinson,GK,Blackburn,35,50,162,112,69.1,11,10,13,12,34.3
Mark Schwarzer,GK,Fulham,37,45,172,127,73.8,11,10,16,12,32.4
Steve Simonsen,GK,Stoke City,3,4,16,12,75.0,2,0,1,1,50.0
David Stockdale,GK,Fulham,1,1,4,3,75.0,1,0,0,0,0.0
Vladimir Stojković,GK,Wigan Athletic,4,8,19,11,57.9,0,1,3,0,0.0
Thomas Sørensen,GK,Stoke City,33,37,155,118,76.1,8,13,10,11,33.3
Maik Taylor,GK,Birmingham City,2,5,12,7,58.3,0,1,1,1,50.0
Ross Turnbull,GK,Chelsea,2,2,6,4,66.7,1,1,0,0,0.0
