Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Marco Ambrosio,GK,Chelsea,8,8,36,28,77.8,4,2,2,4,50.0
Ian Bennett,GK,Birmingham City,6,12,24,12,50.0,0,2,3,1,25.0
Alan Blayney,GK,Southampton,2,5,18,13,72.2,0,1,1,0,0.0
Roy Carroll,GK,Manchester Utd,6,4,22,18,81.8,3,2,1,2,33.3
Scott Carson,GK,Leeds United,3,3,13,10,76.9,0,1,1,0,0.0
Danny Coyne,GK,Leicester City,4,4,14,10,71.4,0,1,1,0,0.0
Mark Crossley,GK,Fulham,1,2,6,4,66.7,0,0,1,0,0.0
Carlo Cudicini,GK,Chelsea,26,20,79,59,74.7,17,5,4,14,53.8
Edwin van der Sar,GK,Fulham,37,44,201,157,78.1,14,10,13,15,40.5
Jerzy Dudek,GK,Liverpool,30,28,116,88,75.9,13,9,8,11,36.7
Peter Enckelman,GK,Blackburn,2,2,8,6,75.0,0,1,1,0,0.0
Brad Friedel,GK,Blackburn,36,57,193,136,70.5,12,7,17,9,25.0
Shay Given,GK,Newcastle Utd,38,40,171,131,76.6,13,17,8,11,28.9
Shaka Hislop,GK,Portsmouth,30,43,151,108,71.5,11,8,11,6,20.0
Tim Howard,GK,Manchester Utd,32,31,141,110,78.0,20,4,8,12,37.5
Jussi Jääskeläinen,GK,Bolton,38,56,182,126,69.2,14,11,13,10,26.3
David James,GK,Manchester City,17,22,79,57,72.2,4,7,6,3,17.6
Brad Jones,GK,Middlesbrough,1,1,5,4,80.0,1,0,0,0,0.0
Paul Jones,GK,Southampton,8,6,46,33,87.0,3,3,2,4,50.0
Paul Jones,GK,Liverpool,2,2,11,8,81.8,1,0,1,1,50.0
Paul Jones,GK,Wolves,16,33,92,66,64.1,3,5,8,3,18.8
Kasey Keller,GK,Tottenham,38,57,198,141,71.2,13,6,19,8,21.1
Dean Kiely,GK,Charlton Ath,37,48,195,147,75.4,14,11,12,10,27.0
Chris Kirkland,GK,Liverpool,6,7,22,15,68.2,2,3,1,1,16.7
Jens Lehmann,GK,Arsenal,38,26,114,88,77.2,26,12,0,15,39.5
Patrice Luzi,GK,Liverpool,1,0,1,1,100.0,0,0,0,0,
Nigel Martyn,GK,Everton,34,49,161,112,69.6,8,11,15,10,30.3
Matt Murray,GK,Wolves,1,5,12,7,58.3,0,0,1,0,0.0
Carlo Nash,GK,Middlesbrough,1,0,3,3,100.0,1,0,0,1,100.0
Antti Niemi,GK,Southampton,28,34,161,127,78.9,9,7,12,8,28.6
Michael Oakes,GK,Wolves,21,39,122,83,68.0,4,7,10,4,19.0
Stefan Postma,GK,Aston Villa,2,2,7,5,71.4,1,1,0,0,
Paul Robinson,GK,Leeds United,36,76,202,126,62.4,8,8,20,3,8.3
Simon Royce,GK,Charlton Ath,1,3,10,7,70.0,0,0,1,0,0.0
Mark Schwarzer,GK,Middlesbrough,36,51,174,123,70.7,11,9,16,13,36.1
David Seaman,GK,Manchester City,19,24,86,62,72.1,5,7,6,4,21.1
Steve Simonsen,GK,Everton,1,3,8,5,62.5,0,0,1,0,0.0
Pavel Srníček,GK,Portsmouth,3,4,16,12,75.0,0,1,2,1,33.3
Kevin Stuhr Ellegaard,GK,Manchester City,4,8,19,11,57.9,0,0,3,0,0.0
Neil Sullivan,GK,Chelsea,4,2,10,8,80.0,3,0,1,3,75.0
Thomas Sørensen,GK,Aston Villa,38,42,166,124,74.7,14,10,12,12,31.6
Maik Taylor,GK,Birmingham City,34,36,159,123,77.4,12,12,9,14,41.2
Ian Walker,GK,Leicester City,37,61,196,135,68.9,6,14,16,9,24.3
Harald Wapenaar,GK,Portsmouth,5,7,25,18,72.0,1,0,4,1,20.0
Richard Wright,GK,Everton,4,5,21,16,76.2,1,1,1,0,0.0
