Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Adrián,GK,Liverpool,11,10,27,17,63.0,9,0,0,2,22.2
Alisson,GK,Liverpool,29,23,80,58,72.5,23,3,3,13,44.8
Kepa Arrizabalaga,GK,Chelsea,33,47,99,54,54.5,18,4,11,8,24.2
Claudio Bravo,GK,Manchester City,4,7,15,8,53.3,2,0,1,1,33.3
Willy Caballero,GK,Chelsea,5,7,16,10,56.3,2,2,1,1,20.0
Martin Dúbravka,GK,Newcastle Utd,38,58,195,139,71.3,11,11,16,11,28.9
Ederson,GK,Manchester City,35,28,95,68,73.7,24,3,8,16,45.7
Łukasz Fabiański,GK,West Ham,25,34,104,71,70.2,8,7,10,5,20.0
Ralf Fährmann,GK,Norwich City,1,1,2,1,100.0,,,1,,
Ben Foster,GK,Watford,38,64,178,116,68.5,8,10,20,9,23.7
Paulo Gazzaniga,GK,Tottenham,18,26,82,56,72.0,5,5,7,2,11.8
David de Gea,GK,Manchester Utd,38,36,131,96,74.8,18,12,8,13,34.2
Vicente Guaita,GK,Crystal Palace,35,42,149,109,71.8,11,9,15,10,28.6
Angus Gunn,GK,Southampton,10,25,55,30,58.2,2,2,6,2,20.0
Tom Heaton,GK,Aston Villa,20,35,102,68,68.6,6,3,11,4,20.0
Dean Henderson,GK,Sheffield Utd,36,33,128,94,75.0,14,11,11,13,36.1
Wayne Hennessey,GK,Crystal Palace,3,8,23,15,65.2,0,1,2,0,0.0
Tim Krul,GK,Norwich City,36,68,195,128,66.7,5,6,25,5,13.9
Bernd Leno,GK,Arsenal,30,39,151,111,78.1,9,13,8,7,23.3
Hugo Lloris,GK,Tottenham,21,21,99,78,80.8,11,6,4,6,28.6
David Martin,GK,West Ham,5,6,21,15,71.4,2,0,2,2,50.0
Emiliano Martínez,GK,Arsenal,9,9,42,33,81.0,5,1,2,3,37.5
Alex McCarthy,GK,Southampton,28,35,113,78,69.9,13,5,10,7,25.0
Michael McGovern,GK,Norwich City,2,6,13,6,53.8,0,0,1,0,0.0
Simon Moore,GK,Sheffield Utd,2,6,11,5,45.5,0,1,1,0,0.0
Ørjan Nyland,GK,Aston Villa,7,12,27,15,55.6,0,2,3,1,20.0
Rui Patrício,GK,Wolves,38,40,129,88,69.8,15,14,9,13,34.2
Jordan Pickford,GK,Everton,38,56,147,94,63.9,13,10,15,9,23.7
Nick Pope,GK,Burnley,38,50,167,117,72.5,15,9,14,15,39.5
Aaron Ramsdale,GK,Bournemouth,37,62,187,124,69.5,9,7,21,5,13.5
Darren Randolph,GK,West Ham,2,5,11,6,63.6,0,1,1,0,0.0
Pepe Reina,GK,Aston Villa,12,20,53,32,66.0,3,3,6,2,16.7
Roberto,GK,West Ham,8,17,51,35,68.6,0,1,6,0,0.0
Mathew Ryan,GK,Brighton,38,54,168,116,69.0,9,14,15,9,23.7
Kasper Schmeichel,GK,Leicester City,38,41,135,94,75.6,18,8,12,13,34.2
Jed Steer,GK,Aston Villa,1,,,,,,,1,,
Mark Travers,GK,Bournemouth,1,3,5,2,40.0,0,0,1,0,0.0
