Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Adrián,GK,West Ham,16,25,78,53,70.5,5,4,7,6,37.5
Ryan Allsop,GK,Bournemouth,1,1,5,4,80.0,0,1,0,0,0.0
Asmir Begović,GK,Chelsea,2,5,6,1,16.7,1,0,1,0,0.0
Artur Boruc,GK,Bournemouth,35,63,176,113,65.3,11,9,15,9,25.7
Claudio Bravo,GK,Manchester City,22,26,60,34,56.7,12,5,5,5,22.7
Jack Butland,GK,Stoke City,5,8,24,16,66.7,1,2,2,2,40.0
Willy Caballero,GK,Manchester City,17,13,45,32,75.6,11,4,1,6,37.5
Joel Castro Pereira,GK,Manchester Utd,1,0,3,3,100.0,1,0,0,1,100.0
Petr Čech,GK,Arsenal,35,37,150,113,81.3,22,5,7,12,34.3
Thibaut Courtois,GK,Chelsea,36,28,99,71,73.7,29,3,4,16,44.4
Łukasz Fabiański,GK,Swansea City,37,69,174,105,63.8,11,5,21,8,21.6
Adam Federici,GK,Bournemouth,2,3,8,5,62.5,1,0,1,1,50.0
Fraser Forster,GK,Southampton,38,48,130,82,67.7,12,10,16,14,36.8
Ben Foster,GK,West Brom,38,51,160,109,70.0,12,9,17,6,15.8
David de Gea,GK,Manchester Utd,35,29,103,74,75.7,16,14,5,14,40.0
Shay Given,GK,Stoke City,5,14,33,19,60.6,0,1,4,0,0.0
Heurelho Gomes,GK,Watford,38,64,177,113,65.5,11,7,19,6,15.8
Lee Grant,GK,Stoke City,28,34,123,89,72.4,10,8,10,9,32.1
Brad Guzan,GK,Middlesbrough,10,17,53,36,69.8,2,3,5,3,30.0
Tom Heaton,GK,Burnley,35,48,189,141,76.7,11,7,17,10,28.6
Wayne Hennessey,GK,Crystal Palace,29,46,133,87,66.9,9,3,17,7,24.1
Eldin Jakupović,GK,Hull City,22,36,107,71,70.1,8,4,10,5,22.7
Loris Karius,GK,Liverpool,10,12,32,20,65.6,6,3,1,3,30.0
Hugo Lloris,GK,Tottenham,34,24,101,77,77.2,24,5,4,15,44.1
Steve Mandanda,GK,Crystal Palace,9,17,43,26,60.5,3,2,4,0,0.0
Vito Mannone,GK,Sunderland,9,19,59,40,71.2,1,2,6,2,22.2
David Marshall,GK,Hull City,16,44,107,63,65.4,1,3,12,0,0.0
Emiliano Martínez,GK,Arsenal,2,3,8,5,75.0,1,0,1,1,50.0
Simon Mignolet,GK,Liverpool,28,30,82,52,65.9,16,7,5,9,32.1
Kristoffer Nordfeldt,GK,Swansea City,1,1,5,4,80.0,1,0,0,0,0.0
David Ospina,GK,Arsenal,2,4,9,5,55.6,0,1,1,0,0.0
Costel Pantilimon,GK,Watford,2,4,10,6,60.0,0,0,1,0,
Jordan Pickford,GK,Sunderland,29,50,189,139,74.6,5,4,20,4,13.8
Darren Randolph,GK,West Ham,22,39,104,65,65.4,7,5,10,4,18.2
Paul Robinson,GK,Burnley,3,7,19,12,63.2,0,0,3,0,0.0
Joel Robles,GK,Everton,20,20,80,60,77.5,12,4,3,10,52.6
Sergio Romero,GK,Manchester Utd,2,0,10,10,100.0,1,1,0,2,100.0
Kasper Schmeichel,GK,Leicester City,30,47,157,110,72.0,10,7,13,8,26.7
Maarten Stekelenburg,GK,Everton,19,24,68,44,66.2,5,6,8,3,15.8
Víctor Valdés,GK,Middlesbrough,28,36,118,82,72.0,3,10,15,8,28.6
Michel Vorm,GK,Tottenham,5,2,9,7,88.9,2,3,0,2,50.0
Ron-Robert Zieler,GK,Leicester City,9,16,33,17,51.5,2,1,5,1,12.5
