Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Clive Baker,GK,Ipswich Town,2,6,18,12,66.7,0,1,1,0,0.0
Vince Bartram,GK,Arsenal,11,18,49,31,63.3,3,2,6,2,18.2
Dave Beasant,GK,Southampton,13,16,56,40,71.4,3,5,4,3,25.0
Mark Bosnich,GK,Aston Villa,30,44,144,100,69.4,6,12,12,6,20.0
John Burridge,GK,Manchester City,5,8,19,11,57.9,1,1,2,0,0.0
Tony Coton,GK,Manchester City,22,29,112,83,74.1,8,6,8,6,27.3
Mark Crossley,GK,Nott'ham Forest,42,43,169,126,74.6,22,11,9,13,31.0
Andy Dibble,GK,Manchester City,16,27,93,66,71.0,3,6,7,4,25.0
Sieb Dijkstra,GK,QPR,11,19,52,33,63.5,3,6,5,2,18.2
John Filan,GK,Coventry City,2,2,9,7,77.8,1,1,0,0,0.0
Tim Flowers,GK,Blackburn,39,33,141,108,76.6,25,7,6,16,41.0
Craig Forrest,GK,Ipswich Town,37,81,244,163,66.8,6,5,26,2,5.4
Jonathan Gould,GK,Coventry City,7,10,36,26,72.2,1,3,3,2,28.6
Bruce Grobbelaar,GK,Southampton,30,47,166,119,71.7,9,13,8,6,20.0
Bryan Gunn,GK,Norwich City,21,18,86,68,79.1,8,7,5,7,33.3
Kevin Hitchcock,GK,Chelsea,11,17,48,31,64.6,3,4,4,2,18.2
Mike Hooper,GK,Newcastle Utd,6,7,24,17,70.8,3,0,2,1,25.0
David James,GK,Liverpool,42,37,170,133,78.2,21,11,10,16,38.1
Jason Kearton,GK,Everton,1,3,8,5,62.5,0,0,1,0,0.0
Dmitri Kharine,GK,Chelsea,31,38,166,128,77.1,10,11,10,11,35.5
John Lukic,GK,Leeds United,42,38,198,160,80.8,20,13,9,17,40.5
Andy Marshall,GK,Norwich City,20,33,104,71,68.3,2,6,12,3,15.0
Nigel Martyn,GK,Crystal Palace,37,40,171,131,76.6,9,10,17,13,36.1
Luděk Mikloško,GK,West Ham,42,48,192,144,75.0,13,11,18,13,31.0
Bobby Mimms,GK,Blackburn,4,6,24,18,75.0,2,1,1,0,0.0
Steve Ogrizovic,GK,Coventry City,33,50,168,118,70.2,10,10,13,11,33.3
Kevin Pilkington,GK,Manchester Utd,1,,,,,,,,,
Kevin Poole,GK,Leicester City,36,67,204,137,67.2,5,10,21,4,11.1
Kevin Pressman,GK,Sheffield Weds,34,48,149,101,67.8,11,9,14,8,23.5
Tony Roberts,GK,QPR,31,40,142,102,71.8,14,3,11,8,25.8
Peter Schmeichel,GK,Manchester Utd,32,15,112,97,86.6,20,8,4,21,65.6
David Seaman,GK,Arsenal,31,31,141,110,78.0,10,10,11,11,35.5
Hans Segers,GK,Wimbledon,31,47,153,106,69.3,12,8,11,9,29.0
Neville Southall,GK,Everton,41,48,224,176,78.6,11,17,13,14,34.1
Nigel Spink,GK,Aston Villa,13,12,53,41,77.4,5,3,4,5,41.7
Pavel Srníček,GK,Newcastle Utd,38,40,161,121,75.2,17,12,8,13,34.2
Neil Sullivan,GK,Wimbledon,11,18,58,40,69.0,3,3,5,3,27.3
Erik Thorstvedt,GK,Tottenham,1,1,6,5,83.3,1,0,0,0,0.0
Simon Tracey,GK,Manchester City,3,9,,,,0,1,2,0,0.0
Simon Tracey,GK,Norwich City,1,2,4,2,50.0,0,1,0,0,0.0
Ian Walker,GK,Tottenham,41,57,175,118,67.4,15,14,12,11,26.8
Gary Walsh,GK,Manchester Utd,10,13,48,35,72.9,6,2,2,3,30.0
Gavin Ward,GK,Leicester City,6,13,41,28,68.3,1,1,4,0,0.0
Rhys Wilmot,GK,Crystal Palace,6,9,25,16,64.0,2,2,2,1,16.7
Chris Woods,GK,Sheffield Weds,9,9,46,37,80.4,2,3,3,4,50.0
Richard Wright,GK,Ipswich Town,3,6,23,17,73.9,1,0,2,1,33.3
