Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Ben Amos,GK,Manchester Utd,1,0,2,2,100.0,1,0,0,1,100.0
Asmir Begović,GK,Stoke City,23,31,108,77,71.3,7,8,8,7,31.8
Ádám Bogdán,GK,Bolton,20,40,122,82,67.2,6,5,9,1,5.0
Mark Bunn,GK,Blackburn,3,5,19,14,73.7,1,1,1,0,0.0
Petr Čech,GK,Chelsea,34,39,140,101,72.1,16,10,9,10,29.4
Radek Černý,GK,QPR,5,7,36,29,80.6,0,1,4,0,0.0
Doni,GK,Liverpool,4,3,11,8,72.7,0,1,2,0,0.0
Ben Foster,GK,West Brom,37,49,166,117,70.5,13,8,16,10,27.0
Brad Friedel,GK,Tottenham,38,41,163,122,74.8,20,9,9,14,36.8
Márton Fülöp,GK,West Brom,1,3,5,2,40.0,0,0,1,0,0.0
David de Gea,GK,Manchester Utd,29,29,134,105,78.4,20,5,4,13,44.8
Shay Given,GK,Aston Villa,32,45,156,111,71.2,5,16,10,8,25.0
Craig Gordon,GK,Sunderland,1,2,4,2,50.0,0,1,0,0,0.0
Brad Guzan,GK,Aston Villa,7,8,29,21,72.4,2,1,4,1,16.7
Ali Al-Habsi,GK,Wigan Athletic,38,62,200,138,69.0,11,10,17,8,21.1
Joe Hart,GK,Manchester City,38,29,133,104,78.2,28,5,5,17,44.7
Wayne Hennessey,GK,Wolves,34,73,246,173,70.3,5,8,21,3,8.8
Henrique Hilário,GK,Chelsea,2,2,10,8,80.0,2,0,0,0,0.0
Tim Howard,GK,Everton,38,40,138,98,71.0,15,11,12,12,31.6
Carl Ikeme,GK,Wolves,1,1,5,4,80.0,0,0,0,0,
Jussi Jääskeläinen,GK,Bolton,18,37,111,74,66.7,4,1,13,2,11.1
Brad Jones,GK,Liverpool,1,2,7,5,71.4,1,0,0,0,
Jake Kean,GK,Blackburn,1,2,6,4,66.7,0,0,1,0,0.0
Paddy Kenny,GK,QPR,33,59,171,112,65.5,9,6,17,7,21.2
Tim Krul,GK,Newcastle Utd,38,51,176,125,71.0,19,8,11,15,39.5
Anders Lindegaard,GK,Manchester Utd,8,4,23,19,82.6,7,0,1,6,75.0
Simon Mignolet,GK,Sunderland,29,33,139,106,76.3,9,8,11,11,37.9
Pepe Reina,GK,Liverpool,34,35,119,84,70.6,13,9,12,12,35.3
Paul Robinson,GK,Blackburn,34,71,165,94,57.0,7,6,21,3,8.8
Declan Rudd,GK,Norwich City,2,3,10,7,70.0,0,0,1,0,0.0
John Ruddy,GK,Norwich City,37,63,218,155,71.1,12,11,14,3,8.1
Mark Schwarzer,GK,Fulham,30,37,141,104,73.8,11,7,12,10,33.3
David Stockdale,GK,Fulham,8,14,59,45,76.3,3,3,2,1,12.5
Wojciech Szczęsny,GK,Arsenal,38,49,135,86,63.7,21,7,10,13,34.2
Thomas Sørensen,GK,Stoke City,16,22,69,47,68.1,4,4,7,2,12.5
Gerhard Tremmel,GK,Swansea City,1,2,4,2,50.0,0,0,1,0,0.0
Ross Turnbull,GK,Chelsea,2,5,11,6,54.5,1,0,1,0,0.0
Michel Vorm,GK,Swansea City,37,49,194,145,74.7,12,11,14,14,37.8
Dorus de Vries,GK,Wolves,4,8,20,12,60.0,0,2,2,1,25.0
Keiren Westwood,GK,Sunderland,9,11,27,16,59.3,2,3,4,1,12.5
