Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Pegguy Arphexad,GK,Leicester City,4,3,13,10,76.9,1,1,1,1,50.0
Espen Baardsen,GK,Tottenham,12,16,56,40,71.4,5,3,4,5,41.7
Dave Beasant,GK,Nott'ham Forest,26,54,171,117,68.4,3,8,15,3,11.5
Marlon Beresford,GK,Middlesbrough,4,7,23,16,69.6,1,3,0,0,0.0
Mark Bosnich,GK,Aston Villa,15,10,71,61,85.9,8,4,3,9,60.0
Mark Crossley,GK,Nott'ham Forest,12,15,54,39,72.2,4,1,7,3,25.0
Raimond van der Gouw,GK,Manchester Utd,5,3,15,12,80.0,5,0,0,2,50.0
Alan Fettis,GK,Blackburn,2,0,7,7,100.0,1,1,0,2,100.0
John Filan,GK,Blackburn,26,35,136,101,74.3,4,10,11,5,19.2
Tim Flowers,GK,Blackburn,11,17,46,29,63.0,2,3,6,3,30.0
Craig Forrest,GK,West Ham,2,3,10,7,70.0,1,0,0,1,100.0
Brad Friedel,GK,Liverpool,12,15,63,48,76.2,6,3,3,3,25.0
Shay Given,GK,Newcastle Utd,31,45,130,85,65.4,10,7,13,4,12.9
Ed de Goey,GK,Chelsea,35,27,123,96,78.0,19,13,3,13,37.1
Steve Harper,GK,Newcastle Utd,8,9,31,22,71.0,1,6,1,1,14.3
Magnus Hedman,GK,Coventry City,36,48,192,144,75.0,11,8,17,7,19.4
Shaka Hislop,GK,West Ham,37,50,246,196,79.7,15,9,13,15,40.5
Kevin Hitchcock,GK,Chelsea,3,2,8,6,75.0,1,2,0,2,100.0
Russell Hoult,GK,Derby County,23,28,105,77,73.3,9,6,7,6,26.1
Saša Ilić,GK,Charlton Ath,23,33,91,58,63.7,3,7,11,6,26.1
David James,GK,Liverpool,26,34,118,84,71.2,9,6,11,5,19.2
Paul Jones,GK,Southampton,31,53,171,118,69.0,10,5,16,7,22.6
Kasey Keller,GK,Leicester City,36,43,185,142,76.8,11,12,12,13,36.1
Dmitri Kharine,GK,Chelsea,1,1,5,4,80.0,1,0,0,0,0.0
Alex Manninger,GK,Arsenal,6,2,20,18,90.0,4,1,1,4,66.7
Nigel Martyn,GK,Leeds United,34,28,184,156,84.8,17,10,6,13,38.2
Neil Moss,GK,Southampton,7,11,36,25,69.4,1,3,3,2,28.6
Thomas Myhre,GK,Everton,38,47,177,130,73.4,11,10,17,14,36.8
Michael Oakes,GK,Aston Villa,23,35,131,96,73.3,7,6,9,6,26.1
Steve Ogrizovic,GK,Coventry City,2,3,10,7,70.0,0,1,1,0,0.0
Andy Petterson,GK,Charlton Ath,10,18,56,38,67.9,2,3,5,1,14.3
Mart Poom,GK,Derby County,17,17,88,71,80.7,4,7,5,6,40.0
Kevin Pressman,GK,Sheffield Weds,15,15,67,52,77.6,5,2,8,5,35.7
Adam Rachel,GK,Aston Villa,1,1,2,1,50.0,0,0,1,0,
Paul Robinson,GK,Leeds United,5,6,23,17,73.9,1,3,1,2,50.0
Simon Royce,GK,Charlton Ath,8,5,31,26,83.9,3,2,2,4,50.0
Peter Schmeichel,GK,Manchester Utd,34,34,131,97,74.0,17,13,3,11,32.4
Mark Schwarzer,GK,Middlesbrough,34,47,235,188,80.0,11,12,11,13,38.2
David Seaman,GK,Arsenal,32,15,104,89,85.6,18,11,3,19,59.4
Hans Segers,GK,Tottenham,1,1,4,3,75.0,0,1,0,0,0.0
Pavel Srníček,GK,Sheffield Weds,24,27,125,98,78.4,8,5,10,7,29.2
Neil Sullivan,GK,Wimbledon,38,63,258,195,75.6,10,12,16,7,18.4
Ian Walker,GK,Tottenham,25,33,119,86,72.3,6,11,9,7,28.0
