Name,Pos,Squad,Macthes Played,Goals Against, Shots on Target Against, Saves, Saves%,W,D,L,Clean Sheets, CS%
Manuel Almunia,GK,Arsenal,32,26,118,92,78.0,16,10,6,14,43.8
Asmir Begović,GK,Portsmouth,2,2,12,10,83.3,0,1,1,0,0.0
Jason Brown,GK,Blackburn,4,4,14,10,71.4,2,1,1,1,33.3
Scott Carson,GK,West Brom,35,64,211,147,69.7,7,7,21,7,20.0
Petr Čech,GK,Chelsea,35,24,138,114,82.6,23,7,5,19,54.3
Carlo Cudicini,GK,Chelsea,2,0,3,3,100.0,2,0,0,2,100.0
Carlo Cudicini,GK,Tottenham,4,5,12,7,58.3,2,1,1,1,25.0
Edwin van der Sar,GK,Manchester Utd,33,21,110,89,80.9,23,5,4,21,63.6
Matt Duke,GK,Hull City,10,13,63,50,79.4,1,5,4,3,30.0
Łukasz Fabiański,GK,Arsenal,6,10,29,19,65.5,3,2,0,0,0.0
Ben Foster,GK,Manchester Utd,2,1,7,6,85.7,2,0,0,1,50.0
Brad Friedel,GK,Aston Villa,38,48,185,137,74.1,17,11,10,13,34.2
Márton Fülöp,GK,Sunderland,26,37,102,65,63.7,6,6,14,6,23.1
Shay Given,GK,Manchester City,15,18,88,70,79.5,7,1,7,4,26.7
Shay Given,GK,Newcastle Utd,22,37,120,83,69.2,5,9,8,5,22.7
Heurelho Gomes,GK,Tottenham,34,40,191,151,79.1,12,8,14,12,35.3
Craig Gordon,GK,Sunderland,12,17,66,49,74.2,3,3,6,3,25.0
Robert Green,GK,West Ham,38,45,197,152,77.2,14,9,15,10,26.3
Brad Guzan,GK,Aston Villa,1,0,1,1,100.0,0,0,0,0,
Steve Harper,GK,Newcastle Utd,16,22,90,68,75.6,2,4,10,2,12.5
Joe Hart,GK,Manchester City,23,31,101,70,69.3,8,3,11,6,26.1
Henrique Hilário,GK,Chelsea,1,0,3,3,100.0,0,1,0,1,100.0
Tim Howard,GK,Everton,38,37,186,149,80.1,17,12,9,17,44.7
Jussi Jääskeläinen,GK,Bolton,38,53,213,160,75.1,11,8,19,7,18.4
David James,GK,Portsmouth,36,55,200,145,72.5,10,10,16,8,22.2
Brad Jones,GK,Middlesbrough,16,23,79,56,70.9,3,5,8,4,25.0
Dean Kiely,GK,West Brom,3,3,16,13,81.3,1,1,1,1,33.3
Richard Kingson,GK,Wigan Athletic,4,6,16,10,62.5,1,0,3,1,33.3
Chris Kirkland,GK,Wigan Athletic,32,37,107,70,65.4,10,8,13,11,34.4
Tomasz Kuszczak,GK,Manchester Utd,4,2,21,19,90.5,3,1,0,2,66.7
Vito Mannone,GK,Arsenal,1,1,2,1,50.0,1,0,0,0,0.0
Boaz Myhill,GK,Hull City,28,51,149,98,65.8,7,6,15,3,10.7
Mike Pollitt,GK,Wigan Athletic,3,2,11,9,81.8,1,1,1,1,33.3
Pepe Reina,GK,Liverpool,38,27,122,95,77.9,25,11,2,20,52.6
Paul Robinson,GK,Blackburn,35,56,163,107,65.6,8,10,16,9,25.7
Kasper Schmeichel,GK,Manchester City,1,1,3,2,66.7,0,1,0,0,
Mark Schwarzer,GK,Fulham,38,34,195,161,82.6,14,11,13,15,39.5
Steve Simonsen,GK,Stoke City,5,9,33,24,72.7,3,1,0,0,0.0
Thomas Sørensen,GK,Stoke City,36,46,158,112,70.9,9,8,17,12,34.3
Ross Turnbull,GK,Middlesbrough,22,34,137,103,75.2,4,6,12,3,13.6
