Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Patrick van Aanholt,DF,Crystal Palace,,5,14,,
Patrick van Aanholt,DF,Sunderland,,28,46,,
Charlie Adam,MF,Stoke City,,17,24,,
Albert Adomah,MF,Middlesbrough,,4,2,,
Ibrahim Afellay,MF,Stoke City,,2,5,,
Dan Agyei,MF,Burnley,,,,,
Ola Aina,DF,Chelsea,,0,0,,
Nathan Aké,DF,Bournemouth,,14,9,,
Nathan Aké,DF,Chelsea,,3,2,,
Marc Albrighton,MF,Leicester City,,45,38,,
Toby Alderweireld,DF,Tottenham,,35,26,,
Trent Alexander-Arnold,MF,Liverpool,,2,2,,
Joe Allen,MF,Stoke City,,52,63,,
Dele Alli,MF,Tottenham,,40,13,,
Marcos Alonso,MF,Chelsea,,38,43,,
Daniel Amartey,MF,Leicester City,,29,27,,
Jordi Amat,DF,Swansea City,,23,31,,
Nordin Amrabat,MF,Watford,,35,27,,
Victor Anichebe,MF,Sunderland,,8,9,,
Michail Antonio,MF,West Ham,,28,28,,
Ikechi Anya,MF,Watford,,0,0,,
Álvaro Arbeloa,DF,West Ham,,4,9,,
Scott Arfield,MF,Burnley,,27,34,,
Marko Arnautović,MF,Stoke City,,27,29,,
Harry Arter,MF,Bournemouth,,66,50,,
Daniel Ayala,DF,Middlesbrough,,8,27,,
André Ayew,MF,West Ham,,12,11,,
Jordan Ayew,MF,Swansea City,,12,8,,
César Azpilicueta,DF,Chelsea,,66,71,,
Eric Bailly,DF,Manchester Utd,,43,66,,
Leighton Baines,DF,Everton,,49,42,,
Patrick Bamford,MF,Burnley,,0,0,,
Phil Bardsley,DF,Stoke City,,27,30,,
Ross Barkley,MF,Everton,,26,13,,
Antonio Barragán,DF,Middlesbrough,,54,61,,
Modou Barrow,MF,Swansea City,,18,6,,
Gareth Barry,MF,Everton,,49,39,,
Joey Barton,MF,Burnley,,35,27,,
Valon Behrami,MF,Watford,,56,34,,
Héctor Bellerín,DF,Arsenal,,22,39,,
Yohan Benalouane,DF,Leicester City,,15,27,,
Jóhann Berg Guðmundsson,MF,Burnley,,17,20,,
Ryan Bertrand,DF,Southampton,,26,48,,
Mame Biram Diouf,MF,Stoke City,,26,18,,
Daley Blind,DF,Manchester Utd,,34,44,,
Yannick Bolasie,MF,Crystal Palace,,0,0,,
Yannick Bolasie,MF,Everton,,13,3,,
Fabio Borini,MF,Sunderland,,16,23,,
Sofiane Boufal,MF,Southampton,,26,7,,
Jarrod Bowen,MF,Hull City,,1,1,,
George Boyd,MF,Burnley,,68,35,,
Robbie Brady,MF,Burnley,,14,12,,
Miguel Britos,DF,Watford,,33,52,,
Leon Britton,MF,Swansea City,,15,24,,
Chris Brunt,MF,West Brom,,27,33,,
Sam Byram,DF,West Ham,,20,44,,
Yohan Cabaye,MF,Crystal Palace,,39,72,,
Martín Cáceres,DF,Southampton,,1,1,,
Gary Cahill,DF,Chelsea,,41,48,,
Dominic Calvert-Lewin,MF,Everton,,4,3,,
Geoff Cameron,MF,Stoke City,,36,34,,
Emre Can,MF,Liverpool,,54,32,,
Étienne Capoue,MF,Watford,,44,61,,
Baily Cargill,DF,Bournemouth,,1,0,,
Michael Carrick,MF,Manchester Utd,,18,44,,
Tom Carroll,MF,Tottenham,,0,0,,
Tom Carroll,MF,Swansea City,,27,18,,
Craig Cathcart,DF,Watford,,18,16,,
Lee Cattermole,MF,Sunderland,,8,22,,
Santi Cazorla,MF,Arsenal,,2,8,,
Nacer Chadli,MF,West Brom,,20,22,,
Nathaniel Chalobah,MF,Chelsea,,4,2,,
Calum Chambers,DF,Arsenal,,1,1,,
Calum Chambers,DF,Middlesbrough,,38,50,,
Ben Chilwell,DF,Leicester City,,15,27,,
Lee Chung-yong,MF,Crystal Palace,,14,4,,
Jordy Clasie,MF,Southampton,,9,15,,
Adam Clayton,MF,Middlesbrough,,54,68,,
Tom Cleverley,MF,Watford,,20,19,,
Tom Cleverley,MF,Everton,,10,11,,
Gaël Clichy,DF,Manchester City,,34,53,,
Sam Clucas,MF,Hull City,,60,52,,
Nathaniel Clyne,DF,Liverpool,,66,46,,
Séamus Coleman,DF,Everton,,45,28,,
James Collins,DF,West Ham,,18,37,,
Lewis Cook,MF,Bournemouth,,9,7,,
Steve Cook,DF,Bournemouth,,33,83,,
Francis Coquelin,MF,Arsenal,,44,52,,
Jack Cork,MF,Swansea City,,46,57,,
Philippe Coutinho,MF,Liverpool,,25,18,,
Aaron Cresswell,DF,West Ham,,16,25,,
Charlie Daniels,DF,Bournemouth,,40,51,,
Scott Dann,DF,Crystal Palace,,11,32,,
Matteo Darmian,DF,Manchester Utd,,28,38,,
Ben Davies,DF,Tottenham,,30,12,,
Curtis Davies,DF,Hull City,,25,92,,
Tom Davies,MF,Everton,,26,20,,
Steven Davis,MF,Southampton,,41,26,,
Craig Dawson,DF,West Brom,,46,61,,
Michael Dawson,DF,Hull City,,12,29,,
Kevin De Bruyne,MF,Manchester City,,35,24,,
Mathieu Debuchy,DF,Arsenal,,0,1,,
Steven Defour,MF,Burnley,,16,33,,
Damien Delaney,DF,Crystal Palace,,22,43,,
Fabian Delph,MF,Manchester City,,4,7,,
Mousa Dembélé,MF,Tottenham,,55,26,,
