Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Miles Addison,DF,Derby County,,,,,
Gabriel Agbonlahor,MF,Aston Villa,,,,,
Daniel Agger,DF,Liverpool,,,,,
Alex,DF,Chelsea,,,,,
Jérémie Aliadière,MF,Middlesbrough,,,,,
Mikel Alonso,MF,Bolton,,,,,
Xabi Alonso,MF,Liverpool,,,,,
Afonso Alves,MF,Middlesbrough,,,,,
Anderson,MF,Manchester Utd,,,,,
Russell Anderson,DF,Sunderland,,,,,
Leon Andreasen,DF,Fulham,,,,,
Álvaro Arbeloa,DF,Liverpool,,,,,
Julio Arca,DF,Middlesbrough,,,,,
John Arne Riise,DF,Liverpool,,,,,
Mikel Arteta,MF,Everton,,,,,
Nathan Ashton,DF,Fulham,,,,,
Benoît Assou-Ekotto,DF,Tottenham,,,,,
Lucien Aubey,DF,Portsmouth,,,,,
Fábio Aurélio,DF,Liverpool,,,,,
Ryan Babel,MF,Liverpool,,,,,
Leighton Baines,DF,Everton,,,,,
Chris Baird,DF,Fulham,,,,,
Gareth Bale,MF,Tottenham,,,,,
Michael Ball,DF,Manchester City,,,,,
Michael Ballack,MF,Chelsea,,,,,
Phil Bardsley,DF,Sunderland,,,,,
Giles Barnes,MF,Derby County,,,,,
Gareth Barry,MF,Aston Villa,,,,,
Joey Barton,MF,Newcastle Utd,,,,,
Juliano Belletti,DF,Chelsea,,,,,
Emre Belözoğlu,MF,Newcastle Utd,,,,,
Tal Ben Haim,DF,Chelsea,,,,,
Yossi Benayoun,MF,Liverpool,,,,,
David Bentley,MF,Blackburn,,,,,
Patrik Berger,MF,Aston Villa,,,,,
Bruno Berner,DF,Blackburn,,,,,
Habib Beye,DF,Newcastle Utd,,,,,
André Bikey,DF,Reading,,,,,
Luís Boa Morte,MF,West Ham,,,,,
George Boateng,MF,Middlesbrough,,,,,
Kevin-Prince Boateng,MF,Tottenham,,,,,
Carlos Bocanegra,DF,Fulham,,,,,
Hameur Bouazza,MF,Fulham,,,,,
Papa Bouba Diop,DF,Portsmouth,,,,,
Papa Bouba Diop,DF,Fulham,,,,,
Wilfred Bouma,DF,Aston Villa,,,,,
Lee Bowyer,MF,West Ham,,,,,
Emmerson Boyce,DF,Wigan Athletic,,,,,
Daniel Braaten,MF,Bolton,,,,,
Titus Bramble,DF,Wigan Athletic,,,,,
Wayne Bridge,DF,Chelsea,,,,,
Michael Brown,MF,Wigan Athletic,,,,,
Wes Brown,DF,Manchester Utd,,,,,
Jimmy Bullard,MF,Fulham,,,,,
Nicky Butt,DF,Newcastle Utd,,,,,
Caçapa,DF,Newcastle Utd,,,,,
Gary Cahill,DF,Bolton,,,,,
Gary Cahill,DF,Aston Villa,,,,,
Tim Cahill,MF,Everton,,,,,
Felipe Caicedo,MF,Manchester City,,,,,
Mo Camara,DF,Derby County,,,,,
Sol Campbell,DF,Portsmouth,,,,,
Iván Campo,DF,Bolton,,,,,
Stephen Carr,DF,Newcastle Utd,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,Manchester Utd,,,,,
Lee Carsley,MF,Everton,,,,,
Ricardo Carvalho,DF,Chelsea,,,,,
Nery Castillo,DF,Manchester City,,,,,
Lee Cattermole,MF,Middlesbrough,,,,,
Pascal Chimbonda,DF,Tottenham,,,,,
Philippe Christanval,DF,Fulham,,,,,
Gérald Cid,DF,Bolton,,,,,
Kalifa Cissé,DF,Reading,,,,,
Gaël Clichy,DF,Arsenal,,,,,
Tamir Cohen,MF,Bolton,,,,,
Ashley Cole,DF,Chelsea,,,,,
Joe Cole,MF,Chelsea,,,,,
Danny Collins,DF,Sunderland,,,,,
James Collins,DF,West Ham,,,,,
Jack Collison,MF,West Ham,,,,,
Bobby Convey,MF,Reading,,,,,
Vedran Ćorluka,DF,Manchester City,,,,,
David Cotterill,MF,Wigan Athletic,,,,,
Martin Cranie,DF,Portsmouth,,,,,
Neil Danns,MF,Birmingham City,,,,,
Andrew Davies,DF,Middlesbrough,,,,,
Curtis Davies,DF,Aston Villa,,,,,
Simon Davies,MF,Fulham,,,,,
Claude Davis,DF,Derby County,,,,,
Sean Davis,MF,Portsmouth,,,,,
Steven Davis,MF,Fulham,,,,,
Michael Dawson,DF,Tottenham,,,,,
Clint Dempsey,MF,Fulham,,,,,
Denílson,MF,Arsenal,,,,,
Abou Diaby,MF,Arsenal,,,,,
Lassana Diarra,MF,Arsenal,,,,,
Lassana Diarra,MF,Portsmouth,,,,,
Lamine Diatta,DF,Newcastle Utd,,,,,
Sylvain Distin,DF,Portsmouth,,,,,
Johan Djourou,DF,Arsenal,,,,,
Johan Djourou,DF,Birmingham City,,,,,
Stewart Downing,MF,Middlesbrough,,,,,
Michael Duberry,DF,Reading,,,,,
Damien Duff,MF,Newcastle Utd,,,,,
David Dunn,MF,Blackburn,,,,,
Richard Dunne,DF,Manchester City,,,,,
Kieron Dyer,MF,West Ham,,,,,
Chris Eagles,MF,Manchester Utd,,,,,
Emmanuel Eboué,DF,Arsenal,,,,,
David Edgar,DF,Newcastle Utd,,,,,
Erik Edman,DF,Wigan Athletic,,,,,
Carlos Edwards,DF,Sunderland,,,,,
Marc Edworthy,DF,Derby County,,,,,
Elano,MF,Manchester City,,,,,
Brett Emerton,DF,Blackburn,,,,,
José Enrique,DF,Newcastle Utd,,,,,
Michael Essien,DF,Chelsea,,,,,
Matthew Etherington,MF,West Ham,,,,,
Dickson Etuhu,MF,Sunderland,,,,,
Kelvin Etuhu,MF,Manchester City,,,,,
Jonny Evans,DF,Sunderland,,,,,
Patrice Evra,DF,Manchester Utd,,,,,
Cesc Fàbregas,MF,Arsenal,,,,,
Emerse Faé,MF,Reading,,,,,
Craig Fagan,MF,Derby County,,,,,
Julien Faubert,DF,West Ham,,,,,
Abdoulaye Faye,DF,Bolton,,,,,
Abdoulaye Faye,DF,Newcastle Utd,,,,,
Benny Feilhaber,MF,Derby County,,,,,
Anton Ferdinand,DF,West Ham,,,,,
Rio Ferdinand,DF,Manchester Utd,,,,,
Gelson Fernandes,MF,Manchester City,,,,,
Manuel Fernandes,MF,Everton,,,,,
Paulo Ferreira,DF,Chelsea,,,,,
Maynor Figueroa,DF,Wigan Athletic,,,,,
Steve Finnan,DF,Liverpool,,,,,
Mathieu Flamini,MF,Arsenal,,,,,
Darren Fletcher,MF,Manchester Utd,,,,,
Danny Gabbidon,DF,West Ham,,,,,
William Gallas,DF,Arsenal,,,,,
Morten Gamst Pedersen,MF,Blackburn,,,,,
Anthony Gardner,DF,Tottenham,,,,,
Craig Gardner,MF,Aston Villa,,,,,
Ricardo Gardner,DF,Bolton,,,,,
Javier Garrido,DF,Manchester City,,,,,
Geovanni,MF,Manchester City,,,,,
Geremi,DF,Newcastle Utd,,,,,
Steven Gerrard,MF,Liverpool,,,,,
Hossam Ghaly,MF,Derby County,,,,,
Stelios Giannakopoulos,MF,Bolton,,,,,
Ryan Giggs,MF,Manchester Utd,,,,,
Gilberto,DF,Tottenham,,,,,
Scott Golbourne,DF,Reading,,,,,
Andreas Granqvist,DF,Wigan Athletic,,,,,
Thomas Gravesen,MF,Everton,,,,,
Andy Griffin,DF,Derby County,,,,,
Jonathan Grounds,DF,Middlesbrough,,,,,
Brynjar Gunnarsson,MF,Reading,,,,,
Chris Gunter,DF,Tottenham,,,,,
Danny Guthrie,MF,Bolton,,,,,
El Hadji Diouf,MF,Bolton,,,,,
Erik Hagen,DF,Wigan Athletic,,,,,
Greg Halford,DF,Sunderland,,,,,
Fitz Hall,DF,Wigan Athletic,,,,,
John Halls,DF,Reading,,,,,
Dietmar Hamann,MF,Manchester City,,,,,
Brede Hangeland,DF,Fulham,,,,,
Owen Hargreaves,MF,Manchester Utd,,,,,
James Harper,MF,Reading,,,,,
Ian Harte,DF,Sunderland,,,,,
Tony Hibbert,DF,Everton,,,,,
Danny Higginbotham,DF,Sunderland,,,,,
Seb Hines,DF,Middlesbrough,,,,,
Alexander Hleb,MF,Arsenal,,,,,
Jack Hobbs,DF,Liverpool,,,,,
Justin Hoyte,DF,Arsenal,,,,,
Hermann Hreiðarsson,DF,Portsmouth,,,,,
Tom Huddlestone,MF,Tottenham,,,,,
Aaron Hughes,DF,Fulham,,,,,
Richard Hughes,MF,Portsmouth,,,,,
Nicky Hunt,DF,Bolton,,,,,
Stephen Hunt,MF,Reading,,,,,
Robert Huth,DF,Middlesbrough,,,,,
Alan Hutton,DF,Tottenham,,,,,
Sami Hyypiä,DF,Liverpool,,,,,
Ívar Ingimarsson,DF,Reading,,,,,
Emiliano Insúa,DF,Liverpool,,,,,
Stephen Ireland,MF,Manchester City,,,,,
Phil Jagielka,DF,Everton,,,,,
Radhi Jaïdi,DF,Birmingham City,,,,,
Jermaine Jenas,MF,Tottenham,,,,,
Park Ji-sung,MF,Manchester Utd,,,,,
Sun Jihai,DF,Manchester City,,,,,
Adam Johnson,MF,Middlesbrough,,,,,
Damien Johnson,MF,Birmingham City,,,,,
Glen Johnson,DF,Portsmouth,,,,,
Glen Johnson,DF,Chelsea,,,,,
Michael Johnson,DF,Derby County,,,,,
Michael Johnson,MF,Manchester City,,,,,
David Jones,MF,Derby County,,,,,
Younès Kaboul,DF,Tottenham,,,,,
Salomon Kalou,MF,Chelsea,,,,,
Olivier Kapo,MF,Birmingham City,,,,,
Jimmy Kébé,MF,Reading,,,,,
Stephen Kelly,DF,Birmingham City,,,,,
Tugay Kerimoğlu,MF,Blackburn,,,,,
Harry Kewell,MF,Liverpool,,,,,
Zurab Khizanishvili,DF,Blackburn,,,,,
Seol Ki-hyeon,MF,Reading,,,,,
Seol Ki-hyeon,MF,Fulham,,,,,
Kevin Kilbane,DF,Wigan Athletic,,,,,
Ledley King,DF,Tottenham,,,,,
Zat Knight,DF,Aston Villa,,,,,
Zat Knight,DF,Fulham,,,,,
Paul Konchesky,DF,Fulham,,,,,
Jason Koumas,MF,Wigan Athletic,,,,,
Niko Kranjčar,MF,Portsmouth,,,,,
Dirk Kuyt,DF,Liverpool,,,,,
Ulises de la Cruz,DF,Reading,,,,,
Frank Lampard,MF,Chelsea,,,,,
Denny Landzaat,MF,Wigan Athletic,,,,,
Sebastian Larsson,MF,Birmingham City,,,,,
Lauren,DF,Portsmouth,,,,,
Martin Laursen,DF,Aston Villa,,,,,
Dean Leacock,DF,Derby County,,,,,
Grant Leadbitter,MF,Sunderland,,,,,
Lucas Leiva,MF,Liverpool,,,,,
Aaron Lennon,MF,Tottenham,,,,,
Joleon Lescott,DF,Everton,,,,,
Eddie Lewis,MF,Derby County,,,,,
Glen Little,MF,Reading,,,,,
Freddie Ljungberg,MF,West Ham,,,,,
Kazenga LuaLua,MF,Newcastle Utd,,,,,
Claude Makélélé,MF,Chelsea,,,,,
Steed Malbranque,MF,Tottenham,,,,,
