Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Didier Agathe,DF,Aston Villa,,,,,
Gabriel Agbonlahor,MF,Aston Villa,,,,,
Daniel Agger,DF,Liverpool,,,,,
Jérémie Aliadière,MF,Arsenal,,,,,
Xabi Alonso,MF,Liverpool,,,,,
Darren Ambrose,MF,Charlton Ath,,,,,
Álvaro Arbeloa,DF,Liverpool,,,,,
Julio Arca,DF,Middlesbrough,,,,,
Chris Armstrong,DF,Sheffield Utd,,,,,
John Arne Riise,DF,Liverpool,,,,,
Mikel Arteta,MF,Everton,,,,,
Benoît Assou-Ekotto,DF,Tottenham,,,,,
Fábio Aurélio,DF,Liverpool,,,,,
Cédric Avinel,DF,Watford,,,,,
Celestine Babayaro,DF,Newcastle Utd,,,,,
Leighton Baines,DF,Wigan Athletic,,,,,
Michael Ball,DF,Manchester City,,,,,
Michael Ballack,MF,Chelsea,,,,,
Al Bangura,MF,Watford,,,,,
Júlio Baptista,MF,Arsenal,,,,,
Phil Bardsley,DF,Aston Villa,,,,,
Gareth Barry,MF,Aston Villa,,,,,
Joey Barton,MF,Manchester City,,,,,
Matthew Bates,DF,Middlesbrough,,,,,
DaMarcus Beasley,DF,Manchester City,,,,,
Emre Belözoğlu,MF,Newcastle Utd,,,,,
Tal Ben Haim,DF,Bolton,,,,,
Yossi Benayoun,MF,West Ham,,,,,
David Bentley,MF,Blackburn,,,,,
Patrik Berger,MF,Aston Villa,,,,,
Bruno Berner,DF,Blackburn,,,,,
André Bikey,DF,Reading,,,,,
Luís Boa Morte,MF,West Ham,,,,,
Luís Boa Morte,MF,Fulham,,,,,
George Boateng,MF,Middlesbrough,,,,,
Carlos Bocanegra,DF,Fulham,,,,,
Hameur Bouazza,MF,Watford,,,,,
Papa Bouba Diop,DF,Fulham,,,,,
Madjid Bougherra,DF,Charlton Ath,,,,,
Khalid Boulahrouz,DF,Chelsea,,,,,
Wilfred Bouma,DF,Aston Villa,,,,,
Lee Bowyer,MF,West Ham,,,,,
Emmerson Boyce,DF,Wigan Athletic,,,,,
Titus Bramble,DF,Newcastle Utd,,,,,
Wayne Bridge,DF,Chelsea,,,,,
Matthew Briggs,DF,Fulham,,,,,
Leigh Bromby,DF,Sheffield Utd,,,,,
Michael Brown,MF,Fulham,,,,,
Wes Brown,DF,Manchester Utd,,,,,
Jimmy Bullard,MF,Fulham,,,,,
Nicky Butt,DF,Newcastle Utd,,,,,
Gary Cahill,DF,Aston Villa,,,,,
Tim Cahill,MF,Everton,,,,,
Sol Campbell,DF,Portsmouth,,,,,
Iván Campo,DF,Bolton,,,,,
Clarke Carlisle,DF,Watford,,,,,
Stephen Carr,DF,Newcastle Utd,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,Manchester Utd,,,,,
Lee Carsley,MF,Everton,,,,,
Ricardo Carvalho,DF,Chelsea,,,,,
Lee Cattermole,MF,Middlesbrough,,,,,
Johan Cavalli,MF,Watford,,,,,
James Chambers,DF,Watford,,,,,
Pascal Chimbonda,DF,Tottenham,,,,,
Pascal Chimbonda,DF,Wigan Athletic,,,,,
Philippe Christanval,DF,Fulham,,,,,
Gaël Clichy,DF,Arsenal,,,,,
Ashley Cole,DF,Chelsea,,,,,
Joe Cole,MF,Chelsea,,,,,
James Collins,DF,West Ham,,,,,
Bobby Convey,MF,Reading,,,,,
David Cotterill,MF,Wigan Athletic,,,,,
