Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Patrick van Aanholt,DF,Crystal Palace,47,32,47,64,2
Rolando Aarons,MF,Newcastle Utd,4,4,1,0,0
Charlie Adam,MF,Stoke City,9,5,9,11,2
Ibrahim Afellay,MF,Stoke City,3,3,1,1,0
Nathan Aké,DF,Bournemouth,53,32,48,246,2
Marc Albrighton,MF,Leicester City,52,33,27,34,0
Toby Alderweireld,DF,Tottenham,19,13,4,55,0
Trent Alexander-Arnold,DF,Liverpool,37,25,28,46,1
Joe Allen,MF,Stoke City,96,62,58,68,1
Dele Alli,MF,Tottenham,46,30,19,22,1
Marcos Alonso,DF,Chelsea,51,33,47,76,1
Daniel Amartey,DF,Leicester City,8,4,7,21,1
Ethan Ampadu,DF,Chelsea,1,1,0,2,0
Michail Antonio,MF,West Ham,15,9,13,16,0
Scott Arfield,MF,Burnley,36,26,11,24,0
Marko Arnautović,MF,West Ham,21,16,13,35,0
Harry Arter,MF,Bournemouth,19,16,9,6,0
Christian Atsu,MF,Newcastle Utd,17,16,13,27,1
Serge Aurier,DF,Tottenham,48,27,31,54,1
André Ayew,MF,West Ham,19,14,4,3,0
André Ayew,MF,Swansea City,15,10,5,8,0
Jordan Ayew,MF,Swansea City,82,60,24,20,1
César Azpilicueta,DF,Chelsea,80,59,54,135,1
Eric Bailly,DF,Manchester Utd,17,10,25,58,1
Leighton Baines,DF,Everton,25,13,25,56,0
Tiemoué Bakayoko,MF,Chelsea,64,41,37,38,4
Beni Baningime,MF,Everton,6,2,2,2,0
Phil Bardsley,DF,Burnley,17,16,22,77,0
Ross Barkley,MF,Chelsea,0,0,0,2,0
Harvey Barnes,MF,Leicester City,0,0,0,0,0
Gareth Barry,MF,West Brom,35,19,14,34,0
Kyle Bartley,DF,Swansea City,3,2,4,21,0
Moritz Bauer,DF,Stoke City,24,17,12,48,0
Jan Bednarek,DF,Southampton,6,3,5,27,0
Héctor Bellerín,DF,Arsenal,57,43,23,89,4
