Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Brenden Aaronson,MF,Leeds United,45,18,5,6,1
George Abbott,MF,Tottenham,0,0,1,0,0
Tyler Adams,MF,Leeds United,89,46,35,29,0
Tosin Adarabioyo,DF,Fulham,30,13,26,140,1
Nayef Aguerd,DF,West Ham,27,18,18,79,2
Naouirou Ahamada,MF,Crystal Palace,3,2,0,0,0
Rayan Aït-Nouri,DF,Wolves,33,20,9,28,0
Kristoffer Ajer,DF,Brentford,11,8,7,22,0
Manuel Akanji,DF,Manchester City,36,25,16,33,1
Nathan Aké,DF,Manchester City,26,12,20,48,0
Marc Albrighton,MF,Leicester City,4,1,1,5,0
Thiago Alcántara,MF,Liverpool,43,24,21,13,2
Carlos Alcaraz,MF,Southampton,10,5,1,11,0
Trent Alexander-Arnold,DF,Liverpool,57,40,43,41,2
Dele Alli,MF,Everton,0,0,0,0,0
Julián Álvarez,MF,Manchester City,26,16,2,6,0
Daniel Amartey,DF,Leicester City,19,8,8,71,0
Samuel Amo-Ameyaw,MF,Southampton,0,0,0,0,0
Joachim Andersen,DF,Crystal Palace,42,22,24,188,1
Elliot Anderson,MF,Newcastle Utd,11,5,6,2,0
Jaidon Anthony,MF,Bournemouth,30,17,10,19,0
Cameron Archer,MF,Aston Villa,0,0,0,0,0
Joe Aribo,MF,Southampton,31,20,10,11,0
Adam Armstrong,MF,Southampton,14,9,5,6,0
Stuart Armstrong,MF,Southampton,32,21,10,9,2
Ludwig Augustinsson,DF,Aston Villa,1,1,0,1,0
Serge Aurier,DF,Nott'ham Forest,64,41,29,75,0
Yasin Ayari,MF,Brighton,2,2,0,0,0
André Ayew,MF,Nott'ham Forest,5,3,0,7,0
Jordan Ayew,MF,Crystal Palace,66,41,15,31,0
Luke Ayling,DF,Leeds United,66,37,26,52,2
César Azpilicueta,DF,Chelsea,43,25,19,54,1
Benoît Badiashile,DF,Chelsea,14,8,16,34,1
Leon Bailey,MF,Aston Villa,14,6,6,12,0
Stefan Bajcetic,MF,Liverpool,9,6,9,4,0
Dominic Ballard,MF,Southampton,0,0,1,0,0
Shandon Baptiste,MF,Brentford,15,9,7,10,0
Harvey Barnes,MF,Leicester City,26,14,8,12,0
Mads Bech Sørensen,DF,Brentford,0,0,1,1,0
Jan Bednarek,DF,Southampton,27,21,49,87,0
Jan Bednarek,DF,Aston Villa,3,3,2,5,0
Donny van de Beek,MF,Manchester Utd,0,0,1,1,0
Armel Bella Kotchap,DF,Southampton,37,17,44,110,0
Saïd Benrahma,MF,West Ham,25,15,9,13,0
Rodrigo Bentancur,MF,Tottenham,45,28,20,22,0
Victor Bernth Kristiansen,DF,Leicester City,38,23,3,26,1
Owen Bevan,DF,Bournemouth,0,0,0,0,0
Giulian Biancone,DF,Nott'ham Forest,2,1,1,0,0
Philip Billing,MF,Bournemouth,63,36,31,58,1
Yves Bissouma,MF,Tottenham,16,13,12,10,0
Willy Boly,DF,Nott'ham Forest,13,6,12,45,0
Sven Botman,DF,Newcastle Utd,38,24,34,126,2
Jarrod Bowen,MF,West Ham,39,16,36,25,0
James Bree,DF,Southampton,5,3,6,11,0
David Brooks,MF,Bournemouth,1,0,2,5,0
Lewis Brunt,DF,Leicester City,0,0,0,2,0
Emi Buendía,MF,Aston Villa,52,23,20,17,0
Hugo Bueno,DF,Wolves,33,16,10,36,0
Facundo Buonanotte,MF,Brighton,2,1,4,3,0
Dan Burn,DF,Newcastle Utd,60,38,32,120,2
Cafú,MF,Nott'ham Forest,0,0,0,1,0
Moisés Caicedo,MF,Brighton,100,50,56,31,3
Tom Cairney,MF,Fulham,17,6,5,3,0
Duje Ćaleta-Car,DF,Southampton,14,10,15,65,1
Chem Campbell,MF,Wolves,2,1,1,0,0
João Cancelo,DF,Manchester City,29,21,19,9,1
Sergi Canós,DF,Brentford,0,0,0,1,0
Diego Carlos,DF,Aston Villa,1,0,1,2,0
Fabio Carvalho,MF,Liverpool,8,8,6,0,0
Casemiro,MF,Manchester Utd,88,46,34,64,0
Matty Cash,DF,Aston Villa,55,32,26,43,0
Timothy Castagne,DF,Leicester City,87,44,43,110,0
Jonny Castro,DF,Wolves,33,15,14,28,2
