Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Martin Albrechtsen,DF,West Brom,,,,,
Jérémie Aliadière,MF,Arsenal,,,,,
Xabi Alonso,MF,Liverpool,,,,,
Darren Ambrose,MF,Newcastle Utd,,,,,
Lorenzo Amoruso,DF,Blackburn,,,,,
Darren Anderton,MF,Birmingham City,,,,,
José Antonio Reyes,MF,Arsenal,,,,,
John Arne Riise,DF,Liverpool,,,,,
Mikel Arteta,MF,Everton,,,,,
Timothée Atouba,DF,Tottenham,,,,,
Celestine Babayaro,DF,Newcastle Utd,,,,,
Celestine Babayaro,DF,Chelsea,,,,,
Anthony Barness,DF,Bolton,,,,,
Gareth Barry,MF,Aston Villa,,,,,
Joey Barton,MF,Manchester City,,,,,
Matthew Bates,DF,Middlesbrough,,,,,
Tal Ben Haim,DF,Bolton,,,,,
David Bentley,MF,Norwich City,,,,,
Patrik Berger,MF,Portsmouth,,,,,
Eyal Berkovic,MF,Portsmouth,,,,,
Olivier Bernard,DF,Southampton,,,,,
Olivier Bernard,DF,Newcastle Utd,,,,,
Mathieu Berson,MF,Aston Villa,,,,,
Igor Bišćan,DF,Liverpool,,,,,
Robbie Blake,MF,Birmingham City,,,,,
Luís Boa Morte,MF,Fulham,,,,,
George Boateng,MF,Middlesbrough,,,,,
Carlos Bocanegra,DF,Fulham,,,,,
Gary Borrowdale,DF,Crystal Palace,,,,,
Paul Bosvelt,DF,Manchester City,,,,,
Papa Bouba Diop,DF,Fulham,,,,,
Jean-Alain Boumsong,DF,Newcastle Utd,,,,,
Lee Bowyer,MF,Newcastle Utd,,,,,
Emmerson Boyce,DF,Crystal Palace,,,,,
Titus Bramble,DF,Newcastle Utd,,,,,
Jim Brennan,DF,Norwich City,,,,,
Wayne Bridge,DF,Chelsea,,,,,
Michael Brown,MF,Tottenham,,,,,
Wes Brown,DF,Manchester Utd,,,,,
Goran Bunjevčević,DF,Tottenham,,,,,
Nicky Butt,DF,Newcastle Utd,,,,,
Danny Butterfield,DF,Crystal Palace,,,,,
Tim Cahill,MF,Everton,,,,,
Sol Campbell,DF,Arsenal,,,,,
Iván Campo,DF,Bolton,,,,,
Vincent Candela,DF,Bolton,,,,,
Stephen Carr,DF,Newcastle Utd,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,Tottenham,,,,,
Lee Carsley,MF,Everton,,,,,
Darren Carter,DF,Birmingham City,,,,,
Ricardo Carvalho,DF,Chelsea,,,,,
Júlio César,DF,Bolton,,,,,
Richard Chaplow,MF,West Brom,,,,,
Simon Charlton,DF,Norwich City,,,,,
Aliou Cissé,DF,Portsmouth,,,,,
Jamie Clapham,DF,Birmingham City,,,,,
Lee Clark,MF,Fulham,,,,,
Stephen Clemence,MF,Birmingham City,,,,,
