Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Max Aarons,DF,Bournemouth,29,19,8,27,0
Joshua Acheampong,DF,Chelsea,0,0,0,0,0
Bénie Adama Traore,MF,Sheffield Utd,4,2,1,1,0
Tyler Adams,MF,Bournemouth,4,3,4,2,0
Tosin Adarabioyo,DF,Fulham,21,11,25,80,0
Nayef Aguerd,DF,West Ham,26,14,17,85,2
Naouirou Ahamada,MF,Crystal Palace,13,9,2,4,0
Anel Ahmedhodžić,DF,Sheffield Utd,64,36,35,137,2
Ola Aina,DF,Nott'ham Forest,47,31,18,51,1
Rayan Aït-Nouri,DF,Wolves,71,44,15,38,0
Kristoffer Ajer,DF,Brentford,38,21,25,79,1
Manuel Akanji,DF,Manchester City,42,28,23,70,3
Nathan Aké,DF,Manchester City,26,16,14,54,0
Thiago Alcántara,MF,Liverpool,0,0,0,0,0
Trent Alexander-Arnold,DF,Liverpool,39,26,31,48,5
Edson Álvarez,MF,West Ham,80,39,42,81,0
Julián Álvarez,MF,Manchester City,24,13,2,14,1
Sofyan Amrabat,MF,Manchester Utd,27,16,8,19,2
Joachim Andersen,DF,Crystal Palace,56,35,41,207,1
Elliot Anderson,MF,Newcastle Utd,24,18,8,23,0
Oliver Arblaster,MF,Sheffield Utd,23,14,15,9,0
Cameron Archer,MF,Sheffield Utd,18,13,1,11,0
Cameron Archer,MF,Aston Villa,0,0,0,0,0
Lorenz Assignon,DF,Burnley,35,17,19,43,1
Serge Aurier,DF,Nott'ham Forest,20,14,9,36,1
Jordan Ayew,MF,Crystal Palace,65,36,16,15,0
Benoît Badiashile,DF,Chelsea,21,15,18,66,2
Leon Bailey,MF,Aston Villa,13,7,9,6,0
Stefan Bajcetic,MF,Liverpool,4,1,0,0,0
George Baldock,DF,Sheffield Utd,18,10,10,33,0
Carlos Baleba,MF,Brighton,40,20,18,30,3
Fodé Ballo-Touré,DF,Fulham,4,2,3,2,0
Shandon Baptiste,MF,Brentford,4,4,3,6,0
Valentín Barco,DF,Brighton,11,5,4,3,1
