Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Patrick van Aanholt,DF,Sunderland,,,,,
Rolando Aarons,MF,Newcastle Utd,,,,,
Mehdi Abeid,MF,Newcastle Utd,,,,,
Charlie Adam,MF,Stoke City,,,,,
Gabriel Agbonlahor,MF,Aston Villa,,,,,
Nathan Aké,DF,Chelsea,,,,,
Chuba Akpom,MF,Arsenal,,,,,
Marc Albrighton,DF,Leicester City,,,,,
Antolín Alcaraz,DF,Everton,,,,,
Toby Alderweireld,DF,Southampton,,,,,
Joe Allen,MF,Liverpool,,,,,
Sone Aluko,MF,Hull City,,,,,
Ricky Álvarez,MF,Sunderland,,,,,
Morgan Amalfitano,MF,West Ham,,,,,
Jordi Amat,DF,Swansea City,,,,,
Sammy Ameobi,MF,Newcastle Utd,,,,,
Anderson,MF,Manchester Utd,,,,,
Vurnon Anita,DF,Newcastle Utd,,,,,
Scott Arfield,MF,Burnley,,,,,
Adam Armstrong,MF,Newcastle Utd,,,,,
Marko Arnautović,MF,Stoke City,,,,,
Mikel Arteta,MF,Arsenal,,,,,
Oussama Assaidi,MF,Stoke City,,,,,
Christian Atsu,MF,Everton,,,,,
César Azpilicueta,DF,Chelsea,,,,,
Leandro Bacuna,DF,Aston Villa,,,,,
Leighton Baines,DF,Everton,,,,,
Chris Baird,DF,West Brom,,,,,
Nathan Baker,DF,Aston Villa,,,,,
Barry Bannan,MF,Crystal Palace,,,,,
Phil Bardsley,DF,Stoke City,,,,,
Ross Barkley,MF,Everton,,,,,
Ashley Barnes,MF,Burnley,,,,,
Modou Barrow,MF,Swansea City,,,,,
Gareth Barry,MF,Everton,,,,,
Kyle Bartley,DF,Swansea City,,,,,
Joey Barton,MF,QPR,,,,,
Héctor Bellerín,DF,Arsenal,,,,,
Hatem Ben Arfa,MF,Hull City,,,,,
Nabil Bentaleb,MF,Tottenham,,,,,
Saido Berahino,MF,West Brom,,,,,
Ryan Bertrand,DF,Southampton,,,,,
Muhamed Bešić,DF,Everton,,,,,
Mame Biram Diouf,MF,Stoke City,,,,,
Tyler Blackett,DF,Manchester Utd,,,,,
Sebastián Blanco,MF,West Brom,,,,,
Daley Blind,DF,Manchester Utd,,,,,
Yannick Bolasie,MF,Crystal Palace,,,,,
Fabio Borini,MF,Liverpool,,,,,
Dedryck Boyata,DF,Manchester City,,,,,
George Boyd,MF,Burnley,,,,,
George Boyd,MF,Hull City,,,,,
Robbie Brady,DF,Hull City,,,,,
Liam Bridcutt,DF,Sunderland,,,,,
Leon Britton,MF,Swansea City,,,,,
Izzy Brown,MF,Chelsea,,,,,
Wes Brown,DF,Sunderland,,,,,
Tyias Browning,DF,Everton,,,,,
Alex Bruce,DF,Hull City,,,,,
Chris Brunt,DF,West Brom,,,,,
Will Buckley,MF,Sunderland,,,,,
Reece Burke,DF,West Ham,,,,,
Rémy Cabella,MF,Newcastle Utd,,,,,
Gary Cahill,DF,Chelsea,,,,,
Esteban Cambiasso,MF,Leicester City,,,,,
Geoff Cameron,DF,Stoke City,,,,,
Joel Campbell,MF,Arsenal,,,,,
Emre Can,DF,Liverpool,,,,,
Étienne Capoue,MF,Tottenham,,,,,
Michael Carrick,MF,Manchester Utd,,,,,
Tom Carroll,MF,Swansea City,,,,,
Lee Cattermole,MF,Sunderland,,,,,
Steven Caulker,DF,QPR,,,,,
Santi Cazorla,MF,Arsenal,,,,,
Nacer Chadli,MF,Tottenham,,,,,
Nathaniel Chalobah,DF,Burnley,,,,,
Calum Chambers,DF,Arsenal,,,,,
James Chester,DF,Hull City,,,,,
Vlad Chiricheș,DF,Tottenham,,,,,
Andreas Christensen,DF,Chelsea,,,,,
Lee Chung-yong,MF,Crystal Palace,,,,,
Aly Cissokho,DF,Aston Villa,,,,,
Ciaran Clark,DF,Aston Villa,,,,,
Tom Cleverley,MF,Manchester Utd,,,,,
Tom Cleverley,MF,Aston Villa,,,,,
Gaël Clichy,DF,Manchester City,,,,,
Nathaniel Clyne,DF,Southampton,,,,,
Sebastián Coates,DF,Sunderland,,,,,
Jack Colback,DF,Newcastle Utd,,,,,
Joe Cole,MF,Aston Villa,,,,,
Séamus Coleman,DF,Everton,,,,,
James Collins,DF,West Ham,,,,,
Fabricio Coloccini,DF,Newcastle Utd,,,,,
Brandon Comley,MF,QPR,,,,,
Francis Coquelin,DF,Arsenal,,,,,
Jack Cork,DF,Southampton,,,,,
Jack Cork,DF,Swansea City,,,,,
Philippe Coutinho,MF,Liverpool,,,,,
Aaron Cresswell,DF,West Ham,,,,,
Juan Cuadrado,DF,Chelsea,,,,,
Scott Dann,DF,Crystal Palace,,,,,
Jason Davidson,DF,West Brom,,,,,
Ben Davies,DF,Tottenham,,,,,
Curtis Davies,DF,Hull City,,,,,
Steven Davis,MF,Southampton,,,,,
Craig Dawson,DF,West Brom,,,,,
Michael Dawson,DF,Hull City,,,,,
Ritchie De Laet,DF,Leicester City,,,,,
Mathieu Debuchy,DF,Arsenal,,,,,
Damien Delaney,DF,Crystal Palace,,,,,
Fabian Delph,DF,Aston Villa,,,,,
Mousa Dembélé,MF,Tottenham,,,,,
Guy Demel,DF,West Ham,,,,,
Martín Demichelis,DF,Manchester City,,,,,
Ángel Di María,MF,Manchester Utd,,,,,
Mohamed Diamé,MF,West Ham,,,,,
Mohamed Diamé,MF,Hull City,,,,,
Eric Dier,DF,Tottenham,,,,,
Sylvain Distin,DF,Everton,,,,,
Graham Dorrans,MF,West Brom,,,,,
Michael Doughty,MF,QPR,,,,,
Stewart Downing,MF,West Ham,,,,,
Danny Drinkwater,MF,Leicester City,,,,,
Michael Duff,DF,Burnley,,,,,
Paul Dummett,DF,Newcastle Utd,,,,,
Richard Dunne,DF,QPR,,,,,
Nathan Dyer,MF,Swansea City,,,,,
Eljero Elia,MF,Southampton,,,,,
Ahmed Elmohamady,DF,Hull City,,,,,
Marvin Emnes,MF,Swansea City,,,,,
José Enrique,DF,Liverpool,,,,,
Christian Eriksen,MF,Tottenham,,,,,
Jonny Evans,DF,Manchester Utd,,,,,
Cesc Fàbregas,MF,Chelsea,,,,,
Alejandro Faurlín,MF,QPR,,,,,
Federico Fazio,DF,Tottenham,,,,,
Marouane Fellaini,MF,Manchester Utd,,,,,
Leroy Fer,MF,QPR,,,,,
Rio Ferdinand,DF,QPR,,,,,
Federico Fernández,DF,Swansea City,,,,,
Fernandinho,DF,Manchester City,,,,,
Fernando,DF,Manchester City,,,,,
Maynor Figueroa,DF,Hull City,,,,,
Mathieu Flamini,MF,Arsenal,,,,,
Darren Fletcher,MF,Manchester Utd,,,,,
Darren Fletcher,MF,West Brom,,,,,
José Fonte,DF,Southampton,,,,,
Zeki Fryers,DF,Crystal Palace,,,,,
Jay Fulton,MF,Swansea City,,,,,
Darnell Furlong,DF,QPR,,,,,
Brendan Galloway,DF,Everton,,,,,
Cristian Gamboa,DF,West Brom,,,,,
Dominic Gape,MF,Southampton,,,,,
Luke Garbutt,DF,Everton,,,,,
Craig Gardner,MF,West Brom,,,,,
Florin Gardoș,DF,Southampton,,,,,
Steven Gerrard,MF,Liverpool,,,,,
Emanuele Giaccherini,MF,Sunderland,,,,,
Kieran Gibbs,DF,Arsenal,,,,,
Darron Gibson,MF,Everton,,,,,
Carles Gil,MF,Aston Villa,,,,,
Jordi Gómez,MF,Sunderland,,,,,
Kenji Gorré,MF,Swansea City,,,,,
Yoan Gouffran,MF,Newcastle Utd,,,,,
Jack Grealish,MF,Aston Villa,,,,,
Reece Grego-Cox,MF,QPR,,,,,
Matt Grimes,MF,Swansea City,,,,,
Adlène Guedioura,MF,Crystal Palace,,,,,
Jonás Gutiérrez,MF,Newcastle Utd,,,,,
Massadio Haïdara,DF,Newcastle Utd,,,,,
Dean Hammond,MF,Leicester City,,,,,
Brede Hangeland,DF,Crystal Palace,,,,,
Eden Hazard,MF,Chelsea,,,,,
Jordan Henderson,MF,Liverpool,,,,,
Karl Henry,DF,QPR,,,,,
Ander Herrera,MF,Manchester Utd,,,,,
Jake Hesketh,MF,Southampton,,,,,
Tony Hibbert,DF,Everton,,,,,
Clint Hill,DF,QPR,,,,,
Junior Hoilett,MF,QPR,,,,,
Lewis Holtby,MF,Tottenham,,,,,
Tom Huddlestone,MF,Hull City,,,,,
Robert Huth,DF,Stoke City,,,,,
Robert Huth,DF,Leicester City,,,,,
Alan Hutton,DF,Aston Villa,,,,,
Jordon Ibe,MF,Liverpool,,,,,
Tom Ince,MF,Hull City,,,,,
Stephen Ireland,MF,Stoke City,,,,,
Lloyd Isgrove,MF,Southampton,,,,,
Mauricio Isla,DF,QPR,,,,,
Branislav Ivanović,DF,Chelsea,,,,,
Phil Jagielka,DF,Everton,,,,,
Matty James,MF,Leicester City,,,,,
Daryl Janmaat,DF,Newcastle Utd,,,,,
Adnan Januzaj,MF,Manchester Utd,,,,,
Matthew Jarvis,MF,West Ham,,,,,
Mile Jedinak,MF,Crystal Palace,,,,,
Carl Jenkinson,DF,West Ham,,,,,
Adam Johnson,MF,Sunderland,,,,,
Glen Johnson,DF,Liverpool,,,,,
Billy Jones,DF,Sunderland,,,,,
David Jones,MF,Burnley,,,,,
Phil Jones,DF,Manchester Utd,,,,,
Siem de Jong,MF,Newcastle Utd,,,,,
Stevan Jovetić,MF,Manchester City,,,,,
Younès Kaboul,DF,Tottenham,,,,,
Michael Keane,DF,Manchester Utd,,,,,
Michael Keane,DF,Burnley,,,,,
Martin Kelly,DF,Crystal Palace,,,,,
Michael Kightly,MF,Burnley,,,,,
Andy King,MF,Leicester City,,,,,
Anthony Knockaert,MF,Leicester City,,,,,
Aleksandar Kolarov,DF,Manchester City,,,,,
Vincent Kompany,DF,Manchester City,,,,,
Paul Konchesky,DF,Leicester City,,,,,
Laurent Koscielny,DF,Arsenal,,,,,
Cheikhou Kouyaté,DF,West Ham,,,,,
Cole Kpekawa,DF,QPR,,,,,
Andrej Kramarić,MF,Leicester City,,,,,
Niko Kranjčar,MF,QPR,,,,,
Bojan Krkić,MF,Stoke City,,,,,
Daniel Lafferty,DF,Burnley,,,,,
Adam Lallana,MF,Liverpool,,,,,
Érik Lamela,MF,Tottenham,,,,,
