Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Patrick van Aanholt,DF,Crystal Palace,35,22,30,40,2
Tosin Adarabioyo,DF,Fulham,37,19,42,197,2
Ola Aina,DF,Fulham,37,20,45,94,2
Rayan Aït-Nouri,DF,Wolves,29,16,15,25,0
Semi Ajayi,DF,West Brom,40,14,42,122,2
Nathan Aké,DF,Manchester City,10,5,9,23,0
Marc Albrighton,DF,Leicester City,33,19,17,27,1
Thiago Alcántara,MF,Liverpool,61,36,30,14,0
Toby Alderweireld,DF,Tottenham,35,22,10,121,0
Trent Alexander-Arnold,DF,Liverpool,56,33,49,50,3
Ezgjan Alioski,DF,Leeds United,74,31,23,50,2
Allan,MF,Everton,80,45,19,25,1
Dele Alli,MF,Tottenham,18,11,7,3,0
Miguel Almirón,MF,Newcastle Utd,49,29,25,20,1
Marcos Alonso,DF,Chelsea,13,3,12,30,0
Steven Alzate,MF,Brighton,17,8,8,10,0
Daniel Amartey,DF,Leicester City,11,7,12,26,0
Ethan Ampadu,DF,Sheffield Utd,57,36,49,87,3
Joachim Andersen,DF,Fulham,33,19,44,151,1
Elliot Anderson,MF,Newcastle Utd,0,0,0,0,0
Felipe Anderson,MF,West Ham,1,1,0,0,0
Stuart Armstrong,MF,Southampton,60,41,24,19,0
Serge Aurier,DF,Tottenham,55,33,19,44,3
Charlie Austin,MF,West Brom,4,2,3,4,0
Jordan Ayew,MF,Crystal Palace,38,26,16,12,0
Luke Ayling,DF,Leeds United,108,61,36,96,5
César Azpilicueta,DF,Chelsea,53,28,28,62,2
Eric Bailly,DF,Manchester Utd,5,5,13,36,2
Fabián Balbuena,DF,West Ham,24,12,25,63,0
George Baldock,DF,Sheffield Utd,47,34,25,70,1
Phil Bardsley,DF,Burnley,6,5,6,12,0
Ross Barkley,MF,Aston Villa,6,2,5,6,1
Ross Barkley,MF,Chelsea,0,0,0,0,0
Harvey Barnes,MF,Leicester City,19,9,8,11,0
Kyle Bartley,DF,West Brom,27,16,38,159,1
Chris Basham,DF,Sheffield Utd,69,42,49,105,1
Jan Bednarek,DF,Southampton,37,19,84,132,0
Donny van de Beek,MF,Manchester Utd,15,10,6,7,0
Héctor Bellerín,DF,Arsenal,29,19,33,33,0
Saïd Benrahma,MF,West Ham,24,15,8,8,0
Josh Benson,MF,Burnley,5,1,3,2,0
Gaetano Berardi,DF,Leeds United,2,2,1,2,0
Jóhann Berg Guðmundsson,MF,Burnley,19,11,17,19,0
Sander Berge,MF,Sheffield Utd,16,7,4,18,0
Steven Bergwijn,MF,Tottenham,15,7,5,9,0
Bernard,MF,Everton,8,3,8,6,0
Bernardo,DF,Brighton,10,8,1,1,0
Ryan Bertrand,DF,Southampton,60,32,30,41,1
Yves Bissouma,MF,Brighton,104,68,64,67,0
Jayden Bogle,DF,Sheffield Utd,33,23,14,22,0
Willy Boly,DF,Wolves,33,20,32,84,1
Jarrod Bowen,MF,West Ham,26,15,22,10,0
Robbie Brady,MF,Burnley,22,15,9,29,1
Rhian Brewster,MF,Sheffield Utd,8,5,5,5,0
Josh Brownhill,MF,Burnley,45,27,69,39,0
Joe Bryan,DF,Fulham,15,8,14,16,0
Kean Bryan,DF,Sheffield Utd,20,10,13,39,1
Dan Burn,DF,Brighton,50,26,31,75,0
Oskar Buur,DF,Wolves,0,0,0,0,0
Gary Cahill,DF,Crystal Palace,13,9,13,88,0
Tom Cairney,MF,Fulham,9,3,0,3,0
João Cancelo,DF,Manchester City,68,41,41,33,2
Fabio Carvalho,MF,Fulham,9,6,1,1,1
Matty Cash,DF,Aston Villa,71,40,60,95,0
Timothy Castagne,DF,Leicester City,52,32,29,62,1
Jonny Castro,MF,Wolves,11,5,9,7,0
Dani Ceballos,MF,Arsenal,37,22,35,14,1
Calum Chambers,DF,Arsenal,7,3,10,37,0
Ben Chilwell,DF,Chelsea,42,22,24,58,0
Hamza Choudhury,MF,Leicester City,8,7,4,9,1
Andreas Christensen,DF,Chelsea,11,6,20,51,1
Carney Chukwuemeka,MF,Aston Villa,2,2,0,0,0
Ciaran Clark,DF,Newcastle Utd,24,14,29,104,1
Nathaniel Clyne,DF,Crystal Palace,17,10,18,25,1
Conor Coady,DF,Wolves,35,23,27,134,2
Séamus Coleman,DF,Everton,39,26,13,37,2
Liam Cooper,DF,Leeds United,68,45,61,70,1
Jack Cork,MF,Burnley,26,10,16,20,0
Hélder Costa,MF,Leeds United,25,11,3,5,1
Vladimír Coufal,DF,West Ham,73,36,41,102,1
