Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Clarence Acuña,MF,Newcastle Utd,,,,,
Tony Adams,DF,Arsenal,,,,,
Niclas Alexandersson,MF,Everton,,,,,
Jérémie Aliadière,MF,Arsenal,,,,,
Darren Ambrose,MF,Ipswich Town,,,,,
Darren Anderton,MF,Tottenham,,,,,
Julio Arca,DF,Sunderland,,,,,
John Arne Riise,DF,Liverpool,,,,,
Jon Ashton,DF,Leicester City,,,,,
Celestine Babayaro,DF,Chelsea,,,,,
Markus Babbel,DF,Liverpool,,,,,
Eirik Bakke,MF,Leeds United,,,,,
Nick Barmby,MF,Liverpool,,,,,
Anthony Barness,DF,Bolton,,,,,
Gareth Barry,MF,Aston Villa,,,,,
Chris Bart-Williams,DF,Charlton Ath,,,,,
Warren Barton,DF,Derby County,,,,,
Warren Barton,DF,Newcastle Utd,,,,,
Christian Bassedas,DF,Newcastle Utd,,,,,
David Batty,MF,Leeds United,,,,,
David Beckham,MF,Manchester Utd,,,,,
David Beharall,DF,Newcastle Utd,,,,,
Francis Benali,DF,Southampton,,,,,
Henning Berg,DF,Blackburn,,,,,
Patrik Berger,MF,Liverpool,,,,,
Guðni Bergsson,DF,Bolton,,,,,
Olivier Bernard,DF,Newcastle Utd,,,,,
Kevin Betsy,MF,Fulham,,,,,
Igor Bišćan,DF,Liverpool,,,,,
Joachim Björklund,DF,Sunderland,,,,,
Laurent Blanc,DF,Manchester Utd,,,,,
Imants Bleidelis,MF,Southampton,,,,,
Jesper Blomqvist,DF,Everton,,,,,
Luís Boa Morte,MF,Fulham,,,,,
George Boateng,MF,Aston Villa,,,,,
Paul Boertien,DF,Derby County,,,,,
Adam Bolder,MF,Derby County,,,,,
Lee Bowyer,MF,Leeds United,,,,,
Titus Bramble,DF,Ipswich Town,,,,,
Rufus Brevett,DF,Fulham,,,,,
Wayne Bridge,DF,Southampton,,,,,
Giovanni van Bronckhorst,DF,Arsenal,,,,,
Steve Brown,DF,Charlton Ath,,,,,
Wes Brown,DF,Manchester Utd,,,,,
Goran Bunjevčević,DF,Tottenham,,,,,
Craig Burley,MF,Derby County,,,,,
Thomas Butler,MF,Sunderland,,,,,
Nicky Butt,DF,Manchester Utd,,,,,
Shaun Byrne,DF,West Ham,,,,,
Sol Campbell,DF,Arsenal,,,,,
Horacio Carbonari,DF,Derby County,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,West Ham,,,,,
Lee Carsley,MF,Everton,,,,,
Luke Chadwick,MF,Manchester Utd,,,,,
Simon Charlton,DF,Bolton,,,,,
Jamie Clapham,DF,Ipswich Town,,,,,
Lee Clark,MF,Fulham,,,,,
Peter Clarke,DF,Everton,,,,,
Alec Cleland,DF,Everton,,,,,
Stephen Clemence,MF,Tottenham,,,,,
Ashley Cole,DF,Arsenal,,,,,
Joe Cole,MF,West Ham,,,,,
John Collins,MF,Fulham,,,,,
Colin Cooper,DF,Middlesbrough,,,,,
Jorge Costa,DF,Charlton Ath,,,,,
Laurent Courtois,MF,West Ham,,,,,
Jody Craddock,DF,Sunderland,,,,,
