Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Patrick van Aanholt,DF,Wigan Athletic,,,,,
Charlie Adam,MF,Liverpool,,,,,
Gabriel Agbonlahor,MF,Aston Villa,,,,,
Daniel Agger,DF,Liverpool,,,,,
Kemy Agustien,DF,Swansea City,,,,,
Marc Albrighton,DF,Aston Villa,,,,,
Antolín Alcaraz,DF,Wigan Athletic,,,,,
Alex,DF,Chelsea,,,,,
Joe Allen,MF,Swansea City,,,,,
Marcos Alonso,DF,Bolton,,,,,
Sammy Ameobi,MF,Newcastle Utd,,,,,
Anderson,MF,Manchester Utd,,,,,
Bruno Andrade,MF,QPR,,,,,
Keith Andrews,MF,West Brom,,,,,
John Arne Riise,DF,Fulham,,,,,
Andrey Arshavin,MF,Arsenal,,,,,
Mikel Arteta,MF,Arsenal,,,,,
Mikel Arteta,MF,Everton,,,,,
Benoît Assou-Ekotto,DF,Tottenham,,,,,
Fábio Aurélio,DF,Liverpool,,,,,
Daniel Ayala,DF,Norwich City,,,,,
Leighton Baines,DF,Everton,,,,,
Chris Baird,DF,Fulham,,,,,
Nathan Baker,DF,Aston Villa,,,,,
Gareth Bale,MF,Tottenham,,,,,
Barry Bannan,MF,Aston Villa,,,,,
Phil Bardsley,DF,Sunderland,,,,,
Ross Barkley,MF,Everton,,,,,
Leon Barnett,DF,Norwich City,,,,,
Gareth Barry,MF,Manchester City,,,,,
Joey Barton,MF,QPR,,,,,
Joey Barton,MF,Newcastle Utd,,,,,
Sébastien Bassong,DF,Tottenham,,,,,
Sébastien Bassong,DF,Wolves,,,,,
Jose Baxter,MF,Everton,,,,,
Jean Beausejour,DF,Wigan Athletic,,,,,
Hatem Ben Arfa,MF,Newcastle Utd,,,,,
Yossi Benayoun,MF,Arsenal,,,,,
Yossi Benayoun,MF,Chelsea,,,,,
Elliott Bennett,DF,Norwich City,,,,,
Ryan Bennett,DF,Norwich City,,,,,
Christophe Berra,DF,Wolves,,,,,
Ryan Bertrand,DF,Chelsea,,,,,
Federico Bessone,DF,Swansea City,,,,,
Diniyar Bilyaletdinov,MF,Everton,,,,,
Nick Blackman,MF,Blackburn,,,,,
Robbie Blake,MF,Bolton,,,,,
José Bosingwa,DF,Chelsea,,,,,
Dedryck Boyata,DF,Bolton,,,,,
Emmerson Boyce,DF,Wigan Athletic,,,,,
Titus Bramble,DF,Sunderland,,,,,
Wayne Bridge,DF,Sunderland,,,,,
Matthew Briggs,DF,Fulham,,,,,
Leon Britton,MF,Swansea City,,,,,
Wes Brown,DF,Sunderland,,,,,
Chris Brunt,DF,West Brom,,,,,
Ákos Buzsáky,MF,QPR,,,,,
Yohan Cabaye,MF,Newcastle Utd,,,,,
Gary Cahill,DF,Bolton,,,,,
Gary Cahill,DF,Chelsea,,,,,
Tim Cahill,MF,Everton,,,,,
Gary Caldwell,DF,Wigan Athletic,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,Manchester Utd,,,,,
Samir Carruthers,MF,Aston Villa,,,,,
Lee Cattermole,MF,Sunderland,,,,,
Steven Caulker,DF,Swansea City,,,,,
Park Chu-young,MF,Arsenal,,,,,
Lee Chung-yong,MF,Bolton,,,,,
Ciaran Clark,DF,Aston Villa,,,,,
Tom Cleverley,MF,Manchester Utd,,,,,
Gaël Clichy,DF,Manchester City,,,,,
Sebastián Coates,DF,Liverpool,,,,,
Jack Colback,DF,Sunderland,,,,,
Ashley Cole,DF,Chelsea,,,,,
Séamus Coleman,DF,Everton,,,,,
James Collins,DF,Aston Villa,,,,,
Fabricio Coloccini,DF,Newcastle Utd,,,,,
Matthew Connolly,DF,QPR,,,,,
Francis Coquelin,DF,Arsenal,,,,,
Vedran Ćorluka,DF,Tottenham,,,,,
Jody Craddock,DF,Wolves,,,,,
Andrew Crofts,MF,Norwich City,,,,,
Albert Crusat,MF,Wigan Athletic,,,,,
Carlos Cuéllar,DF,Aston Villa,,,,,
Scott Dann,DF,Blackburn,,,,,
Mark Davies,MF,Bolton,,,,,
Simon Davies,MF,Fulham,,,,,
David Davis,MF,Wolves,,,,,
Craig Dawson,DF,West Brom,,,,,
Michael Dawson,DF,Tottenham,,,,,
Ritchie De Laet,DF,Norwich City,,,,,
Rory Delap,MF,Stoke City,,,,,
Nathan Delfouneso,MF,Aston Villa,,,,,
Fabian Delph,DF,Aston Villa,,,,,
Mousa Dembélé,MF,Fulham,,,,,
Clint Dempsey,MF,Fulham,,,,,
Rafael van der Vaart,MF,Tottenham,,,,,
Shaun Derry,MF,QPR,,,,,
Abou Diaby,MF,Arsenal,,,,,
Samba Diakité,MF,QPR,,,,,
Mohamed Diamé,MF,Wigan Athletic,,,,,
Salif Diao,MF,Stoke City,,,,,
Mahamadou Diarra,MF,Fulham,,,,,
Sylvain Distin,DF,Everton,,,,,
Johan Djourou,DF,Arsenal,,,,,
Matt Doherty,DF,Wolves,,,,,
Ji Dong-won,MF,Sunderland,,,,,
Landon Donovan,MF,Everton,,,,,
Graham Dorrans,MF,West Brom,,,,,
Giovani dos Santos,MF,Tottenham,,,,,
Stewart Downing,MF,Liverpool,,,,,
Royston Drenthe,DF,Everton,,,,,
Adam Drury,DF,Norwich City,,,,,
Damien Duff,MF,Fulham,,,,,
Shane Duffy,DF,Everton,,,,,
David Dunn,MF,Blackburn,,,,,
Richard Dunne,DF,Aston Villa,,,,,
Kieron Dyer,MF,QPR,,,,,
Nathan Dyer,MF,Swansea City,,,,,
Chris Eagles,MF,Bolton,,,,,
David Edwards,MF,Wolves,,,,,
Ahmed Elmohamady,DF,Sunderland,,,,,
George Elokobi,DF,Wolves,,,,,
Brett Emerton,DF,Blackburn,,,,,
José Enrique,DF,Liverpool,,,,,
Hogan Ephraim,MF,QPR,,,,,
Michael Essien,DF,Chelsea,,,,,
Matthew Etherington,MF,Stoke City,,,,,
Dickson Etuhu,MF,Fulham,,,,,
Jonny Evans,DF,Manchester Utd,,,,,
Patrice Evra,DF,Manchester Utd,,,,,
Fábio,DF,Manchester Utd,,,,,
Alejandro Faurlín,MF,QPR,,,,,
Marouane Fellaini,MF,Everton,,,,,
Anton Ferdinand,DF,Sunderland,,,,,
Anton Ferdinand,DF,QPR,,,,,
Rio Ferdinand,DF,Manchester Utd,,,,,
Shane Ferguson,DF,Newcastle Utd,,,,,
Paulo Ferreira,DF,Chelsea,,,,,
Maynor Figueroa,DF,Wigan Athletic,,,,,
Jon Flanagan,DF,Liverpool,,,,,
Darren Fletcher,MF,Manchester Utd,,,,,
Kevin Foley,DF,Wolves,,,,,
Anthony Forde,DF,Wolves,,,,,
Mauro Formica,MF,Blackburn,,,,,
David Fox,MF,Norwich City,,,,,
Kerim Frei,MF,Fulham,,,,,
Emmanuel Frimpong,MF,Arsenal,,,,,
Emmanuel Frimpong,MF,Wolves,,,,,
Zeki Fryers,DF,Manchester Utd,,,,,
Danny Gabbidon,DF,QPR,,,,,
William Gallas,DF,Tottenham,,,,,
Morten Gamst Pedersen,MF,Blackburn,,,,,
Craig Gardner,MF,Sunderland,,,,,
Gary Gardner,MF,Aston Villa,,,,,
Ricardo Gardner,DF,Bolton,,,,,
Marcel Gecov,MF,Fulham,,,,,
Zoltán Gera,MF,West Brom,,,,,
Steven Gerrard,MF,Liverpool,,,,,
Gervinho,MF,Arsenal,,,,,
Kieran Gibbs,DF,Arsenal,,,,,
Darron Gibson,MF,Manchester Utd,,,,,
Darron Gibson,MF,Everton,,,,,
Ryan Giggs,MF,Manchester Utd,,,,,
Gaël Givet,DF,Blackburn,,,,,
Steve Gohouri,DF,Wigan Athletic,,,,,
Jordi Gómez,MF,Wigan Athletic,,,,,
Johnny Gorman,MF,Wolves,,,,,
Dan Gosling,DF,Newcastle Utd,,,,,
Mark Gower,MF,Swansea City,,,,,
Vince Grella,MF,Blackburn,,,,,
Zdeněk Grygera,DF,Fulham,,,,,
Adlène Guedioura,MF,Wolves,,,,,
Magaye Gueye,MF,Everton,,,,,
Danny Guthrie,MF,Newcastle Utd,,,,,
Jonás Gutiérrez,MF,Newcastle Utd,,,,,
Fitz Hall,DF,QPR,,,,,
Adam Hammill,MF,Wolves,,,,,
Brede Hangeland,DF,Fulham,,,,,
Grant Hanley,DF,Blackburn,,,,,
Owen Hargreaves,MF,Manchester City,,,,,
Michael Harriman,DF,QPR,,,,,
John Heitinga,DF,Everton,,,,,
Jordan Henderson,MF,Liverpool,,,,,
Adam Henley,DF,Blackburn,,,,,
Karl Henry,DF,Wolves,,,,,
Chris Herd,DF,Aston Villa,,,,,
Tony Hibbert,DF,Everton,,,,,
Danny Higginbotham,DF,Stoke City,,,,,
Clint Hill,DF,QPR,,,,,
Junior Hoilett,MF,Blackburn,,,,,
Wes Hoolahan,MF,Norwich City,,,,,
Jonny Howson,DF,Norwich City,,,,,
Tom Huddlestone,MF,Tottenham,,,,,
Aaron Hughes,DF,Fulham,,,,,
Stephen Hunt,MF,Wolves,,,,,
Sam Hutchinson,DF,Chelsea,,,,,
Robert Huth,DF,Stoke City,,,,,
Alan Hutton,DF,Aston Villa,,,,,
