Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Nabil Abidallah,MF,Ipswich Town,,,,,
Clarence Acuña,MF,Newcastle Utd,,,,,
Tony Adams,DF,Arsenal,,,,,
Niclas Alexandersson,MF,Everton,,,,,
Darren Anderton,MF,Tottenham,,,,,
Julio Arca,DF,Sunderland,,,,,
Peter Atherton,DF,Bradford City,,,,,
Celestine Babayaro,DF,Chelsea,,,,,
Markus Babbel,DF,Liverpool,,,,,
Karim Bagheri,MF,Charlton Ath,,,,,
Eirik Bakke,MF,Leeds United,,,,,
Michael Ball,DF,Everton,,,,,
Nick Barmby,MF,Liverpool,,,,,
Gareth Barry,MF,Aston Villa,,,,,
Warren Barton,DF,Newcastle Utd,,,,,
Christian Bassedas,DF,Newcastle Utd,,,,,
Christian Bassila,DF,West Ham,,,,,
David Batty,MF,Leeds United,,,,,
David Beckham,MF,Manchester Utd,,,,,
Francis Benali,DF,Southampton,,,,,
Henning Berg,DF,Manchester Utd,,,,,
Patrik Berger,MF,Liverpool,,,,,
Robert Betts,MF,Coventry City,,,,,
Igor Bišćan,DF,Liverpool,,,,,
Ian Bishop,MF,Manchester City,,,,,
Robbie Blake,MF,Bradford City,,,,,
Con Blatsis,DF,Derby County,,,,,
Imants Bleidelis,MF,Southampton,,,,,
George Boateng,MF,Aston Villa,,,,,
Paul Boertien,DF,Derby County,,,,,
Winston Bogarde,DF,Chelsea,,,,,
Lars Bohinen,MF,Derby County,,,,,
Adam Bolder,MF,Derby County,,,,,
Steve Bould,DF,Sunderland,,,,,
Lee Bowyer,MF,Leeds United,,,,,
Titus Bramble,DF,Ipswich Town,,,,,
Gary Breen,DF,Coventry City,,,,,
Wayne Bridge,DF,Southampton,,,,,
Michael Bridges,MF,Leeds United,,,,,
Steve Brown,DF,Charlton Ath,,,,,
Wayne Brown,DF,Ipswich Town,,,,,
Wes Brown,DF,Manchester Utd,,,,,
Craig Burley,MF,Derby County,,,,,
Jacob Burns,MF,Leeds United,,,,,
Paul Butler,DF,Sunderland,,,,,
Thomas Butler,MF,Sunderland,,,,,
Nicky Butt,DF,Manchester Utd,,,,,
Steven Caldwell,DF,Newcastle Utd,,,,,
Sol Campbell,DF,Tottenham,,,,,
Horacio Carbonari,DF,Derby County,,,,,
Stephen Carr,DF,Tottenham,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,West Ham,,,,,
Lee Carsley,MF,Coventry City,,,,,
Patrice Carteron,DF,Sunderland,,,,,
Luke Chadwick,MF,Manchester Utd,,,,,
Gary Charles,DF,West Ham,,,,,
Laurent Charvet,DF,Newcastle Utd,,,,,
Laurent Charvet,DF,Manchester City,,,,,
Youssef Chippo,MF,Coventry City,,,,,
Jamie Clapham,DF,Ipswich Town,,,,,
Peter Clarke,DF,Everton,,,,,
Alec Cleland,DF,Everton,,,,,
Stephen Clemence,MF,Tottenham,,,,,
Ashley Cole,DF,Arsenal,,,,,
Joe Cole,MF,West Ham,,,,,
Colin Cooper,DF,Middlesbrough,,,,,
James Coppinger,MF,Newcastle Utd,,,,,
Jody Craddock,DF,Sunderland,,,,,
Gary Croft,DF,Ipswich Town,,,,,
Lee Crooks,DF,Manchester City,,,,,
Nikos Dabizas,DF,Newcastle Utd,,,,,
Olivier Dacourt,MF,Leeds United,,,,,
Christian Dailly,DF,West Ham,,,,,
Samuele Dalla Bona,MF,Chelsea,,,,,
Calum Davenport,DF,Coventry City,,,,,
Callum Davidson,DF,Leicester City,,,,,
Simon Davies,MF,Tottenham,,,,,
Damien Delaney,DF,Leicester City,,,,,
Mark Delaney,DF,Aston Villa,,,,,
Rory Delap,MF,Derby County,,,,,
Marcel Desailly,DF,Chelsea,,,,,
Roberto Di Matteo,MF,Chelsea,,,,,
Bernard Diomède,MF,Liverpool,,,,,
Lee Dixon,DF,Arsenal,,,,,
Bojan Djordjic,MF,Manchester Utd,,,,,
Jason Dodd,DF,Southampton,,,,,
Gary Doherty,DF,Tottenham,,,,,
Didier Domi,DF,Newcastle Utd,,,,,
José Dominguez,MF,Tottenham,,,,,
Mark Draper,MF,Southampton,,,,,
Michael Duberry,DF,Leeds United,,,,,
Dion Dublin,DF,Aston Villa,,,,,
Terry Dunfield,MF,Manchester City,,,,,
Richard Dunne,DF,Manchester City,,,,,
Richard Dunne,DF,Everton,,,,,
Kieron Dyer,MF,Newcastle Utd,,,,,
Darren Eadie,MF,Leicester City,,,,,
Richard Edghill,DF,Manchester City,,,,,
Marc Edworthy,DF,Coventry City,,,,,
Trond Egil Soltvedt,MF,Southampton,,,,,
Ugo Ehiogu,DF,Middlesbrough,,,,,
Ugo Ehiogu,DF,Aston Villa,,,,,
Marcelino Elena,DF,Newcastle Utd,,,,,
Matt Elliott,DF,Leicester City,,,,,
Steve Elliott,DF,Derby County,,,,,
Kevin Ellison,MF,Leicester City,,,,,
Stefano Eranio,MF,Derby County,,,,,
Matthew Etherington,MF,Tottenham,,,,,
John Eustace,MF,Coventry City,,,,,
Gareth Evans,DF,Leeds United,,,,,
Ian Evatt,DF,Derby County,,,,,
Rio Ferdinand,DF,Leeds United,,,,,
Rio Ferdinand,DF,West Ham,,,,,
Albert Ferrer,DF,Chelsea,,,,,
Gianluca Festa,DF,Middlesbrough,,,,,
