Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Charlie Adam,MF,Stoke City,,,,,
Gabriel Agbonlahor,MF,Aston Villa,,,,,
Daniel Agger,DF,Liverpool,,,,,
Kemy Agustien,DF,Swansea City,,,,,
Karim El Ahmadi,MF,Aston Villa,,,,,
Nathan Aké,DF,Chelsea,,,,,
Hope Akpan,MF,Reading,,,,,
Marc Albrighton,DF,Aston Villa,,,,,
Antolín Alcaraz,DF,Wigan Athletic,,,,,
Joe Allen,MF,Liverpool,,,,,
Sammy Ameobi,MF,Newcastle Utd,,,,,
Anderson,MF,Manchester Utd,,,,,
Vurnon Anita,DF,Newcastle Utd,,,,,
John Arne Riise,DF,Fulham,,,,,
Andrey Arshavin,MF,Arsenal,,,,,
Mikel Arteta,MF,Arsenal,,,,,
Oussama Assaidi,MF,Liverpool,,,,,
Benoît Assou-Ekotto,DF,Tottenham,,,,,
César Azpilicueta,DF,Chelsea,,,,,
Leighton Baines,DF,Everton,,,,,
Chris Baird,DF,Fulham,,,,,
Nathan Baker,DF,Aston Villa,,,,,
Gareth Bale,MF,Tottenham,,,,,
Barry Bannan,MF,Aston Villa,,,,,
Phil Bardsley,DF,Sunderland,,,,,
Ross Barkley,MF,Everton,,,,,
Leon Barnett,DF,Norwich City,,,,,
Gareth Barry,MF,Manchester City,,,,,
Kyle Bartley,DF,Swansea City,,,,,
Sébastien Bassong,DF,Norwich City,,,,,
Jean Beausejour,DF,Wigan Athletic,,,,,
Hatem Ben Arfa,MF,Newcastle Utd,,,,,
Tal Ben Haim,DF,QPR,,,,,
Yossi Benayoun,MF,West Ham,,,,,
Yossi Benayoun,MF,Chelsea,,,,,
Elliott Bennett,DF,Norwich City,,,,,
Joe Bennett,DF,Aston Villa,,,,,
Ryan Bennett,DF,Norwich City,,,,,
Ryan Bertrand,DF,Chelsea,,,,,
Gaël Bigirimana,MF,Newcastle Utd,,,,,
Nick Blackman,MF,Reading,,,,,
Fabio Borini,MF,Liverpool,,,,,
José Bosingwa,DF,QPR,,,,,
Jordan Bowery,DF,Aston Villa,,,,,
Emmerson Boyce,DF,Wigan Athletic,,,,,
Titus Bramble,DF,Sunderland,,,,,
Matthew Briggs,DF,Fulham,,,,,
Leon Britton,MF,Swansea City,,,,,
Izzy Brown,MF,West Brom,,,,,
Chris Brunt,DF,West Brom,,,,,
Alexander Büttner,DF,Manchester Utd,,,,,
Yohan Cabaye,MF,Newcastle Utd,,,,,
Gary Cahill,DF,Chelsea,,,,,
Gary Caldwell,DF,Wigan Athletic,,,,,
Geoff Cameron,DF,Stoke City,,,,,
Eduard Campabadal,DF,Wigan Athletic,,,,,
