Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Gabriel Agbonlahor,MF,Aston Villa,,,,,
Daniel Agger,DF,Liverpool,,,,,
Martin Albrechtsen,DF,West Brom,,,,,
Jérémie Aliadière,MF,West Ham,,,,,
Xabi Alonso,MF,Liverpool,,,,,
Darren Ambrose,MF,Charlton Ath,,,,,
José Antonio Reyes,MF,Arsenal,,,,,
Julio Arca,DF,Sunderland,,,,,
John Arne Riise,DF,Liverpool,,,,,
Mikel Arteta,MF,Everton,,,,,
Celestine Babayaro,DF,Newcastle Utd,,,,,
Leighton Baines,DF,Wigan Athletic,,,,,
Eirik Bakke,MF,Aston Villa,,,,,
Phil Bardsley,DF,Manchester Utd,,,,,
Gareth Barry,MF,Aston Villa,,,,,
Joey Barton,MF,Manchester City,,,,,
Christian Bassila,DF,Sunderland,,,,,
Matthew Bates,DF,Middlesbrough,,,,,
Emre Belözoğlu,MF,Newcastle Utd,,,,,
Tal Ben Haim,DF,Bolton,,,,,
Yossi Benayoun,MF,West Ham,,,,,
David Bentley,MF,Blackburn,,,,,
Patrik Berger,MF,Aston Villa,,,,,
Mathew Birley,MF,Birmingham City,,,,,
Luís Boa Morte,MF,Fulham,,,,,
George Boateng,MF,Middlesbrough,,,,,
Carlos Bocanegra,DF,Fulham,,,,,
Papa Bouba Diop,DF,Fulham,,,,,
Wilfred Bouma,DF,Aston Villa,,,,,
Jean-Alain Boumsong,DF,Newcastle Utd,,,,,
Lee Bowyer,MF,Newcastle Utd,,,,,
Titus Bramble,DF,Newcastle Utd,,,,,
Gary Breen,DF,Sunderland,,,,,
Wayne Bridge,DF,Fulham,,,,,
Michael Brown,MF,Tottenham,,,,,
Michael Brown,MF,Fulham,,,,,
Wes Brown,DF,Manchester Utd,,,,,
Alex Bruce,DF,Birmingham City,,,,,
Jimmy Bullard,MF,Wigan Athletic,,,,,
Nicky Butt,DF,Birmingham City,,,,,
Gary Cahill,DF,Aston Villa,,,,,
Tim Cahill,MF,Everton,,,,,
Steven Caldwell,DF,Sunderland,,,,,
Sol Campbell,DF,Arsenal,,,,,
Iván Campo,DF,Bolton,,,,,
Stephen Carr,DF,Newcastle Utd,,,,,
Jamie Carragher,DF,Liverpool,,,,,
Michael Carrick,MF,Tottenham,,,,,
Lee Carsley,MF,Everton,,,,,
Darren Carter,DF,West Brom,,,,,
Ricardo Carvalho,DF,Chelsea,,,,,
Lee Cattermole,MF,Middlesbrough,,,,,
Richard Chaplow,MF,West Brom,,,,,
Pascal Chimbonda,DF,Wigan Athletic,,,,,
Philippe Christanval,DF,Fulham,,,,,
Aliou Cissé,DF,Portsmouth,,,,,
Jamie Clapham,DF,Birmingham City,,,,,
Lee Clark,MF,Newcastle Utd,,,,,
Clive Clarke,DF,West Ham,,,,,
Stephen Clemence,MF,Birmingham City,,,,,
Neil Clement,DF,West Brom,,,,,
Gaël Clichy,DF,Arsenal,,,,,
Ashley Cole,DF,Arsenal,,,,,
Joe Cole,MF,Chelsea,,,,,
Danny Collins,DF,Sunderland,,,,,
James Collins,DF,West Ham,,,,,
Colin Cooper,DF,Middlesbrough,,,,,
Lee Croft,MF,Manchester City,,,,,
Kenny Cunningham,DF,Birmingham City,,,,,
Pascal Cygan,DF,Arsenal,,,,,
Andrés D'Alessandro,MF,Portsmouth,,,,,
Christian Dailly,DF,West Ham,,,,,
Calum Davenport,DF,Tottenham,,,,,
Edgar Davids,MF,Tottenham,,,,,
Andrew Davies,DF,Middlesbrough,,,,,
Curtis Davies,DF,West Brom,,,,,
Simon Davies,MF,Everton,,,,,
Sean Davis,MF,Portsmouth,,,,,
Steven Davis,MF,Aston Villa,,,,,
Michael Dawson,DF,Tottenham,,,,,
Asier del Horno,DF,Chelsea,,,,,
