Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Patrick van Aanholt,DF,Crystal Palace,43,23,45,52,1
Max Aarons,DF,Norwich City,48,30,37,97,1
Nathan Aké,DF,Bournemouth,31,21,36,152,0
Marc Albrighton,MF,Leicester City,24,17,10,8,0
Toby Alderweireld,DF,Tottenham,40,29,31,172,2
Trent Alexander-Arnold,DF,Liverpool,55,34,45,84,3
Dele Alli,MF,Tottenham,34,16,17,17,2
Miguel Almirón,MF,Newcastle Utd,60,39,31,25,0
Marcos Alonso,DF,Chelsea,28,16,20,32,0
Steven Alzate,MF,Brighton,33,19,14,13,0
Ibrahim Amadou,DF,Norwich City,18,11,16,55,1
Felipe Anderson,MF,West Ham,46,32,22,11,0
Angeliño,DF,Manchester City,5,2,9,15,0
Stuart Armstrong,MF,Southampton,32,19,11,23,1
Christian Atsu,MF,Newcastle Utd,10,8,5,9,0
Serge Aurier,DF,Tottenham,93,69,47,98,2
César Azpilicueta,DF,Chelsea,86,56,67,94,0
Eric Bailly,DF,Manchester Utd,0,0,4,7,1
Leighton Baines,DF,Everton,10,6,5,14,0
Fabián Balbuena,DF,West Ham,17,12,26,75,3
George Baldock,DF,Sheffield Utd,62,43,34,83,3
Phil Bardsley,DF,Burnley,49,36,30,73,0
Ross Barkley,MF,Chelsea,16,9,7,7,0
Harvey Barnes,MF,Leicester City,16,11,8,6,1
Chris Basham,DF,Sheffield Utd,85,48,77,173,1
Borja Bastón,MF,Aston Villa,1,0,0,0,1
Jan Bednarek,DF,Southampton,65,38,77,198,4
Héctor Bellerín,DF,Arsenal,20,13,19,27,1
Ryan Bennett,DF,Wolves,4,2,9,29,0
Ryan Bennett,DF,Leicester City,5,4,7,8,0
Nabil Bentaleb,MF,Newcastle Utd,23,13,19,9,1
Jóhann Berg Guðmundsson,MF,Burnley,4,2,7,9,0
Sander Berge,MF,Sheffield Utd,22,15,10,16,0
Steven Bergwijn,MF,Tottenham,10,6,1,5,0
Bernard,MF,Everton,32,22,16,7,0
Bernardo,DF,Brighton,27,16,6,24,0
Ryan Bertrand,DF,Southampton,47,29,37,31,1
Muhamed Bešić,MF,Sheffield Utd,8,6,1,6,0
Philip Billing,MF,Bournemouth,72,46,66,97,1
Yves Bissouma,MF,Brighton,49,38,21,23,0
Willy Boly,DF,Wolves,57,33,39,108,3
Gaëtan Bong,DF,Brighton,1,0,0,0,0
Sofiane Boufal,MF,Southampton,16,8,4,1,0
Jarrod Bowen,MF,West Ham,19,15,16,8,0
Robbie Brady,MF,Burnley,11,9,5,8,0
Jarrad Branthwaite,DF,Everton,8,7,2,12,0
David Brooks,MF,Bournemouth,5,5,2,1,0
Josh Brownhill,MF,Burnley,14,8,14,18,0
Emi Buendía,MF,Norwich City,82,39,23,32,2
Dan Burn,DF,Brighton,67,42,42,130,0
Sam Byram,DF,Norwich City,40,22,26,73,0
Gary Cahill,DF,Crystal Palace,15,8,18,114,1
João Cancelo,DF,Manchester City,40,24,21,18,0
Todd Cantwell,MF,Norwich City,51,31,18,35,1
Étienne Capoue,MF,Watford,75,40,68,61,0
Jonny Castro,MF,Wolves,91,55,53,45,2
Craig Cathcart,DF,Watford,41,26,25,136,1
Dani Ceballos,MF,Arsenal,45,23,32,16,1
Nathaniel Chalobah,MF,Watford,30,11,18,20,0
Calum Chambers,DF,Arsenal,26,10,16,43,1
Ben Chilwell,DF,Leicester City,43,26,28,68,2
Tahith Chong,DF,Manchester Utd,0,0,0,0,0
Hamza Choudhury,MF,Leicester City,17,8,24,13,0
Andreas Christensen,DF,Chelsea,38,21,29,56,0
Ciaran Clark,DF,Newcastle Utd,20,12,11,82,0
Leon Clarke,MF,Sheffield Utd,0,0,0,2,0
Tom Cleverley,MF,Watford,28,15,10,15,0
Conor Coady,DF,Wolves,36,23,28,119,2
Séamus Coleman,DF,Everton,42,31,24,43,1
Lewis Cook,MF,Bournemouth,27,14,17,17,1
Steve Cook,DF,Bournemouth,22,11,44,153,1
Jack Cork,MF,Burnley,35,24,28,49,0
Aaron Cresswell,DF,West Ham,43,26,35,75,2
Diogo Dalot,DF,Manchester Utd,3,2,2,1,0
Charlie Daniels,DF,Bournemouth,1,1,1,5,1
Arnaut Danjuma,MF,Bournemouth,4,2,8,4,1
Scott Dann,DF,Crystal Palace,8,4,14,67,0
Kevin Danso,DF,Southampton,6,4,2,7,0
Ben Davies,DF,Tottenham,28,15,22,47,0
Tom Davies,MF,Everton,38,17,35,28,0
Craig Dawson,DF,Watford,29,18,34,116,0
Kevin De Bruyne,MF,Manchester City,45,24,18,24,2
Fabian Delph,MF,Everton,26,12,15,19,1
Leander Dendoncker,MF,Wolves,68,31,38,64,2
Eric Dier,DF,Tottenham,21,12,21,65,0
Lucas Digne,DF,Everton,73,49,42,108,0
Issa Diop,DF,West Ham,27,15,47,166,2
Moussa Djenepo,MF,Southampton,27,21,9,9,0
Matt Doherty,MF,Wolves,55,29,40,52,1
Abdoulaye Doucouré,MF,Watford,64,30,31,32,0
Tommy Doyle,MF,Manchester City,0,0,0,0,0
Danny Drinkwater,MF,Aston Villa,5,3,5,5,1
Danny Drinkwater,MF,Burnley,2,1,1,0,0
Ondrej Duda,MF,Norwich City,18,11,6,8,0
Shane Duffy,DF,Brighton,18,9,21,72,0
Paul Dummett,DF,Newcastle Utd,27,17,23,69,0
Lewis Dunk,DF,Brighton,40,24,55,125,2
John Egan,DF,Sheffield Utd,44,27,58,171,4
Harvey Elliott,DF,Liverpool,0,0,0,0,0
Ahmed Elmohamady,DF,Aston Villa,19,9,13,25,1
Björn Engels,DF,Aston Villa,11,6,28,86,3
Christian Eriksen,MF,Tottenham,19,9,12,16,0
Jonny Evans,DF,Leicester City,48,34,57,174,4
Fabinho,MF,Liverpool,62,35,34,19,1
Akin Famewo,MF,Norwich City,0,0,0,0,0
Kiko Femenía,DF,Watford,68,38,36,49,0
Bruno Fernandes,MF,Manchester Utd,22,12,11,16,0
Gedson Fernandes,MF,Tottenham,2,0,1,0,0
Federico Fernández,DF,Newcastle Utd,42,25,24,190,2
Fernandinho,DF,Manchester City,50,35,25,82,0
John Fleck,MF,Sheffield Utd,36,25,24,26,0
Phil Foden,MF,Manchester City,14,10,6,2,0
Pablo Fornals,MF,West Ham,46,28,25,15,0
Timothy Fosu-Mensah,DF,Manchester Utd,1,1,4,1,0
Dimitri Foulquier,DF,Watford,1,0,2,2,0
Juan Foyth,DF,Tottenham,7,3,1,3,1
Simon Francis,DF,Bournemouth,13,9,20,71,0
Ryan Fraser,MF,Bournemouth,12,6,15,24,0
Fred,MF,Manchester Utd,60,32,38,32,0
Ryan Fredericks,DF,West Ham,82,56,24,73,1
Luke Freeman,MF,Sheffield Utd,6,4,10,6,0
Christian Fuchs,DF,Leicester City,14,9,17,33,1
Eric García,DF,Manchester City,6,1,18,33,0
James Garner,MF,Manchester Utd,0,0,0,1,0
Jean-Philippe Gbamin,MF,Everton,4,3,1,4,0
Anwar El Ghazi,MF,Aston Villa,20,11,13,16,1
Morgan Gibbs-White,MF,Wolves,0,0,2,0,0
Billy Gilmour,MF,Chelsea,5,2,3,3,1
Ben Godfrey,DF,Norwich City,22,14,25,152,3
André Gomes,MF,Everton,22,15,7,7,0
Angel Gomes,MF,Manchester Utd,0,0,0,0,0
Joe Gomez,DF,Liverpool,23,16,38,64,2
Anthony Gordon,MF,Everton,11,7,8,4,0
Dan Gosling,MF,Bournemouth,26,10,20,26,0
Demarai Gray,MF,Leicester City,12,6,5,4,0
Jack Grealish,MF,Aston Villa,29,19,22,22,1
Pascal Groß,MF,Brighton,36,13,9,7,0
Mattéo Guendouzi,MF,Arsenal,31,16,29,38,2
Frederic Guilbert,DF,Aston Villa,74,43,49,74,2
İlkay Gündoğan,MF,Manchester City,27,16,31,13,0
Grant Hanley,DF,Norwich City,24,15,31,77,1
Kortney Hause,DF,Aston Villa,21,9,20,98,4
Isaac Hayden,MF,Newcastle Utd,55,27,38,38,0
Jordan Henderson,MF,Liverpool,63,41,30,21,2
Jeff Hendrick,MF,Burnley,18,10,20,20,0
Onel Hernández,MF,Norwich City,27,19,19,10,0
George Hirst,MF,Leicester City,0,0,0,0,0
Rob Holding,DF,Arsenal,4,2,5,45,1
José Holebas,DF,Watford,26,15,3,33,0
Mason Holgate,DF,Everton,44,26,34,97,0
Nathan Holland,MF,West Ham,3,1,0,0,0
Conor Hourihane,MF,Aston Villa,16,10,9,31,0
Callum Hudson-Odoi,MF,Chelsea,10,4,5,4,1
Will Hughes,MF,Watford,75,47,37,28,0
Pierre Højbjerg,MF,Southampton,80,49,46,54,2
Jordon Ibe,DF,Bournemouth,2,2,0,1,0
Adam Idah,MF,Norwich City,2,2,0,1,0
Alex Iwobi,MF,Everton,25,17,14,10,1
Phil Jagielka,DF,Sheffield Utd,5,4,4,19,0
Alireza Jahanbakhsh,MF,Brighton,8,4,3,2,0
Matty James,MF,Leicester City,0,0,0,0,0
Reece James,DF,Chelsea,36,23,22,28,0
Daryl Janmaat,DF,Watford,14,10,7,23,0
João Pedro,MF,Watford,0,0,0,0,0
Ben Johnson,DF,West Ham,8,4,3,11,0
Curtis Jones,MF,Liverpool,4,4,2,1,0
Phil Jones,DF,Manchester Utd,2,2,2,9,1
Jorginho,MF,Chelsea,66,40,64,27,2
Jota,MF,Aston Villa,3,1,3,6,0
James Justin,DF,Leicester City,36,17,11,30,0
Christian Kabasele,DF,Watford,37,24,36,127,0
N'Golo Kanté,MF,Chelsea,44,20,44,32,2
Michael Keane,DF,Everton,31,16,44,152,0
Naby Keïta,MF,Liverpool,30,14,10,4,0
Lloyd Kelly,DF,Bournemouth,7,3,6,15,1
Martin Kelly,DF,Crystal Palace,23,18,16,86,1
Max Kilman,DF,Wolves,4,2,4,7,0
Joshua King,MF,Bournemouth,16,6,8,9,0
Timm Klose,DF,Norwich City,8,2,7,29,0
Sead Kolašinac,DF,Arsenal,29,16,25,34,1
Ezri Konsa,DF,Aston Villa,18,9,25,70,2
Cheikhou Kouyaté,MF,Crystal Palace,67,32,43,58,1
Mateo Kovačić,MF,Chelsea,63,38,22,16,1
Emil Krafth,DF,Newcastle Utd,18,12,8,45,0
