Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Jonny Evans,DF,Manchester Utd,,,,,
Patrice Evra,DF,Manchester Utd,,,,,
Fábio,DF,Manchester Utd,,,,,
Cesc Fàbregas,MF,Arsenal,,,,,
Craig Fagan,MF,Hull City,,,,,
Keith Fahey,MF,Birmingham City,,,,,
Julien Faubert,DF,West Ham,,,,,
Abdoulaye Faye,DF,Stoke City,,,,,
Marouane Fellaini,MF,Everton,,,,,
Anton Ferdinand,DF,Sunderland,,,,,
Rio Ferdinand,DF,Manchester Utd,,,,,
Barry Ferguson,MF,Birmingham City,,,,,
Paulo Ferreira,DF,Chelsea,,,,,
Maynor Figueroa,DF,Wigan Athletic,,,,,
Steve Finnan,DF,Portsmouth,,,,,
Darren Fletcher,MF,Manchester Utd,,,,,
Kevin Foley,DF,Wolves,,,,,
Danny Fox,DF,Burnley,,,,,
George Friend,DF,Wolves,,,,,
Danny Gabbidon,DF,West Ham,,,,,
Paul Gallagher,MF,Blackburn,,,,,
William Gallas,DF,Arsenal,,,,,
Morten Gamst Pedersen,MF,Blackburn,,,,,
Richard Garcia,MF,Hull City,,,,,
Anthony Gardner,DF,Hull City,,,,,
Craig Gardner,MF,Aston Villa,,,,,
Craig Gardner,MF,Birmingham City,,,,,
Ricardo Gardner,DF,Bolton,,,,,
Javier Garrido,DF,Manchester City,,,,,
Geovanni,MF,Hull City,,,,,
Zoltán Gera,MF,Fulham,,,,,
Steven Gerrard,MF,Liverpool,,,,,
Kieran Gibbs,DF,Arsenal,,,,,
Darron Gibson,MF,Manchester Utd,,,,,
Ryan Giggs,MF,Manchester Utd,,,,,
Gaël Givet,DF,Blackburn,,,,,
Steve Gohouri,DF,Wigan Athletic,,,,,
Jordi Gómez,MF,Wigan Athletic,,,,,
Dan Gosling,DF,Everton,,,,,
Jonathan Greening,MF,Fulham,,,,,
Vince Grella,MF,Blackburn,,,,,
Adlène Guedioura,MF,Wolves,,,,,
Fernando Guerrero,MF,Burnley,,,,,
Eiður Guðjohnsen,MF,Tottenham,,,,,
Joey Guðjónsson,MF,Burnley,,,,,
El Hadji Diouf,MF,Blackburn,,,,,
Greg Halford,DF,Wolves,,,,,
Brede Hangeland,DF,Fulham,,,,,
Grant Hanley,DF,Blackburn,,,,,
Owen Hargreaves,MF,Manchester Utd,,,,,
John Heitinga,DF,Everton,,,,,
Bjørn Helge Riise,MF,Fulham,,,,,
Jordan Henderson,MF,Sunderland,,,,,
Karl Henry,DF,Wolves,,,,,
Tony Hibbert,DF,Everton,,,,,
Danny Higginbotham,DF,Stoke City,,,,,
